PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung eines neuen Verfahrens, um ohne Naht und Leim lederne Säbel- und",,,,
5251,Duran,F.,Ruchet,,L.,,,"Degenscheiden, Patronentaschen, Schläuche und Eimer zum Feuerlöschen, Rollen zu","Lederwaren, Futteral",Wien,1846,20.05.1846
"",,,,,,,,"Spinnmaschinen, Stöcke, Peitschen, oder Futterale überhaupt zu verfertigen",,,,
5252,Jayet,,Maurel,,,,,"Beschreibung der von Maurel & Jayet, zu Voiron in Frankreich erfundenen Rechenmaschine",Rechenmaschine,Wien,1847,16.02.1847
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß: sie eine ... zu den flachsten Dächern verwendbare",,,,
"",,,,,,,,,,"Solnhofen,",,
5253,Schwartz,Friedrich Adam,,,,,,"Häuserbedachung aus Solnhofer- sogenannten Kehlheimersteinernen Platten, sowie auch aus","Steinplatte, Dachziegel, Dach",,1848,06.12.1848
"",,,,,,,,,,Bayern,,
"",,,,,,,,gebrannten Thonziegeln betrifft,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, welche ... in steinernen Bierkühlen aus Solnhofer oder andern",,"Solnhofen,",,
5254,Schwartz,Friedrich Adam,,,,,,,"Bier, Kühlapparat",,1849,15.03.1849
"",,,,,,,,compakten Steinplatten besteht,,Bayern,,
5255,Satori,Anton,,,,,,Beschreibung des telegrafischen Apparates,Telegraph,Wien,1849,11.12.1849
"",Fischer -,,,,,,,,,,,
5256,,v.,,,,,,Beschreibung des Prinzipes der verbesserten Zug- und Stoss-Vorrichtung an Eisenbahnen ...,"Eisenbahnwagen, Kupplung",Wien,1849,07.11.1849
"",Roeslerstamm,,,,,,,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ...: Gold- und Silber Trossen, wie auch Bandborten besonders","Goldborte, Silberborte, Bandstuhl,",,,
5257,Antropp,Johann,,,,,,,,Wien,1838,02.05.1838
"",,,,,,,,derley leonische von Gespinst auf Mühl- und Schustühlen mit mehreren Läufen ... zu erzeugen,Jacquardmaschine,,,
5258,Suess,Anton,,,,,,Bereitungs-Art der steyrischen Assuer[Loden],Loden,Graz,1839,25.07.1839
5259,Elbogen,Amalie,Elbogen,,Heinrich,,,"Beschreibung der Erfindung, Spiegellakirte Leder-Leinwand zu erzeugen","Imprägnierung/Leinwand, Kunstleder",Wien,1847,14.08.1847
"",,,,,,,,Specification eines neuen Systems von Vorlege-Geh- und Schlagwerk für Pendel-Stock- und Wand-,"Pendeluhr, Stockuhr, Wanduhr,",,,
5260,Orth,Louis v.,,,,,,,,Wien,1848,18.08.1848
"",,,,,,,,Uhren,Schlagwerk,,,
5261,Hertz,Friedrich,,,,,,Beschreibung einer von mir verbesserten Steck Nadel Maschine,"Stecknadel, Nadelmaschine",Wien,1849,06.09.1849
5262,Philippi,Franz,,,,,,Beschreibung zur Erzeugung gegossener Schlüssel,Schlüssel,Wien,1849,11.09.1849
5263,Ekling,J.M.,,,,,,Beschreibung meiner Verbesserungen an dem Induktions-Apparate,Induktor,Wien,1849,11.09.1849
5264,Elbogen,Heinrich,,,,,,"Beschreibung der ... Erfindung, ...: alle Gattungen Stoff-Cravaten ... zu erzeugen, ...",Krawatte,Wien,1844,02.10.1844
"",,Fortunato,,,,,,,,,,
"",,Giacomo Antonio,,,,,,,,,,
"",,,,,,,,Descrizione della nuova invenzione che ... consiste nella composizione di una pietra arteficiale ...,,,,
5265,Esquille,Ruggiero Burand,,,,,,,Kunststein,Milano,1844,05.08.1844
"",,,,,,,,[Kunststein][Text frz.],,,,
"",,de Monestrol,,,,,,,,,,
"",,Marquis de,,,,,,,,,,
"",,,,,,,,Beschreibung der Glanzzwirnappretur Maschiene auf Weiss und D Blauen Zwirn sowie auch auf,,,,
5266,Zabel,Franz,,,,,,,"Zwirn, Appreturmaschine",Leitmeritz,1845,04.09.1845
"",,,,,,,,alle Couleuren,,,,
