PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
3935,Newton,William Edward,,,,,"Entfärben/Knochenkohle,",,Wien,1840,01.05.1840
"",,,,,,,"Kohle verwendet, gebraucht worden war, damit sie die Eigenschaften der thierischen Kohle",,,,
"",,,,,,,Regeneration,,,,
"",,,,,,,"wieder erlange, wodurch sie zu ähnlichen Zwecken wieder tauglich werde",,,,
"",,,,,,,Erfindung: Verbesserungen in Farben oder Pigmenten und Vehiclen und in der Anwendungsart der,,,,
3936,Davy,Henry Savill,,,,,"Farbe, Weiß, Vehikel, Konservierung",,Wien,1840,11.05.1840
"",,,,,,,"Farben, Pigmente und Zwischenmitteln oder Vehiklen",,,,
"",,,,,,,"Ausführliche Beschreibung der neuen Maschine, welche H.Ludwig Molinié erfunden hat, mit allen",,,,
"",,,,,,,"erläuternden Zeichnungen, unter der Benennung Einblaseregulator, ... bey verschiedenen Klappenwehr, Schützenregulator,",,,,
3937,Molinié,Ludwig,,,,,,,Paris,1840,19.07.1840
"",,,,,,,"hidraulischen und Dampfgetrieben, durch die Anbringung eines neuen Einblaseregulators die Schieber",,,,
"",,,,,,,Gewalt der Urkraft zu regulieren und zu erhalten,,,,
"",,,,,,,"Beschreibung und Zeichnung ... der Verbesserung der Spinnkrempelmaschine für Schafwolle u. alle Krempeln, Vorbereitungsmaschine,",,,,
3938,Bracegirdle,Thomas,,,,,,,Gablonz,1841,12.11.1841
"",,,,,,,"andern Faserstoffe, ... Spinnmaschine",,,,
"",,,,,,,"Beschreibung meiner neuen mechanischen Vorrichtung an den Webstühlen,",,,,
3939,Esche,Joseph,,,,,"Webstuhl, Broschierlade",,Wien,1842,01.10.1842
"",,,,,,,"Seidenzeugmacherstühlen, und anderweitigen wie immer Nahmen habenden Arbeitsstühlen",,,,
"",,,,,,,"Beschreibung des Apparates, welcher dazu dient, aus bituminösen Schiefer, oder anderen Mergel/Bituminöser, Trockene",,,,
3940,Kreuter,Franz,,,,,,,München,1842,01.08.1842
"",,,,,,,"bituminösen Mineralien, Erdöl und Erdharz zu gewinnen Destillation, Mineralöl, Asphalt",,,,
"",,,,,,,Beschreibung der ... Verbesserung in dem Verfahren bey Erzeugung unebener Flächen auf Holz,,,,
3941,Urling,Roo W.,,,,,"Relief, Brenneisen",,Wien,1843,14.06.1843
"",,,,,,,und anderen Substanzen mittels Anwendung heißer Formen oder Stempel,,,,
3942,Pokorny,Anton,,,,,"Erklärung beiliegender Zeichnung, darstellend eine eiserne transportable Kochmaschine ... Kochherd",,Wien,1844,10.10.1844
"",,,,,,,Beschreibung der gemachten Verbesserung der luftdichten Verschließung geschlitzter Luftröhren,,,,
"",,,,,,,"ohne Hilfe der Klappen, und deren verschiedenartige Anwendung entweder auf Lufteisenbahnen",,,,
3943,Thaller,Anton,,,,,"Druckluftbahn, Rohrleitung",,Wien,1844,08.10.1844
"",,,,,,,"mit verdünnter oder verdichteter Luft, als auch mit Combinirung beider Methoden auf",,,,
"",,,,,,,Eisenbahnen oder zu anderen Zwekken,,,,
"",,,,,,,"Beschreibung der ... neuen Erfindung auf verschiedene gewobene Stoffe erhabene Dessins in Zeugdruck, Reliefdruck, Farbendruck,",,,,
3944,Bach,Louis,,,,,,,Wien,1844,15.08.1844
"",,,,,,,Farben zu drucken Dessin,,,,
"",,,,,,,"Rauchfangpech, Lösungsmittel,",,,,
3945,Bigler,Jakob,,,,,Beschreibung des Mittels und des Apparates zur Reinigung der Schornsteine,,Wien,1844,10.09.1844
"",,,,,,,Rauchfangkehrapparat,,,,
"",,,,,,,"Beschreibung einer Verbesserung an der Construction der Eisenbahnen, sowie am Straßenpflaster Oberbau, Straßenpflaster, Holzpflaster,",,,,
3946,Smith,Robert,,,,,,,Wien,1840,26.03.1840
"",,,,,,,und allen Arten Wegen und Straßen Pflasterstein,,,,
3947,Ponsford,James,,,,,Electro-magnetische Maschine Elektromotor,,Wien,1839,30.12.1839
"",,,,,,,Descrizione del nuovo miglioramento che consiste in Ordigni Serico-Tecnico economici da,,,,
3948,Lazzaroni,Giovanni Battista,,,,,"Seide, Spinnmaschine",,Milano,1843,17.07.1843
"",,,,,,,sostituire alle cosi dette Tavelle nella Filatura della seta [Seidenspinnmaschine],,,,
"",,,,,,,Erfindung gewisser Verbesserungen in dem Baue von sogenannten Rotations- oder,,,,
"",,,,,,,"Dampfmaschine, Kolbensteuerung,",,,,
3949,Davy,Henry Savill,,,,,"Umdrehungsmaschinen, wobei besonders die Reibung vermindert, und eine bedeutende",,Wien,1841,01.12.1841
"",,,,,,,"Drehschieber, Wälzlager",,,,
"",,,,,,,Ersparung an Brennmaterial erzielt wird,,,,
"",,,,,,,"Beschreibung nebst 12 Blätter Zeichnungen der ... Erfindung, welche ... darin besteht: in der",,,,
3950,Davy,Henry Savill,,,,,"Vervollkommnung von Dampfmaschienen und in der Methode sie zu construiren, auch in der Dampfmaschine, Dampfturbine",,Wien,1842,12.05.1842
"",,,,,,,Vervollkommnung von Dampfrädern ...,,,,
"",,,,,,,"Beschreibung gewisser Verbesserungen an Umwälzungs-Maschinen, die durch Wasser in",,,,
3951,Davy,Henry Savill,,,,,Wasserturbine,,Wien,1842,18.03.1842
"",,,,,,,Bewegung gesetzt werden,,,,
"",,,,,,,"Beschreibung gewisser Verbesserungen, um Wasser oder andere Flüssigkeiten empor zu heben",,,,
3952,Davy,Henry Savill,,,,,Pumpe,,Wien,1842,25.07.1842
"",,,,,,,"oder zu treiben, von denen einige Theile auch bei Dampfmaschinen angewendet werden können",,,,
