PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3699,Pirtzl,Leopold,,,,,,,"Eisenbahnwagen, Abort",Wien,,1844,28.02.1844
"",,,,,,,,anzubringenden Retirade,,,,,
3700,Bechstedt,Friedrich,,,,,,"Beschreiung jener Marmor ähnlichen Masse, ...","Plastische Masse, Kunstmarmor",Wien,,1844,17.01.1844
"",,,,,,,,Beschreibung und vorstehende Abbildung wird eine deutliche Allgemeine Vorstellung von denen,,,,,
3701,Sander,Joseph,,,,,,,"Bad, Waschtisch, Sitzbad",Wien,,1838,07.08.1838
"",,,,,,,,"Hauptbestandtheilen, der Badeapparat, Waschtisch, und Pretes, [geben]",,,,,
"",,,,,,,,Beschreibung der von J.H. Schwarz aus Fulda erfundenen Dampf-Maisch-Destillir-Apparate und,"Kartoffel, Einmaischapparat,",,,,
3702,Schwarz,J.H.,,,,,,,,Wien,,1839,28.11.1839
"",,,,,,,,"Dampf-Branntweindestillir-Apparate, ...","Branntwein, Destillierapparat",,,,
"",,,,,,,,Descrizione: La invenzione consiste nella sostituzione dell'idrogeno puro o carbonato ... dalle,"Wasserstoff, Wassergas,",,,,
3703,Bussolin,Domenico,,,,,,,,Venezia,,1843,02.07.1843
"",,,,,,,,fabbriche per la illuminazione ... [Wasserstoff und Wassergas zur Gasbeleuchtung],Gasbeleuchtung,,,,
"",,,,,,,,Beschreibung des angesuchten Privilegiums: Die innere Haut der Eyerschale ... Kunstblumen,,,,,
3704,Elbogen,Lazar,,,,,,,"Eischalenhaut, Kunstblume",Wien,,1844,21.05.1844
"",,,,,,,,/Boquets:/ zu erzeigen,,,,,
"",,,,,,,,Erklärung und Zusammensetzung der verfertigten Wiener Transferier Fliegel-Maschine zur,,,,,
3705,Seuffert,Johann,Striebel,Eduard,,,,,"Schal, Tuchschere",Wien,,1837,03.06.1837
"",,,,,,,,Ausschneidung der Shawls und anderer Gewirke,,,,,
3706,Etiard,Giulio,,,,,,Descrizione di un Telajo meccanico ... [Mechanischer Webstuhl],Webstuhl,Milano,,1842,01.10.1842
"",,,,,,,,"Descrizione del nuovo metodo, ossia miglioramento ... che consiste in sostanza in cosi dette",,,,,
3707,Lonati,Alessandro,,,,,,"Cassetti tutti di legno, ... per l'insolferazione di tutti i solfanelli ... [Kästchen zum Eintunken der","Zündholz, Tunkkästchen",Wien,,1843,20.11.1843
"",,,,,,,,Zündhölzchen in die Schwefelmasse],,,,,
