PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"Diskantoktaven, mit der Vorrichtung einer mit einer eisernen Schiene in Verbindung stehenden",,,,,
"",,,,,,,"Leiste, ...",,,,,
"",,,,,,,"Zeichnung und Beschreibung von ... Condensator /:Dämpfeverdichter:/, ...:1.die bey der",,,,,
"",,,,,,,"Destilation des Branntweins ... übergehende Dämpfe vollkommen verdichtet, kalt, auslaufen ...",,,,,
1228,Bauer,Ludwig Wenzel,,,,,,,Destillierapparat,Wien,1833,19.11.1833
"",,,,,,,"2.daß die Reinigung ..., ohne daß die Maschine aus dem Kühlwasser genommen zu werden",,,,,
"",,,,,,,"braucht, ... vor sich gehen kann. 3.daß man ... möglichst schnell destiliren kann ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ... daß er Forte piano ... verfertigen kann, mit einem ueber die",,,,,
1229,Goll,Johann Jakob,,,,,"Saiten liegenden Resonanzboden, der sich von den Zargen ununterbrochen über den",,"Klavier, Resonanzboden",Zürich,1822,21.04.1822
"",,,,,,,Hammeranschlag bis an den Stimmklotz ausdehnt,,,,,
1230,Siegmund,Wilhelm,,,,,Beschreibung der ... erfundenen Waschmaschine für Tücher und Wollezeuge aller Art,,"Waschmaschine, Wollwäsche",Reichenberg,1829,10.04.1829
1231,Tunner,Peter,,,,,Beschreibung der ... Erfindung eines Apparats zur Verkohlung des Holzes ...,,"Holzkohle, Verkohlen",Turrach,1827,21.07.1827
"",,,,,,,"Beschreibung der ... Erfindung, ...: Abdrükke von Metall- oder anderen Platten auf Porzellan, und",,,,,
1232,Fischer,Ch.,Reichenbach,Chr.,,,,,"Porzellan, Abziehbild",Pirkenhammer,1829,27.01.1829
"",,,,,,,zwar unter die Glasur desselben zu übertragen,,,,,
"",,,,,,,"Beschreibung der Verbesserung, ...: 1. Zu seinem Gewerk Hämmer von verschiedener Schwere ...",,,,,
"",,,,,,,verwende ... 2. ein stärkeres und schwächeres Feuer mit doppeltem und einfachem Gebläße ...,,,,,
1233,Zeillinger,Johann Alois,,,,,,,"Hammerwerk, Sense",Wien,1830,27.05.1830
"",,,,,,,"verwende und 3. dadurch eine bessere und reinere Waare erzeuge, die Arbeit erleichtere und eine",,,,,
"",,,,,,,sehr bedeutende Kohlen-Ersparung erzwecke,,,,,
"",,,,,,,Beschreibung der ... Erfindung ... das er zur Unterlage bey verfertigung der Seidenhütte statt Sieb,,,,,
1234,Garnier,Andreas,,,,,"und Papier Wachsleinwand oder Wachs Taffet nimmt, wodurch die Hütte Wasserdichter ...",,"Hut, Wasserdichter",Preßburg,1833,06.02.1833
"",,,,,,,werden ...,,,,,
