PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatu
"",,,,,,,"... zeiget hiermit ... an, eine neue Erfindung gemacht zu haben, welche ... darin bestehet: Eine neue",,,,,
876,Berger,Friedrich,,,,,"Gattung flamirte Schnüre /:Gimpen genannt:/ welche von Seide, und Baumwolle gewunden, ... in Spinnmaschine, Kordel, Färben/Kordel",,Wien,,1824,25.02.1824
"",,,,,,,"der Flamirung viele Farben spielen, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung ... ""daß er die Erfindung des H. Prof. Meißner, die Heitzung mit",,,,,
877,Bauer,Franz Ferdinand,,,,,Ofen,,Wien,,1823,07.04.1823
"",,,,,,,"erwärmter Luft auf eine eigenthümliche Weise anwende ...""",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht: ""Hölzerne Modelle von Bausteinen und",,,,,
"",,,,,,,"anderen Gebäude-Bestandtheilen so zu verfertigen, daß man dieselben mittelst Drahtstiften über",,,,,
878,Trentsensky,Joseph,,,,,Modellbau,,Wien,,1829,20.06.1829
"",,,,,,,"und neben einander befestigen, daher aus solchen die verschiedenartigsten zu einem Ganzen",,,,,
"",,,,,,,verbundenen Gebäude zusammen setzen kann,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Erfindung, welche ... darin besteht, daß mittelst eines neuen",,,,,
"",Vaucher du,,,,,,"Zeugdruck, Molettieren, Gravieren,",,,,,
879,,,,,,,Systems von Gravirstuhl zur Gravirung der Walzen für die Druckmaschinen die allerfeinsten,,Neunkirchen,,1826,16.09.1826
"",Pasquier,,,,,,Dessin,,,,,
"",,,,,,,Mustern ... dargestellt werden können,,,,,
"",,,,,,,"Beschreibung neuer verbesserter Mittel, um in den Vorbereitungs und Spinnmaschinen den",,,,,
"",,,,,,,"Spinnmaschine,",,,,,
880,Nicholson,L.,,,,,"Spulen, Röhren, und andern zum Aufwickeln der Bänder oder Fäden bestimmten Theilen die",,Wien,,1827,28.12.1827
"",,,,,,,Vorbereitungsmaschine,,,,,
"",,,,,,,nöthige Bewegung zu geben,,,,,
"",,,,,,,Beschreibung der ... neu erfundenen Beinknöpfe unter dem Namen Beinstahl-knöpfe à Relief ...;,,,,,
"",,,,,,,"Knopf, Tabaksdose, Schatulle,",,,,,
881,Hueber,Franz Anton,,,,,"dan andern Gegenständen nehmlich TobakDosen, Chattullen, ... und jedes Art",,Absam,,1830,09.12.1830
"",,,,,,,"Messerschale, Galanterie",,,,,
"",,,,,,,"Mobilienverzierungen, Messerschaalen ...",,,,,
882,Hornbostel,C.G.,,,,,"Verfertigungs-Art des Crèpe à la chinoise Krepp, Seidenstoff",,Wien,,1822,20.11.1822
"",,,,,,,Beschreibung der ... Erfindung ... 1. dem Salzpfannenkern das schwefelsaure Kali /:Arcanum,,,,,
"",,,,,,,"dupplicatum:/ und den Seifensiederlaugenfluß als Schmölzmittel zur Glaserzeugung zu Pfannenstein, Kali/Schwefelsaures,",,,,,
883,Zich,Joseph,,,,,"gebrauchen. 2. Aus dem Salzpfannkern ... eine verbesserte Art roher Soda zu bereiten, ... 3. Jede Seifensiederfluß, Schmelzmittel, Soda,",,Schwarzau,,1822,29.10.1822
"",,,,,,,"Art Pottasche durch eine höhere Oxydation ... zu Erzeugung eines farbenlosen ... Glases ... Pottasche, Glas",,,,,
"",,,,,,,"anwendbar zu machen, ...",,,,,
884,Schober,Jakob,,,,,"Beschreibungsart des neu erfundenen Schüttgelb und Saftgrün Gelb, Grün",,Wien,,1822,18.11.1822
"",,,,,,,"Beschreibung der Erfindung welche darin besteht, daß man mit einer Feder, mittelst einer",,,,,
885,Kuhn,Johann,Mueller,Karl Rudolf,,,"Vorrichtung viele Stunden ohne des Eintauchens an Dinte zu bedürfen, schreiben und diese Feder Füllfeder",,Wien,,1822,30.08.1822
"",,,,,,,mit Dinte gefüllt stets bey sich tragen kann,,,,,
"",,,,,,,Erklärung der Farben und Zubereitungen der böhmischen Lohschafleder so schön als die,,,,,
886,Heinolt,Franz,Zoeller,Jakob,,,"sächsischen Lohschafleder die nicht aus dem Troge, sowie die Saffiane, sondern mit der Bürste Maroquin, Färben/Leder",,Prag,,1824,25.02.1824
"",,,,,,,"gefärbt werden, und so auch gegen die Sächsischen verbessert sind, ...",,,,,
887,Ofenheim,Anton Daniel,,,,,"Beschreibung des ... ganz neu erfundenen Gasapparates Gasbeleuchtung, Leuchtgas",,Wien,,1828,14.07.1828
"",,,,,,,"Einrichtung der Werkstühle als erster, und Herstellung der Hosenträger Band und Leibbinden als",,,,,
888,Felix,Gregor,,,,,"Bandstuhl, Hosenträger, Leibbinde",,Wien,,1829,12.06.1829
"",,,,,,,zweiter Gegenstand dieser Erfindung,,,,,
"",,,,,,,"Genaue Beschreibung der Verfahrungsarten, welche bei meiner erfundenen Düngererzeugung",,,,,
889,Petri,Bernhard,,,,,Kunstdünger,,Theresienfeld,,1824,28.02.1824
"",,,,,,,und der besten Verwendung dieses Düngers zu beobachten sind,,,,,
"",,,,,,,"Beschreibung der ... Erfindung. Dieselbe bestehet ... in der ... Entwässerungsmaschiene, welche im",,,,,
"",,,,,,,"Freyen durch den Druck der Luftströmungen allein, ... in Bewegung gesetzt wird, und wobey deren Windrad, Wasserhebemaschine,",,,,,
890,Fischer,Joseph W.,,,,,,,Korneuburg,,1828,01.05.1828
"",,,,,,,"dadurch bewirkte Kraft, entweder durch den Betrieb eines ... Saug- oder Druckwerkes, das nöthige Bewässerung, Entwässerung",,,,,
"",,,,,,,"Wasser aus der Tiefe herausbringet, welches zur Bewässerung ... gebraucht werden kann",,,,,
"",,,,,,,"Genaue Beschreibung der Verfahrungsart und der Stoffe, aus welchen unterzeichnete die zur Hut, Kappe, Rohr/Spanisches, Weiden,",,,,,
891,Zebitsch,Antonia,,,,,,,Wien,,1822,16.09.1822
"",,,,,,,Erlangung eines Privil.excl. ... Hüte und Kappen erzeugt Fischbein,,,,,
