PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
4712,Fornara,Giulio Cesare,,,,,,Kunstdünger,,Milano,,1847,12.03.1847
"",,,,,,,sorta di terreno ... [Dünger],,,,,,
"",,,,,,,... zeigt ... an eine neue Erfindung und Verbesserung gemacht zu haben ...: Mittelst einer Maschine,,,,,,
4713,Klinger,Vinzenz,,,,,"den Rauch aus Kaffehaus oder Gasthaus Lokalen, so wie auch den Dunst aus Sälen Theater oder","Rauchabzug, Exhaustor, Lüftung",,Wien,,1847,07.08.1847
"",,,,,,,"Arbeitslokalen abgeleitet werden könne, ...",,,,,,
"",,,,,,,"Beschreibung der Erfindung und Verbesserung, durch welche bei Hochdruck Dampfmaschiene,",,,,,,
"",,,,,,,"von jedem beliebigen Dampfdruck, luftleerer Raum erzielt wird, wodurch eine bedeutende",,,,,,
4714,Dobbs,S.,,,,,,"Dampfmaschine, Vakuumapparat",,Wien,,1847,19.04.1847
"",,,,,,,Ersparniß des Brennstoffes und eine große Vermehrung der Kraft der Dampfmaschine erzeugt,,,,,,
"",,,,,,,werden,,,,,,
"",,,,,,,Genaue Beschreibung und Zeichnung ... wegen der neuen Erfindung die Aufzug Jalusien mittelst,,,Gutenbrunn bei,,,
4715,Eisenlatner,Martin,,,,,,Jalousie,,,,1847,07.08.1847
"",,,,,,,eines in der Fenster.Verschallung angebrachten Schubriegels öffnen und schließen zu können,,,"Baden, N.Oe.",,,
4716,Hartmann,Franz,,,,,... bittet um Geheimhaltung eines ausschl. Privilegium ... auf Braceletts- und Perlschlissenfedern ...,"Armband, Halsband, Schließe",,Wien,,1847,04.08.1847
"",,,,,,,Beschreibung der ... neuerfundenen catoptrischen Luftbilder-Apparate zur Darstellung einer,,,,,,
4717,Sturm,Salomon,,,,,,Spiegelbild,,Wien,,1847,12.08.1847
"",,,,,,,künstlichen Fata Morgana im Freien ...,,,,,,
"",,,,,,,Beschreibung ener neuen Erfindung und Verbesserung in der Erzeugung aller Gattungen Knöpfe,,,,,,
4718,Kraemer,J.,,,,,,Knopf,,Wien,,1848,10.01.1848
"",,,,,,,"ohne Oehr, ...",,,,,,
"",,,,,,,Beschreibung der gemachten Erfindung und Verbesserung in der Erzeugung aller Gattungen,,,,,,
4719,Pollak,A.M.,,,,,,Spielzeug,,Wien,,1848,25.01.1848
"",,,,,,,Kinderspielwaaren ...,,,,,,
"",,,,,,,Beschreibung der Bereitung des Priv. zur Verfertigung in der Zahntechnik aus eigens hiezu von,,,,,,
4720,Engelmann,Eduard,Weiger,Joseph,,,,"Gebiß/Künstliches, Legierung",,Wien,,1843,04.07.1843
"",,,,,,,denselben bereiten Platina,,,,,,
"",,,,,,,Beschreibung einer Erfindung und Verbesserung in der Erzeugung einer Tonveränderungs-,"Blasinstrument,",,,,,
4721,Buschann,Andreas F.,,,,,,,,Wien,,1847,21.05.1847
"",,,,,,,Druckmaschine ... für alle Gattungen Musikalischer Metal-Blasinstrumente ...,Klappe/Blasinstrument,,,,,
"",Jabornegg -,,,,,,"Beschreibung der ... Erfindung ... einer neuen Methode in Beleuchtung, der sogenannten",,,,,,
4722,,Markus Frh.v.,,,,,,"Laterne, Scheinwerfer",,Klagenfurt,,1847,05.10.1847
"",Gamsenegg,,,,,,katoptrischen Laterne ...,,,,,,
"",,,,,,,"Beschreibung einer ... Entdeckung und Verbesserung, welche ... in einen neuen System von",,,,,,
"",,Valerian Ludwig,,,,,,,,,,,
4723,None,,,,,,"Sicherheits-Papier besteht, wodurch jede partielle Verfälschung jedweder Gattung von Schrift",Sicherheitspapier,,Wien,,1843,19.05.1843
"",,Karl de,,,,,,,,,,,
"",,,,,,,oder Steindruck ... unmöglich wird,,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung und Verbesserung in der Papier-Erzeugung, namentlich aus Stroh",,,,,,
4724,Crouy,Heinrich Graf v.,,,,,,"Strohpapier, Papiermaschine",,Wien,,1844,22.04.1844
"",,,,,,,und allerartigen anderen faserigen Substanzen ...,,,,,,
4725,Habenicht,August,,,,,"Beschreibung ... des Priv. auf einen verbeserten Cigarenabschneider, ...",Zigarrenspitzenmesser,,Wien,,1847,23.08.1847
"",,,,,,,Beschreibung der ... Verbesserung in der Erzeugung der von H. Georg Bauherr erfundenen und,,,,,,
4726,Bauherr,Georg,Wenger,Alois,,,,Gallerte,,Wien,,1846,02.12.1846
"",,,,,,,"1840 patentirten Gelatine-Bereitung, ...",,,,,,
"",,,,,,,Beschreibung ... auf Verbesserungen in der Erzeugung wasserdichter Schuh und Stiefel nämlich,,,,,,
4727,Butula,Jakob,Walla,Mathias,,,durch Imprägnierung des Sohlenleders und Einnehmung eines Wasserdichten Stoffes zwischen,"Schuh, Stiefel",,Wien,,1844,17.09.1844
"",,,,,,,der Sohle und Ueberstemm,,,,,,
4728,Schmidt,Johann,,,,,Beschreibung der Verfertigung der verbesserten Militair und Civil CzakoHut und Kappenrosen,Abzeichen/Militärisches,,Wien,,1847,24.08.1847
