PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
224,Henkel,Friedrich,Henkel,Karl,,,Beschreibung des ... erfundenen neuen Stoffes zu Fischbeinhüten,Hut,Wien,,1824,08.04.1842
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er aus Thierischen Fetten ein feines",,,,,
225,Rotheneder,Leopold,,,,,,Oel,Wien,,1825,04.08.1825
"",,,,,,,"Oehl zu bereiten weis, welches geruchlos und ohne Rauch den Wachs Lichteren ähnlich brennt ...",,,,,
"",,,,,,,"Erklärung der ... auf Mühlstühlen gemachten Tres-Hosenträger Band, sowohl glatte als facionirte",,,,,
226,Reyl,Joseph,,,,,,"Hosenträger, Seidenband",Wien,,1821,27.12.1821
"",,,,,,,aller Art,,,,,
"",,,,,,,Beschreibung der ... Entdekkung; 1. Alle Gattungen Siegellacke mittelst einer ... Maschine ... zu,,,,,
"",,,,,,,verfertigen ... 2. durch Entdeckung aus bishero unbekannten Ingredienzien eine Mischung des,,,,,
227,Hansch,Anton Georg,,,,,,Siegellack,Wien,,1827,01.02.1827
"",,,,,,,"Siegellakes hervorzubringen, daß nicht nur das feine Lak in allen Farben ... sondern ... alle",,,,,
"",,,,,,,Gattungen ... billiger ... ausgearbeitet werden können,,,,,
"",,,,,,,Beschreibung der Erfindung und reellen Verbesserung der elastischen Männer Hals und Damen,,,,,
228,Bullmann,Heinrich,,,,,,"Halsband, Leibbinde, Armband",Wien,,1826,10.07.1826
"",,,,,,,Leib und Arm Binden,,,,,
229,Fornari,Giovanni,,,,,"Descrizione de mezzi e della materia per formare le viti a mordente,",Schraube,Milano,,1811,16.07.1811
230,Bortolani,Giacomo,,,,,Descrizione: I metodi di tirare il rame in filo ... [Drahtzieherei],Draht,Selvana,,1808,15.10.1808
231,Kohn,Isaak,,,,,Beschreibung des ... erfundenen Weingeist Reinigungs-Apparates,"Weingeist, Destillierapparat",Wien,,1825,06.12.1825
232,Kremp,Heinrich,,,,,Beschreibung der ... neu erfundenen Verbesserung der Seidenfelberhüte,Hut,Wien,,1825,15.03.1825
"",,,,,,,Beschreibung der Verbesserungen des Franz Xav. Schafzahlschen Maschinewerkes zur,,,,,
233,Leitner,Christian R.v.,,,,,,Nagel,Graz,,1821,14.03.1821
"",,,,,,,Nagelerzeugung,,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, welche ... darin besteht: 1. Tuch ... mit einem",,,,,
"",,,,,,,"bleibenden Glanze, ... zu zubereiten, ... 2. getragene Kleidungs Stücke ... so zu zurichten als ob",,,,,
234,Dischon,Jakob,,,,,,"Stoff, Appretur, Dekatierung",Wien,,1826,13.09.1826
"",,,,,,,"selbe neu wären, 3. ganze Stücke ... ohne Bruch auf die vor erwähnte Art zu zu richten oder zu",,,,,
"",,,,,,,decatiren,,,,,
"",,,,,,,"zeigt ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, daß er alles, was zu",,,,,
235,Weinberger,Adam,,,,,,"Kochapparat, Kochgeschirr",Wien,,1824,02.09.1824
"",,,,,,,"einem Traiteur [Gastwirt] in Hinsicht des Auskochens wichtig ist, mittels Dampfkessels kocht",,,,,
236,Spenesberger,Joseph,,,,,Beschreibung der von dem Unterzeichneten neu erfundenen Zugbertl Maschine,"Zugbörtchenmaschine, Borte",,,1826,30.11.1826
237,Reali,Giuseppe Maria,,,,,"Quadro dimostrativo le operazioni da eseguirsi nel nuovo lavoro, ed i risultati",Zucker,Venezia,,1822,14.06.1822
"",,,,,,,Die Reagentien zur Beförderung der Arbeiten in der Hutfabrikation sind - zum Enthaaren - von,,,,,
238,Garnier,Andreas,,,,,,"Hasenbalg, Beize, Gerben",Wien,,1822,26.09.1822
"",,,,,,,einhundert Haasenbälgen - folgende ...,,,,,
"",,,,,,,"Jeud'esprit - eine neue Erfindung nach Art Mosaik nicht mit Steinen, sonder mit anderen Stoffen",,,,,
"",,,,,,,von allen möglichen Farben die schönsten Dessins und tausend andere Gegenstände -,,,,,
239,Lerchenthal,Benedikt Edl.v.,,,,,,"Dessin, Jeu d'esprit",Wien,,1826,12.03.1826
"",,,,,,,Zeichnungen mit einer unerschöpflichen Phantasie-Abwechslung und Auswahl des Geschmacks zu,,,,,
"",,,,,,,verschiedener nützlicher Anwendung selbst zu entwerfen und aufzustellen,,,,,
"",,,,,,,Beschreibung der zum Theil ganz neue zum Theil von mir in Folge meiner früheren Erfindungen,,,,,
240,Ofenheim,Anton Rainer,,,,,,Gasbeleuchtung,Wien,,1826,04.01.1826
"",,,,,,,verbesserten verschiedenen Apparate behufs der Gasbeleuchtung,,,,,
241,Ehlers,Joachim,,,,,"Beschreibung der ... Verbesserung am Clavier-Instrumente, ...",Klavier,Wien,,1823,20.12.1823
242,Seufert,Michael,,,,,Geheimniß und Inhalt von den Copal-Lack-Bolirten Arbeiten,"Koppallack, Politur",Wien,,1822,28.08.1822
"",,,,,,,"Beschreibung der von Unterzeichneten Neu erfundenen Art die Strazzen zu schneiden, und der",,,,,
243,Uffenheimer,Johann Gabriel,,,,,,"Papier, Hadern",Wien,,1824,27.01.1824
"",,,,,,,dazu gehörigen Maschinen,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Erfindung, welche ... in einer Maschine besteht, mittelst",,,,,
"",,,,,,,,,Oberwaltersdor,,,
244,Gradner,Franz,Gradner,Michael,,,"welcher die Baumwolle, wie auch die Schafwolle zubereitet, und die bisher übliche Krampel, oder",Spinnmaschine,,,1824,27.04.1824
"",,,,,,,,,f,,,
"",,,,,,,"Streichmaschine ganz entbehrlich gemacht, und beseitigt wird",,,,,
