PrivRegNr,Name1,Vorname1,,Name2,Vorname2,,Name3,Vorname3,,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,,,"verfärben, nebst der Anwendung des angeblichen Mittels binnen 48 Stunden starke Ochsenhaute",,,,,,,
"",,,,,,,,,zu schwellen und aufzutreiben,,,,,,,
"",,,,,,,,,Beschreibung der ... gemachten Verbesserung an den Scheeren überhaupt; also von der kleinsten,,,,,,,
516,Joachym,Joseph,,,,,,,,,Schere,,Prag,,1827,08.06.1827
"",,,,,,,,,bis zur größten Scheere,,,,,,,
"",,,,,,,,,"Beschreibung meiner Verbesserung, das Tuch und die übrigen Wollenstoffe mittelst Wasserdampf",,,,,,,
"",,,,,,,,,"dergestalt zuzurichten oder zu dekatiren, daß 1) die Zurichtung vollkommener und mit",,,,,,,
517,Dischon,Jakob,,,,,,,,,Dekatiermaschine,,Wien,,1829,07.04.1829
"",,,,,,,,,wesentlichen Ersparnissen verrichtet; und 2) auch das Dekatiren der auf Mäntel bestimmten,,,,,,,
"",,,,,,,,,Tücher ohne alle Büge zu Stande gebracht wird,,,,,,,
518,Schwab,Joseph,,,,,,,"Die angezeigte Verbesserung aller Arten von Tischlerarbeiten, worin Schubladen vorkommen, ...",,"Tischler, Schublade",,Wien,,1826,15.04.1826
519,Schmied,Jakob,,,,,,,"Beschreibung der neuen Verbesserung mittelst einer neuen Vorrichtung an Tabakspfeifen, ...",,Tabakspfeife,,Brünn,,1828,18.02.1828
"",,,,,,,,,Genaue Darstellung meienr Verbesserung in der Verfahrungsart bei der Verfertigung von Filz-,,,,,,,
520,Weiss,Leopold,,,,,,,,,Hut,,Wien,,1825,22.09.1825
"",,,,,,,,,Hüten,,,,,,,
"",,,,,,,,,Beschreibung der ... Erfindung welche im Wesentlichen darin besteht: Mühlen und alle anderen,,,,,,,
521,Kirchberger,Joseph,,,,,,,ähnliche Werke mit beliebiger Kraft und Schnelligkeit mittelst einer einfachen Vorichtung zu,,Windmotor,,Heinrichgrün,,1828,13.02.1828
"",,,,,,,,,bewegen und resp. zu betreiben,,,,,,,
522,Rosenberg,Ariel,Winternitz,,Josua,,,,"Beschreibung der Verbesserung, welche darin besteht, daß sie ein Siegellack erzeugen",,Siegellack,,Wien,,1826,22.12.1826
