PrivRegNr,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4113,Delcambre,Adrian,Young,James Hadden,,,,Beschreibung einer Erfindung auf eine verbesserte Weise Drucker-Typen zu setzen,,"Letter, Setzmaschine",Wien,,1841,01.06.1841
4114,Fontana,Carolina,,,,,,Descrizione del metodo inventato ... per la fabbricazione di Maillons,,Maillon,Milano,,1841,19.05.1841
"",,,,,,,,Descrizione e dettaglio della macchina per fare i chiodi colla lamiera di ferro [Eisendrahtnägel-,,,Castello sopra,,,
4115,Badonie,Giuseppe,,,,,,,,Nagel,,,1843,07.02.1843
"",,,,,,,,Maschine],,,Lecco,,,
4116,Edlinger,Joseph,Pink,Wenzel,Pink,,Johann,Beschreibung der Rastrir-Maschine,,"Liniermaschine, Papier/Rubriziertes",Wien,,1843,17.06.1843
4117,Tripet,Karl August,,,,,,Beschreibung der Schneidemaschine für Kämme,,"Kamm, Fräsmaschine/Kamm",Prag,,1843,11.06.1843
4118,Brielmayer,Ferdinand,,,,,,Beschreibung und Erklärung zur Zeichnung der neu erfundenen Waschmaschine,,Waschmaschine,Wien,,1844,25.05.1844
"",,,,,,,,"Beschreibung der Verfahrungsart der ... Erzeugung der Patent Glanzstärke, aus Weizen, Reis,",,,,,,
4119,Czerwinka,Joseph Karl,,,,,,,,Stärke,Graz,,1844,22.06.1844
"",,,,,,,,"Gerste, Korn, etc.",,,,,,
"",,,,,,,,Beschreibung der bereits in Paris privilegirten und nun von dem Gefertigten verbesserten,,,,,,
4120,Contriner,Joseph,,,,,,,,"Hosenstrupfe, Schließe",Wien,,1845,17.03.1845
"",,,,,,,,Strupfenschließen,,,,,,
4121,Preissler,Philipp,Seigel,Israel,,,,Recept des sogenannten Amazonenöhls zur Stärkung und Beförderung des Haar - Wachsthums ...,,Haaröl,Wien,,1845,21.05.1845
"",,,,,,,,Erklärung der Ingredienzien welche zu der erwähnten Flecken-Essenz in den drei Sorten unter,,,,,,
4122,Mayer,Joseph,,,,,,,,Fleckputzmittel,Wien,,1845,29.04.1845
"",,,,,,,,"dem Namen ""Flora-Essenz"" verwendet werden",,,,,,
"",,,,,,,,"Beschreibung der Bereitung der ... erfundenen neuen Wasch-Toilette- und Lustrir-Seife, Lilienseife",,,,,,
4123,Sacher,Friedrich,,,,,,,,Seife,Prag,,1842,08.07.1842
"",,,,,,,,genannt,,,,,,
4124,Haasmann,Joseph,,,,,,"Der Zweck meiner Erfindung ist, die Reinigung der engen ... Rauchfänge ...",,Rauchfangkehrapparat,Wien,,1842,29.10.1842
"",,,,,,,,"Beschreibung der Verbesserung der Scheidungskunst, ..., daß bei Scheidung des Silbers von Kupfer",,,,,,
4125,Schweizer,Joseph,,,,,,,,"Silber, Aufbereitung",Wien,,1845,21.07.1845
"",,,,,,,,"keine ... große Ausdünstung entstehet, ...",,,,,,
"",,,,,,,,"Beschreibung von einer neuen erfundenen Continous oder sogenannten Lockmaschine, die auch",,,,,,
4126,Herzel,Andreas,Knott,Franz,,,,,,"Krempeln, Vorbereitungsmaschine",Brünn,,1845,24.02.1845
"",,,,,,,,zugleich vorspinnt,,,,,,
"",,,,,,,,Beschreibung und Berechnung der arostatischen Maschine zur Hervorbringung einer kostenlosen,,,,,,
4127,Lustig,Max,Pwany,Ignaz,,,,,,Luftmotor,Wien,,1846,10.03.1846
"",,,,,,,,Triebkraft,,,,,,
"",,,,,,,,"Verbesserungen in der Bereitung und Zusammensetzung von plastischen Massen, welche theils zu",,"Plastische Masse, Modellieren, Mörtel,",,,,
4128,Urling,Roo W.,,,,,,,,,Wien,,1845,11.09.1845
"",,,,,,,,"Verzierungen ..., theils als feuerfester Mörtel oder Zement verwendbar sind",,Feuerfester Zement,,,,
"",,,,,,,,"Beschreibung ... der ... Erfindung einer Maschine zur Erzeugung der Weberkämme, mittelst",,,,,,
4129,Urling,Roo W.,,,,,,,,"Weberkamm, Fräse/Kamm",Wien,,1841,10.08.1841
"",,,,,,,,"welcher die Zähne ... befestiget werden können, ...",,,,,,
4130,Syre,August Friedrich,,,,,,Beschreibung der neu erfundenen und verbesserten gepreßten Siegel Oblaten ...,,Siegelmarke,Wien,,1842,04.06.1842
"",,,,,,,,"Beschreibung der ... Entdeckung, ...: mittelst Litho-Picturographie /: Stein- und Zinkmalerey:/ ...",,,,,,
4131,Elbogen,Heinrich,Hueffer,Oswald,,,,,,"Lithographie, Zinkographie, Zeugdruck",Wien,,1843,07.07.1843
"",,,,,,,,alle zum Drucken geeigneten Stoffe zu drukken ...,,,,,,
"",,,,,,,,"Beschreibung des Hauptprinzipes sowohl als auch der Maschine, durch welche ich die Dampf- und",,,,,,
4132,Wetterneck,Joseph,,,,,,,,"Dampfmaschine, Wasserkraftmaschine",Felixdorf,,1843,13.06.1843
"",,,,,,,,Wasserkraft als Triebkraft am vortheilhaftesten zu verwenden suche,,,,,,
"",,,,,,,,"Darstellung und Beschreibung einer verbesserten Art Papier- und Foliosiegel, wie aller aus jedem",,,,,,
4133,Berger,C.W.,,,,,,,,"Siegelmarke, Prägmaschine",Wien,,1843,19.06.1843
"",,,,,,,,"... zum Prägen geeigneten Stoffen bestehenden Prägungen, ...",,,,,,
