PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"di seconda fusione, e nelle officine da ferro ... [Anthrazit zum Eisenschmelzen in Hochöfen]",,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in un torchio di legno per istampare,,,,
3766,Moretti,Luigi,,,,,,"Hut, Etikette, Presse",Milano,1842,15.04.1842
"",,,,,,,le etichette di Capellaj [Etikettenpresse für Hüte],,,,
"",,,,,,,Descrizione della nuova scoperta invenzione che consiste in sostanza nella construzione d'un,,,,
3767,Pialorsi,Cristofori,Zapparelli,Gaetano,,,,Backofen,Brescia,1840,24.01.1840
"",,,,,,,forno di Ghiso portabile per cuocere il pane,,,,
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una bigattiera mobile ... per,,,,
3768,Strada,Luigi,,,,,,"Seidenraupe, Zuchtstand",Milano,1840,14.03.1840
"",,,,,,,agevolare il cambiamento dei letti e la formazione dei bozzoli [Seidenraupenzuchtständer,,,,
"",,,,,,,Beschreibung der ... Erfindung eines Mittels zur Vertilgung der Wanzen in Wohngebäuden und,,,,
3769,Schwarz,Wenzel,,,,,,"Ungeziefer, Wanzenvertilgung",Wien,1840,10.06.1840
"",,,,,,,Möbeln aller Art,,,,
"",,,,,,,"Die Erfindung des Unterzeichneten besteht in einer ganz neuen Form Metall-Clavier-Saiten, Feder-",,,,
3770,Schwab,Heinrich,Schwab,Wilhelm,,,,Klaviersaite,Wien,1839,28.04.1839
"",,,,,,,oder Schlangensaiten genannt,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß er statt des bisher bekannten Wagentheers - ein",,,,
3771,Passakas,Nikolaus,,,,,"Schmiertheer erfunden hat, welches nicht nur zu allerlei Wägen, sondern auch zum Schmieren",Schmiermittel,Stanislau,1840,26.02.1840
"",,,,,,,aller Arten Maschinen mit besonderem Vortheil angewendet werden kann,,,,
"",,,,,,,"Beschreibung des vereinfachten Drosselstuhles für Flachs, Hanf, Kammwolle, Baumwolle, alle",,,,
3772,Drossbach,,Ruedorffer,Erich,Mannhardt,,,Spinnmaschine,München,1840,03.01.1840
"",,,,,,,Faserstoffe und Zwirn,,,,
3773,Scheyrer,Karl Joseph,,,,,Beschreibung der Entdekung in der Erzeugung der Sensen- und Sichelzaine auf kalten Wege,"Gerbstahl, Zain, Strecken, Sense, Sichel",Wien,1841,11.03.1841
3774,Fries,Heinrich,,,,,Chemische Zubereitung des Krapps,"Krapp, Auslaugen, Garancin, Färben",Wien,1842,01.10.1842
"",,,,,,,,"Sense, Härten/Stahl, Muffelofen,",,,
3775,Weinmeister,Michael,,,,,"Beschreibung der Verbesserungen, welche ich in der Fabrikation der Sensen gemacht habe, ...","Blechschere, Hebelpresse,",Michelndorf,1843,21.01.1843
"",,,,,,,,Schleifmaschine,,,
"",,,,,,,"Beschreibung der ... Erfindung einer Farbe, die wen sie auf Holz, Stein, Eisen, Metall, Mauerwerk",,,,
"",,,,,,,"oder auf was immer für einen beliebigen Körper von Sachverständigen aufgetragen wird, so",,,,
3776,Friedel,Johann,,,,,,"Anstrich, Oberflächenschutz",Wien,1843,07.04.1843
"",,,,,,,"anhaltend und dauerhaft ist, daß keine ... Jahreszeit an ihrer Qualität ... etwas zu ändern vermag,",,,,
"",,,,,,,...,,,,
3777,Hillinger,Franziska,,,,,"Beschreibung der ... Erfindung, ...: Ein Toilette Schönheits Wasser - ""Eau de Millefleurs"" genannt, ...",Parfüm,Wien,1844,22.01.1844
"",,,,,,,,"Spiralfeder, Uhrkette, Halskette,",,,
3778,Schwer,Dominik,,,,,Beschreibung der von mir erfundenen neuen elastischen Doppelketten,,Wien,1844,11.05.1844
"",,,,,,,,"Armband, Doppelkette",,,
"",,,,,,,Beschreibung der vom Gefertigten neu erfundenen Construction des Gestells an Regenschirmen,,,,
3779,Gramich,Karl Balthasar,,,,,,Regenschirm,Wien,1844,15.10.1844
"",,,,,,,"""Platzregenschirm"" genannt, resp. neu erfundene Verbesserung des Mottet'schen Systems",,,,
"",,,,,,,"Beschreibung der Erfindung, ..., die Schichtel Handschuhe auf eine Art zuzuschneiden, daß bei",,,,
"",,,,,,,"fehlerhaften und unreinen Leder den schadhaften Stelle ausgewichen werden soll, wodurch sehr","Handschuh, Zuschneiden,",,,
3780,Dietsch,Bernhard,,,,,,,Wien,1844,24.07.1844
"",,,,,,,"viel Leder erspart wird, und die Hauptsache eine gefällige Form erhalten, und passender und",Ledereinsparung,,,
"",,,,,,,gleichförmiger werden,,,,
3781,Fleisch,Franz,,,,,Beschreibung des von dem Erfinder verbesserten Stoßhebers,Pumpe,Wien,1842,07.12.1842
"",,,,,,,"Beschreibung von der Verbesserung und Erfindung alle erdenen, alten u. neuen Oefen, mit völliger",,,,
3782,Schuster,Franz R.v.,,,,,"halber Holzerspahrung zu setzen, u. die Häuser ohne Küchen u. blos mit feuersicheren Kamine zu","Kochherd, Kamin",Tulbing,1840,31.01.1840
"",,,,,,,"bauen, ...",,,,
