PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
3143,Binder,,Reingruber,Lorenz,Breitenstein,,,,,Wien,,1838,24.12.1838
"",,,,,,,Petinet Stühlen ganz einfach mit wenig Vorrichtung erzeugt wird,Schafwollstoff,,,,,
3144,Bettinger,Therese,,,,,Beschreibung der ... neuen Erfindung von Vor- oder Regendächern auf alle Gattungen Wägen,"Wagen, Wetterdach",,Wien,,1841,13.04.1841
"",,,,,,,"... Beschreibung der neuen Erfindung die Thierkräfte zur Bewegung aller Arten von Maschinen,",,,,,,
3145,Vécsey,Nicolas Baron v.,,,,,,Getriebe,,Wien,,1842,23.02.1842
"",,,,,,,"Mühlen, Schiffen, Wägen && zu verwenden",,,,,,
3146,Rietsch,Franz Gottfried,,,,,Beschreibung der ... neu erfundenen Kühlflaschen,Thermosflasche,,Wien,,1842,24.01.1842
"",,,,,,,"Beschreibung sammt Zeichnung der ... Erfindung einer ganz neuen Art construirter Leuchter, Salon-",,,,,,
3147,Schelivsky,Vinzenz,,,,,,Leuchter,,Wien,,1842,14.02.1842
"",,,,,,,"und Toilette-Leuchter genannt, ...",,,,,,
"",,,,,,,Beschreibung des ... Verfahrens bei der industrialen Verbeßerung der bisher in dem In- und,,,"Ratten, Bez.",,,
3148,Zeilinger,Joseph,,,,,,"Sense, Gerbstahl, Paketieren",,,,1832,01.12.1832
"",,,,,,,"Auslande bekannten Gärbung des Sensenstahles, ...",,,Vorau/Stmk.,,,
"",,,,,,,Descrizione del Disegno dimostrativo il meccanismo per l'innalzamento dell'acqua ...,,,,,,
3149,Colombo,Giuseppe,,,,,,"Wasserhebemaschine, Pumpe",,Milano,,1840,24.01.1840
"",,,,,,,[Wasserhebemaschine],,,,,,
"",,,,,,,"Processo ... per l'imbiancamento delle fibre o toglio del Lino e della Canapa greggie, ... [Flachs- und",,,,,,
3150,Marcolongo,Giulio Cesare,Tosoni,Raffaello,,,,"Flachs, Hanf, Bleichen",,Milano,,1838,05.05.1838
"",,,,,,,Hanfbleiche],,,,,,
"",,,,,,,Descrizione dell'Invenzione per ... consiste ad ottenere il Gaz d'illuminazione dalla distillazione,,,,,,
3151,Stagnoli,Siro,,,,,diretta e simultanea dell'acqua e di materie primitive che contingono del Carbonico ... [Leuchtgas,"Leuchtgas, Gasbeleuchtung",,Milano,,1838,05.04.1838
"",,,,,,,durch die Destillation von Wasser und kohlenhältigen Stoffen],,,,,,
3152,Waldstein,Jakob,,,,,Beschreibung der neu erfundenen Brillengestelle mit Feder-Scharnieren,Brille,,Wien,,1842,08.06.1842
3153,Fuchs,Joseph,Schiffner,Rudolph,,,Beschreibung einer neuen Methode der Weinsteinraffinirung,"Weinstein, Raffinade/Weinstein",,Wien,,1842,24.06.1842
