PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,,"Schafwolle, Wollwäsche, Waschmittel,",,,,
3513,Heksch,Adolph,,,,,,"Wollwasch-Reinigungsmethode, und einer neuen Erfindung die Schaf-Wolle von Kletten und",,Wien,,1839,28.05.1839
"",,,,,,,,,"Seifenwurzeln, Gipskrautwurzel",,,,
"",,,,,,,,Haarläuse zu befreyen,,,,,
3514,Karl,Heinrich,,,,,,Beschreibung der ... schon vor Jahren erfundenen  und nun verbesserten Blenden zum arbeiten,Lichtschirm,Kremnitz,,1839,01.06.1839
"",,,,,,,,"Beschreibung der ... Erfindung, ..., aus dem Ennsthaler Torf in liegenden Meilern Kohlen zu",,,,,
"",,,,,,,,"erzeugen, durch deren Anwendung vor dem Gebläse in begränzten Feuern, ohne Beimengung","Torfkohle, Verkohlen, Hochofen,",,,,
3515,Fuerst,Anna,,,,,,,,Rottenmann,,1839,22.06.1839
"",,,,,,,,"eines anderen Brennmaterials, die Schweißhitzte sowohl zum Stahl und Eisengärben, als auch zum",Feuerung,,,,
"",,,,,,,,Strecken ... geschen kann,,,,,
"",,,,,,,,Beschreibund der Erfindung zur Erzeugung Feuerfester Schmezltiegel und derlei Töpfer-Arbeiten,,,,,
3516,Fischer,L. G.,,Schindler,Michael,,,,"Schmelztiegel, Tonwaren/Feuerfeste",Graz,,1841,09.06.1841
"",,,,,,,,aus einer in Steiermark aufgefundenen Thonart ohne Beimischung von Graphit,,,,,
3517,Neumann,Lazar,,Raubitschek,Abraham,Sattler,Abraham,Beschreibung des neuen Verfahrens Seife mittelst des Glaubersalzes darzustellen,"Natron/Schwefelsaures, Seife",Tettin,,1842,12.02.1842
"",,,,,,,,,"Hochofen, Puddelofen, Röstofen,",,,,
"",,,,,,,,Beschreibung der Verbesserung und Erfindung ...: 1. ... an den bereits unterm 25.06.1841,,,,,
"",,,,,,,,,"Koksofen, Frischofen, Muffelofen,",,,,
3518,Meckenheim,Ludwig Nikolaus,,,,,,priv.neuen Verfahren in der Fabrikation des Roh- u. Schmiedeeisens ... 2. ... die Reduzierung des,,Wien,,1842,21.05.1842
"",,,,,,,,,"Roheisen, Eisenfrischen, Gichtgas,",,,,
"",,,,,,,,"Erzes und die Fabrizierung des Eisens ohne daß dieses zum Roheisen wird, ...",,,,,
"",,,,,,,,,"Gebläse, Luftvorwärmer, Ausblasen",,,,
