PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
77,Mueller,Karl,Mueller,Mathias,Roellig,Leopold,"Beschreibung der Instrumente: Ditanaklasis, Orphica und Xaenorphica",,,,,1826,
"",,,,,,,,Musikinstrument,,,,,
78,Wagner,Joseph,,,,,Beschreibung der ... erfundenen Tuchscheren,Tuchschere,,Preßburg,,1817,18.04.1817
"",,,,,,,"Bereitungsart einer neuen ... erfundenen und seit 25 Jahren in Ausübung gebrachten, nach einem",,,,,,
79,Honig,Ferdinand,,,,,von mir erdachten zweckmäßigen System der Färbekunst nach chemischen Grunsätzen zu,"Schwarz, Tinte",,Wien,,1817,12.04.1817
"",,,,,,,bereitenden schwarzen Farbe ...,,,,,,
80,Meissner,Ignaz,,,,,Zeichnung und Beschreibung der Kaffee-Dampfmaschine,Kaffeemaschine,,Wien,,1822,19.02.1822
81,Schaendl,Jakob,,,,,Zeichnung und Beschreibung der ... erfundenen Wassermaschine,Wasserkraftmaschine,,Wien,,1815,08.02.1815
82,Weidlich,Josef,,,,,Erklärung der ... erfundenen Sitz Baad-Maschine,Sitzbad,,Wien,,1818,
83,Ugazy,Vitus,,,,,Mechanische Beschreibung der großen Säemaschine und der kleinen Pflug-Säemaschine,"Sämaschine, Pflugsämaschine",,Wr. Neustadt,,1817,15.07.1817
84,Sobezky,Franz,,,,,Beschreibung der neu erfundenen rundverjüngten metallenen Schreibfeder ...,Schreibfeder,,Wien,,1823,13.06.1823
"",,,,,,,"Beschreibung der von ... gemachten Verbesserung der Weine, welche ... darin besteht, daß der",,,,,,
"",,,,,,,Schwefelstoff aus lange leer gestandenen Fäßern entfernt wird indem das Faß eine Art Glasur,,,,,,
85,Schmid,Fidelis,,,,,,"Wein/Verbesserung, Weinfaß",,Wien,,1823,26.09.1823
"",,,,,,,"erhält, welche den Schwefelstoff ganz vernichtet, dagen aber mit dem in ihr liegenden Zuckerstoff",,,,,,
"",,,,,,,auf die Weingährung günstig einwirkt,,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... neuen Erfindung, bestehend in einer Druckmaschine ... Druck-",,,,,,
86,Bernard,Franz Aloys,,,,,,Zeugdruck,,Wien,,1823,20.12.1823
"",,,,,,,Streich-Maschine ...,,,,,,
"",,,,,,,Beschreibung der ... neuen Erfindung der Wagen-Laternen nach argantischer Art mit Oehl,,,,,,
87,Scheiffler,Nikolaus,,,,,,"Wagenlaterne, Laternen",,Wien,,1821,26.04.1821
"",,,,,,,beleuchtet ...,,,,,,
"",,,,,,,"Beschreibung des ... Geheimnisses zur Erzeugung der Frankfurterschwärze, des Theers,","Frankfurterschwärze, Farbe, Teer,",,,,,
88,Philippi,Johann Thomas,Schoeberl,Johann Franz,,,,,,Korneuburg,,1803,21.06.1803
"",,,,,,,Theerwassers und Tusche-Zeichnungen der Oefen und Namhaftmachung der Manipulation,"Teerwasser, Tusch",,,,,
"",,,,,,,"Methode alle vegetabilischen Stoffe in Zeit von wenig Tagen, ohne sie der gemeinen Luft, und der",,,,,,
89,Allmayer,Johann Anton,,,,,,Bleichen,,,,1826,
"",,,,,,,"Sonne aussezzen zu müssen, zu jeder Jahreszeit zu bleichen",,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er mittelst gereinigten, und zu allen",,,,,,
"",,,,,,,Arten von Gespinnst zugerichteten Asbest a) unverbrennbare Lampen-Tochte ... zu erzeugen ... b),,,,,,
90,Meissner,Ignaz,,,,,,"Docht, Asbest/Docht, Asbestgewebe",,Wien,,1823,29.09.1823
"",,,,,,,"alle Arten Gewebe zu chemischen und phisischen, und wie auch sonst immer Nahmen habende",,,,,,
"",,,,,,,Zwecke zu verfertigen im Stande ist,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, die von ihm benannten Parqueten-",,,,,,
91,Rohrbach,Franz,,,,,,"Parkettücher, Teppich",,Wien,,1823,16.09.1823
"",,,,,,,Tücher zu machen,,,,,,
"",Scheidtenberge,,,,,,,,,,,,
92,,Joseph,,,,,Verfertigungs Art lakirter Hüte von Leder und Papier,Hut,,Villach,,1824,02.01.1824
"",r,,,,,,,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung in der Verfertigung der Männer und Frauenhüte, aus Fischbein,",,,,,,
93,La Vigne,Claire,,,,,,Hut,,Wien,,1823,17.10.1823
"",,,,,,,"Rohr, Weide, Stroh und sonstiger zum Flechten geeigneter Materiale ...",,,,,,
