PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
5314,Bisson,,Pradel,,,,Ein neues Verfahren zur Röstung des Hanfes und Flachses [Text dr. u. frz.],"Hanf, Flachs, Röstofen",Wien,1845,10.01.1845
"",,,,,,,Beschreibung der ... Entdeckung ...: daß die Farbmaterialien jeder Art durch Maschinen ...,"Firnis, Kopallack, Bernsteinlack,",,,
5315,Swab,Joseph,,,,,,,Teplitz,1845,10.11.1845
"",,,,,,,"zubereitet, und daraus ... Oehlfarben, Firnisse und Lacke ... erzeugt werden","Asphaltlack, Oelfarbe, Farbmühle",,,
5316,Specker,David,,,,,"Beschreibung und Zeichnung einer neuen Erfindung im Gebiethe der Turbinen, ...",Wasserturbine,Wien,1845,16.10.1845
"",,,,,,,"Beschreibung und Zeichnungen der Werkzeuge für die Holzmosaik Fabrikation, und zu andern",,,,
"",,,,,,,,"Holzmosaik, Parkettboden,",,,
5317,Heldenberg,Kajetan,Schegar,Benedikt,,,"Zwecken, nebst einer verbesserten Methode von ordinären Halb-Parketen, und eigenthümlichen",,Wien,1845,16.10.1845
"",,,,,,,,Wandverkleidung,,,
"",,,,,,,Blindtafeln zu verfertigen,,,,
"",,,,,,,,"Dampfmaschine, Dampfkessel,",,,
"",,,,,,,"Beschreibung gewisser Verbesserungen an Dampfmaschinen, Dampfkesseln, und im Trieb-",,,,
5318,Borrie,Peter,Davy,Henry Savill,,,,"Lokomotive, Schiffsantrieb,",Wien,1845,22.10.1845
"",,,,,,,Mechanismus. Eingereicht von Henry Savill Davy,,,,
"",,,,,,,,"Drehkolben, Schifsschraube",,,
"",,,,,,,Modo di Fabbricazione il Ferrovuoto battuto e Bollito senza Saldatura ed unito all'estremità con,,,,
5319,Gauthier,Giovanni Paolo,,,,,,"Eisenrohr, Rohr, Nahtloses",Milano,1846,03.06.1846
"",,,,,,,bolliture o viti [Gegossene oder gezogene Eisenrohre],,,,
"",,,,,,,"Beschreibung des von Wilhelm Bäck, Liqueurfabrikanten in Groß-Meseritsch, erfundenen Extrahi-",,Groß-,,
5320,Baeck,Wilhelm,,,,,,"Branntwein, Destillierapparat",,1847,29.07.1847
"",,,,,,,Doppeldampf-Apparats ...,,Meseritsch,,
