PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung der Leder Toullier Maschine. Beschreibung der Handschuhe, welche aus einer","Spaltmaschine/Leder, Leder,",,,,
1598,Wallisser,Joseph Ignaz,,Weber,Franz,,,,,Wien,,1825,01.12.1825
"",,,,,,,,einzigen Hauptnaht bestehen ...,Handschuh,,,,
"",,,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ...: 1. Aus Schafwolle ein Kämgarn zu erzeigen, ...",,,,,
1599,Bloch,Johann,,,,,,,"Schafwolle, Kämmgarn",Wien,,1825,09.12.1825
"",,,,,,,,"2. Alle Gattungen Kämgarn viel gleicher, reiner und sterker zu erzeugen, ...",,,,,
"",,,,,,,,"... zeigt ... an, ... eine neue Erfindung gemacht zu haben, ...: 1. auf allen edlen Metallen, ... Gold,",,,,,
"",,,,,,,,"Plattina, Violet Metall, Iridium, Silber usw. durch ... Verfahren bey der Mordant oder Aquatinta",,,,,
"",,,,,,,,,"Edelmetall, Guilochieren, Gravieren,",,,,
1600,Starkloff,Stephan Eduard,,,,,,"Manier, in Verbindung der geschabten oder gestochenen Punktir-Methode wie auch eine colorirte",,Wien,,1825,01.12.1825
"",,,,,,,,,Aquantintamanier,,,,
"",,,,,,,,edle Metall Mosaik hervorzubringen. 2. durch eine damaszierte Einlegung auf allen edlen,,,,,
"",,,,,,,,"Metallen, ... Desseins ... zu erzeugen, ...",,,,,
"",,,,,,,,"... zeugen ... an, eine neue Verbesserung gemacht zu haben, welche ... darin bestehet, daß sie eine",,,,,
1601,Rothberger,David Wolf,,Rothberger,Hani,,,"bedeutende Verbesserung in allen Gattungen Danzinger und Polnischer Anneis, Rosoglio und Likör","Anis, Rosoglio, Likör",Wien,,1825,28.12.1825
"",,,,,,,,... gemacht haben ...,,,,,
"",,,,,,,,"Meine ... Maschinen, die ich zur Verbesserung der Lehnstühle neu Erfunden habe, bestehen darin:",,,,,
"",,,,,,,,"1.) zum Bohren der Sitzbretter ... 2.) eine Maschine zum Hobeln und Drehen der Füsse, ... 3.) eine","Sessel, Bohrmaschine, Hobelmaschine,",,,,
1602,Erhard,Franz Xaver,,,,,,,,Wr. Neustadt,,1826,01.01.1826
"",,,,,,,,"Maschine zu die oben Rückwerts geschweiften zwerch Lähn, ... 4.) eine Drehbank, ... 5. ... eine","Drechselbank, Zwinge",,,,
"",,,,,,,,Keihlmaschine ...,,,,,
"",,,,,,,,"... zeugt ... an, eine neue Erfindung gemacht zu haben, ..., das mittels einer eigenen Vorrichtung",,,,,
1603,Mayer,Ignaz,,,,,,,"Borte, Bandstuhl",Wien,,1824,14.01.1824
"",,,,,,,,"die Kirschnerpertheln auf Mühlstühle erzeugt werden können, ...",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., mittels Maschinen, Vorrichtung und eines besonderen",,,,,
1604,Davy,Henry Savill,,,,,,"Verfahrens ... alle Gattungen von Häuten durch mechanische Kräfte zu gerben, und diese","Leder, Gerberei, Färben",Wien,,1826,19.01.1826
"",,,,,,,,Maschinen ... auch auf die Färbung verschiedener Stoffe anzuwenden,,,,,
"",,,,,,,,"Zeugen an eine neue Verbesserung, welche darin besteht daß sie eine schöne Verbesserung in",,,,,
1605,Augenstein,Fanny,,Augenstein,Markus,,,,Glaserei,Wien,,1826,06.02.1826
"",,,,,,,,den Gläserschneiden gemacht haben,,,,,
"",,,,,,,,Erfindung einer Verbesserung zur Nizlichen und sparsammern Raffinirung und Läuterung des,,,,,
1606,Bruell,Heinrich,,,,,,,"Oel, Raffinade/Oel",Preßburg,,1826,20.01.1826
"",,,,,,,,gebauten Wilden und Hanföhls,,,,,
"",,,,,,,,Beschreibung der neuen ... Methode diverse Feilen so wie auch Rasiermesser unter einem,,,,,
1607,Fischer,Johann Konrad,,,,,,"Wasserhammer von 50 bis 150 um Gewicht mit Vortheil an Zeit, an äusserem Aussehen, und","Feile, Rasiermesser, Schmieden",Wien,,1826,14.03.1826
"",,,,,,,,Verbesserung des dabey verwendeten Materials zu schmiden,,,,,
