PrivRegNr,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,Titel,Schlagworte,,,Ort,Jahr,Einreichdatu
152,Czernay,Joseph,,,,,,"Beschreibung der neuen Erfindung Brandwein und Rosoglio, wie auch Spirit: zu erzeugen Branntwein, Rosoglio, Spiritus",,,Wien,,1825,04.02.1825
"",,,,,,,,Beschreibung der von Apolonia Stefansky einverständlich mit ihrem Verwandten Abraham Taussig,,,,,,
153,Stefansky,Apolonia,Taussig,Abraham,,,,"gemachten ... neuen Verbesserung, welche ... darin besteht, die im Auslande nach Art der Perle",,,Wien,,1825,28.02.1825
"",,,,,,,,Wachsperlen erzeugt werdenden Rosenperlen ... zu erzeugen,,,,,,
"",,,,,,,,Erklährung über die Erfindung und Berarbeitung der Gebrüder Wilda auf Metall die Iris oder,,,,,,
154,Wilda,Joseph,Wilda,Gottfried,,,,"Metall/Färben, Dessin/Metall",,,Wien,,1823,29.09.1823
"",,,,,,,,Regenbogenfarben zu erzeugen,,,,,,
"",,Raimund Vinzenz,,,,,,Beschreibung und Zeichnung von der neuen Erfindung mechanischer Vortheile zum leichteren und,,,,,,
155,Gaerber,,,,,,,Getriebe,,,Wien,,1825,01.03.1825
"",,Ignaz,,,,,,"daher wohlfeileren Maschinenbetrieb anstatt des Wassers, der Pferde, und des Dampfes",,,,,,
156,Emminger,Leopold,Gemperle,Johann,,,,"Beschreibung der ... gemachten neuen Surogats-Caffee Verbesserung, ... Kaffee",,,Wien,,1824,28.09.1824
"",,,,,,,,"Beschreibung ... der ... Entdeckung, welche ... darin besteht, daß derselbe eine neue Art",,,,,,
"",,,,,,,,"Schanierbänder und Federkloben, aus allen bekannten Metallarten, ... verfertigen läßt, ... als er",,,,,,
157,Mueller,Joseph,,,,,,"Scharnier, Federkolben",,,Wien,,1824,23.07.1824
"",,,,,,,,"alle Gattungen Schnupf- Rauchtabakdosen, und Büchsen, ... aus Papiermaschee und Pappendeckel",,,,,,
"",,,,,,,,ferners gedenkt er Sackuhrgehäuse ... zu machen ...,,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, Sommer- und Winterhüte gemacht zu",,,,,,
158,Henkel,Friedrich,Henkel,Karl,Joss,,Ignaz & Jakob,"haben, bey den Sommerhüten von Fischbein nicht wie bisher nur der Kern des Fischbeins, sondern Hut",,,Wien,,1824,01.08.1824
"",,,,,,,,"auch der Faden, ...",,,,,,
"",,,,,,,,"Detaillirte Beschreibung der beyliegenden Zeichnung, welche Maschine immerwährende Winde",,,,,,
159,Sandhaas,Johann,Sonnenthal,Joseph Frh.v.,,,,Winde,,,Wien,,1822,03.05.1822
"",,,,,,,,genannt,,,,,,
160,Kauffmann,Emanuel,Kauffmann,Karl,,,,"Eine neue Verbesserung der Dampf-Cafee und Thee Maschinen Kaffeemaschine, Teemaschine",,,Wien,,1825,07.06.1825
"",,,,,,,,"Beschreibung eines Neu Erfundenen Topak-Pfeifen-Rohrs, durch welches auf drey verschidene",,,,,,
161,Guenther,Gottlieb,,,,,,Tabakspfeife,,,Wien,,1823,20.09.1823
"",,,,,,,,Arten könne geraucht werden,,,,,,
162,Guenther,Gottlieb,,,,,,Beschreibung des Neu Erfundenen Hohlehippenrohres Tabakspfeife,,,Wien,,1825,24.03.1825
163,Fichtner,Johann,,,,,,Beschreibung meines neu erfundenen Destillir Apparats nach beyliegender Zeichnung Destillierapparat,,,Wien,,1822,24.04.1822
164,Fichtner,Johann,,,,,,Beschreibung meiner Verbesserungen bey Dampf-Maschinen nach beyliegender Zeichnung Dampfmaschine,,,Wien,,1822,26.07.1822
"",,,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, ein angenehm geistiges und gesundes",,,,,,
165,Fichtner,Johann,,,,,,"Getränk, aus Syrup, der auf eine eigene vortheilhafte Art aus Knollenfrüchten genommen wird, zu Sirup, Getränk",,,Wien,,1823,20.06.1823
"",,,,,,,,"erzeugen, welches sich wesentlich sowohl von Bier als von Brandwein unterscheidet",,,,,,
"",,,,,,,,"... zeigt an, eine neue Verbesserung gemacht zu haben, welche ... darin besteht, daß derselbe die",,,,,,
166,Brait,Joseph,,,,,,"Sägespäne sowohl von harten, als weichen Holz, jeder Gattung derselben dergestalten von groben Sägespäne",,,Wien,,1826,06.03.1826
"",,,,,,,,"Holzsplittern, Sand und Staube reiniget, ...",,,,,,
"",,,,,,,,,,,Neugersten/Bö,,,
167,Stenzel,Johann Franz,,,,,,Entwurf zur Benutzung der pneumatischen Maschine oder Windmühl mit Segeln Windmühle,,,,,1810,30.04.1810
"",,,,,,,,,,,hmen,,,
"",,,,,,,,Beschreibung der ... erfundenen Brennholz Verkleinerungs-Hebungs und Transportirungs,,,,,,
168,Ofenheim,Anton Rainer,,,,,,"Holzzerkleinerung, Brennholz",,,Wien,,1823,12.06.1823
"",,,,,,,,Maschine,,,,,,
169,Ofenheim,Anton Rainer,,,,,,Beschreibung und Zeichnung der ... erfundenen neuen Art geschloßener Fracht oder Lastwagen Wagen,,,Wien,,1822,25.08.1822
"",,,,,,,,Beschreibung der von dem Unterzeichneten in Folge der ihm allergnädigst verliehenen,,,,,,
170,Ofenheim,Anton Rainer,,,,,,Gasbeleuchtung,,,Wien,,1824,29.10.1824
"",,,,,,,,Privilegiums auf Gasbeleuchtungs Apparate,,,,,,
