PrivRegNr,,Name1,Vorname1,Name2,Vorname2,,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
4411,Maumari,,Giovanni,,,,,,le leghe metalliche e generalmente a produrre raffinata ossia migliorata Ghisa ... [Raffinade von,"Legierung, Stahl, Raffinade/Metall",Genova,,1842,22.07.1842
"",,,,,,,,,Legierungen und Stahl],,,,,
"",,,,,,,,,Beschreibung der ... Erfindung und Verbesserung seiner privilegirten Maschine zur Schnellgärberei,,,,,
4412,Buergermeister,,Adolph,,,,,,,"Gerberei, Leder",Haberszürs,,1842,15.09.1842
"",,,,,,,,,...,,,,,
4413,Reisinger,,Valentin,,,,,,"Beschreibung der ... erfundenen Maschine, womit Farben jeder Art ... gerieben werden können",Farbmühle,Heibach,,1844,20.09.1844
4414,Schmidmayer,,Johann,,,,,,Beschreibung meiner neu erfundenen Verbesserung in der Appretur der Shawltücher,"Schal, Appreturmaschine",Wien,,1845,24.07.1845
4415,Artioli,,Ferdinando,Zenoni,Guiseppe,Tosi,,Stanislao,Dichiarano che il loro metodo per confezionare i bulgheri,"Juchten, Gerberei",Milano,,1846,14.08.1846
4416,Loosey,,Karl,,,,,,Verbesserungen im Fortschaffen von Eisenbahn-Wägen,Standseilbahn,Wien,,1845,29.12.1845
"",,,,,,,,,"Verbesserungen in der Wiedergewinnung des Mangans, welches in der Bereitung von Bleichpulver",,,,,
4417,Loosey,,Karl,,,,,,,"Braunstein, Regeneration, Chlorkalk",Wien,,1845,29.12.1845
"",,,,,,,,,verwendet wird,,,,,
"",,,,,,,,,Beschreibung der neu horizontall aufgehenden Spann- oder Feilstöke anstatt der jetzt im,,,,,
4418,Nussbaum,,Joseph,Schmidt,Philipp,,,,,Schraubstock,Wien,,1842,17.10.1842
"",,,,,,,,,Gebrauche gewesenen im Bogen aufgehenden Schraubstöcke,,,,,
"",,,,,,,,,"Beschreibung der wesentlichen Verbesserungen an der neuerlich erfundenen methode, den Reis",,,,,
4419,Boner,,Anton,,,,,,und andere passend Getreidearten mittelst Kämmen von dem Aerndtefelde zu sammeln ehe noch,"Reis, Getreide, Mähapparat",Wien,,1845,14.08.1845
"",,,,,,,,,das Getreide geschnitten wird,,,,,
"",,,,,,,,,Beschreibung der ... erfundenen musikalischen Begleitungs-Instrumente unter dem Nahmen,,,,,
4420,Daninger,,Joseph,,,,,,,"Accordpedal, Musikinstrument",Wien,,1845,14.10.1845
"",,,,,,,,,Accordpedale,,,,,
4421,Roessler,,August,,,,,,Verbesserung einer sich selbst regulierenden Oehllampe,"Lampe, Vergaser",Wien,,1846,21.08.1846
"",,,,,,,,,,"Webstuhl, Kompressor,",,,,
4422,Orth,,Louis v.,,,,,,Specification einer Verbesserung in der Construction der mechanischen Webstühle,,Wien,,1846,31.07.1846
"",,,,,,,,,,Druckluftantrieb,,,,
"",,,,,,,,,Specification einer Erfindung bestehend in der Fabrikation einer neuen Art von Seife zum Walken,,,,,
4423,Orth,,Louis v.,,,,,,,Walkseife,Wien,,1846,31.07.1846
"",,,,,,,,,der Tücher,,,,,
"",,,,,,,,,Beschreibung einer neuerfundenen Maschine zum Drukken von Baumwollzeugen und,,,,,
4424,Orth,,Louis v.,,,,,,"Foulardtüchern, mit hölzernen Walzen, auf welchen die Figuren erhaben ausgeschnitten sind, und","Zeugdruck, Druckmaschine",Wien,,1846,28.10.1846
"",,,,,,,,,"womit man 1,2,3,4 oder 5 Farben auf einmal drukken kann",,,,,
"",,,,,,,,,"Beschreibung einer neuen Zusammensetzung und Bereitung einer feinen blauen Farbe, welche",,,,,
4425,Orth,,Louis v.,,,,,,"sowohl zur Färberey für Stoffe, als zum Oelanstrich, und bey der Tapeten-Fabrikation anwendbar","Blau, Färben/Stoff, Oelfarbe",Wien,,1847,21.01.1847
"",,,,,,,,,ist,,,,,
"",,,,,,,,,,"Ammoniumsulfhydrat,",,,,
"",,,,,,,,,Beschreibung der Erfindung eines verbesserten Verfahrens bey der Fabrikation der,"Ammoniumkarbonat,",,,,
4426,Johnson,,John Robert,Orth,Louis v.,,,,,,Wien,,1846,19.10.1846
"",,,,,,,,,Ammoniaksalze,"Destillierapparat, Ammoniaksalz,",,,,
"",,,,,,,,,,Saturateur,,,,
"",,,,,,,,,"Beschreibung der ... Erfindung, ...: daß an Stelle der bei den Pumpenbrunnen gewöhnlicher Weise",,,,,
4427,Hoeker,,Thomas,Schoen,Iganz,,,,in Anwendung befindlichen entweder hölzernen oder metallenen Baumröhren durchaus nur,"Pumpe, Brunnen, Glasrohr",Boskowitz,,1842,10.06.1842
"",,,,,,,,,"gleserne Röhren angewendet werden, ...",,,,,
"",,,,,,,,,"Beschreibung der Beyliegenden Zeichnung zur Maschine, ..., alle erhabenen oder vertieften",,,,,
4428,Hoefel,,Blasius,,,,,,"Arbeiten wie Münzen, Gemmen, Siegeln, Haut- und Bas-relief ... auf Stahl, Kupfer oder Stein wie","Relief, Kopiermaschine",Wr.Neustadt,,1834,28.07.1834
"",,,,,,,,,"auch andere Metalle u. Compositionen über zu tragen, ...",,,,,
4429,Neuschwenter,,August,,,,,,Beschreibung der ... Verbesserung der Backöfen,Backofen,Klagenfurt,,1845,09.09.1845
