PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
529,Videmari,Angelo,,,,,"Descrizione del miglioramento, che ... fatto ad una stoffa di seta garzata servibile per cappelli ...","Hut, Seidenweberei",,Milano,,1824,14.02.1824
"",,,,,,,Descrizione della scoperta di miglioramento che ... consiste ... in un Tubo di rame applicabile alla,,,,,,
530,Crotti,Michele,,,,,,"Seidenkokon, Seidenhaspel",,Castiglione,,1827,12.07.1827
"",,,,,,,Caldaja che serve a filare i bozzoli a seta,,,,,,
"",,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht: auf die Bereitung und Verbesserung der",,,,,,
531,Mueller,Karl Ludwig,,,,,,Schmiermittel,,Wien,,1823,25.10.1823
"",,,,,,,"in England bekannten John Battong'schen Patente-Wagen-Mühlen und Maschienen Schmiere, ...",,,,,,
"",,,,,,,"... zeigt ... an, im Gebiete der fortschaffenden Mechanik eine Verbeserung gemacht zu haben,",,,,,,
532,Schuster,Johann Georg,,,,,,Hängebahn,,Wien,,1825,08.03.1825
"",,,,,,,"welche ... darin besteht: Eine noch nicht bestehende verbesserte Eisenbahn, ...",,,,,,
"",,,,,,,"Beschreibung des Apparats und des Verfahrens, um die Alkohol-Dünste welche sich während der",,,,,,
533,Hummel,Karl,,,,,,Gärapparat,,Wien,,1822,18.03.1822
"",,,,,,,"Gährung des Weinbeeren-Mostes mit der Kohlensäure entbinden, zu verdicken",,,,,,
534,Roulet,Ch.,,,,,Beschreibung der Entdeckung der gravierung mit molletten,"Gravieren, Molettieren",,Wien,,1826,15.04.1826
"",,,,Joachim &,,,Beschreibung der Verbesserung der so genannten Marocaine welche aus Schafhäute verfertigt,,,,,,
535,Lederer,Adam,Lederer,,Lederer,Michael,,Maroquin,,Pilsen,,1821,12.09.1821
"",,,,Joseph,,,wird,,,,,,
"",,,,,,,,"Schnittware/Lagerung,",,,,,
536,Kolisch,Hirsch,,,,,Beschreibung Neuer Erfindung Schnitt-Waaren aller Gattung mit solche Materialien zu zubereiten,,,Wien,,1824,03.04.1824
"",,,,,,,,Lagerung/Schnittware,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, deren Wesenheit in einer neuen besonderen Vorbereitung des",,,,,,
"",,,,,,,"Holzes besteht, wodurch dasselbe empfänglich für den Druck eines unter einer Presse",,,,,,
537,Goser,Felix,,,,,,"Holz, Presse/Holz, Firnis",,Wien,,1827,22.06.1827
"",,,,,,,"befindlichen Models werde, weiters in der auf eine ganz eigenthünliche Art konstruirten Presse,",,,,,,
"",,,,,,,"endlich in der Zubereitung eines Firnisses, ...",,,,,,
"",,,,,,,"Descrizione dell'invenzione ... che ... consiste in un meccanismo, con cui si ottiene un fonte di forza",,,,,,
538,Finazzi,Giovanni,,,,,,"Schiffsantrieb, Wasserrad",,Milano,,1828,29.01.1828
"",,,,,,,"viva, applicata alle navi o barche di qualunque grandezza col mezzo di ruote",,,,,,
"",,,,,,,Descrizione della Scoperta ... che ... consiste nella fabbricazione di veli cosi detta veli cresp lisci,,,,,,
539,Coatz,,Quinqueton,,,,denominati anche Iris fabbricati con seta espressamente lavorata con un apposita macchina della,Krepp,,Milano,,1825,23.03.1825
"",,,,,,,quale dichiara di aver unito li disegni coi campioni della stoffa,,,,,,
540,Dillinger,Joseph,,,,,"... zeigt ... an, eine Erfindung von Silberne, Tabak Pfeifen Köpf Beschläge, ...",Tabakspfeife,,Wien,,1824,30.11.1824
"",,,,,,,"Beschreibung auf die Erfindung des Stuhlrohr Fabrikenmäßig wie das Fischbein, und zwar bey dem",,,,,,
"",,,,,,,"ungeheuren hohen Preis desselben, als Soregat, zum Bedarf der Fabrikanten und Handwerker,",,,,,,
541,Joos,Ignaz Wilhelm,,,,,dergestalt herzurichten daß jeder die benöthigende Gattung als z.B. auf Parapline auf Spindel auf,"Rohr/Spanisches, Flechtrohr",,Wien,,1826,05.08.1826
"",,,,,,,Peitschen auf Spatzierstöcke auf Ladstöcke und auf Hüte u.d.m. eben so wie in Fischbeinfabriken,,,,,,
"",,,,,,,schon sortirt und zugerichtet haben kann,,,,,,
"",,,,,,,"Beschreibung der Verbesserung geflochtener Männerhüte, Damenhüte, Kappen und mehrerer",,,,,,
542,Joos,Ignaz Wilhelm,,,,,,"Hut, Kappe, Galanterie, Flechtarbeit",,Wien,,1826,17.08.1826
"",,,,,,,"Galanterie Arbeiten, welche ...",,,,,,
543,Nagy,Benjamin v.,,,,,"Die Erfindung ..., um Buchdruckerformen mit kalter Lauge rein und schnell waschen zu können, ...",Letter,,Wien,,1829,13.07.1829
"",,,,,,,"Descrizione del nuovo Istromento e nuovo metodo di fabbricare le Contarie, e rotondare le",,,,,,
544,Pusinich,Luigi,,,,,,"Glasperle, Schmelzofen",,Venezia,,1823,24.07.1823
"",,,,,,,Margarite ...,,,,,,
545,Bonsignori,Giovanni,,,,,Descrizione della Macchina ... per la filatura da Bozzoli,"Seidenkokon, Seidenhaspel",,Ghedi,,1823,14.07.1823
