PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
5124,Heyszl,Johann,,,,,Beschreibung des Apparates zum geruchlosen Sezess,Abort,Prag,1845,06.01.1845
"",,,,,,,"Beschreibung und Zeichnung einer neuen Erfindung einer Vorrichtung, die zum Zwecke hat, allen",,,,
"",,,,,,,"aus dem Zerbrechen von Achsen und Rädern, den Locomotiven und anderen Wägen auf den","Lokomotive, Eisenbahnwagen,",,,
5125,Urling,Robert Wilhelm,,,,,,,Wien,1845,31.10.1845
"",,,,,,,"Eisenbahnen hervorgehenden Unfällen vorzubeugen, und zu verhindern, daß diese Wägen aus",Führungsschiene,,,
"",,,,,,,den Schienen treten,,,,
"",,,,,,,"... Erfindung einer neuen Verbesserung, ..., durch unten beschriebene Vorrichtung mittelst",,,,
"",,,,,,,,"Samt, Bandstuhl, Posamentierstuhl,",,,
5126,Moering,Andreas,,,,,"Nadelstäben, oder Nadelstangeln, alle Gattungen von Samtbändern geschnitten, und",,Wien,1848,04.01.1848
"",,,,,,,,Nadelstab,,,
"",,,,,,,"ungeschnitten, auf Schub- und Mühlstühlen ... erzeugen zu können",,,,
5127,Jeiteles,Israel,,,,,Beschreibung der ... Verbesserung in der Holzwaren Erzeugung ...,Leim/Wasserdichter,Wien,1848,10.01.1848
5128,Weeger,Emil,,,,,"Zeichnung zu der Beschreibung der ... erfundenen ... ""Gasheizung""","Heizung, Feuerung",Brünn,1848,23.11.1848
"",,,,,,,"Beschreibung des telegraphischen Schnell-Schreib-Apparates, auf welchen Feuerwerker Engelbert",,,,
5129,Matzenauer,Engelbert,,,,,,Telegraph,Wien,1848,24.12.1848
"",,,,,,,"Matzenauer, Obertelegraphist beim Staatstelegraphen um ein ausschl. Priv. ansucht",,,,
"",,,,,,,Ansprüche und Beschreibung der Verbesserung und Austehnung der Wasserdicht Bergamentartig,,,,
5130,Siegl,Joseph,,,,,,Hut,Wien,1844,22.05.1844
"",,,,,,,elastischen Glanzhüte und Filzhüte,,,,
"",,,,,,,"Beschreibung einer Methode, auf festen Körpern, als Säulen, Wandflächen etc. Körpern von Holz,",,,,
"",,,,,,,"Papiermasche, Blech oder Eisen auf mechanischem Wege einen Ueberzug anzubringen, durch",,,,
5131,Behr,Karl,,,,,"welchen dieselben das ansehen von Marmor, Mosaikarbeit oder Schildkroete, oder der",Sprenkeln,Wien,1846,13.11.1846
"",,,,,,,Combinirung einer oder der andern obiger drei Gattungen zugleich beliebig mit einer Dekoration,,,,
"",,,,,,,von Gold und Silber erhalten,,,,
"",,,,,,,"... zeigt ... an, eine neue Erfindung hinsichtlich der vielfältigen Anbickzetteln, oder",,,,
5132,Sammer,Joachim,,,,,,Plakatierungstafel,Wien,1836,11.02.1836
"",,,,,,,"Kundmachungen, gemacht zu haben, ...",,,,
5133,Emperger,Vinzenz v.,,,,,Mineralisch-Vegetabilisch wohlrichendes Hand- und Waschpulver ...,Waschpulver,Wien,1845,19.06.1845
5134,Smetana,Peter,,,,,Erklärung einiger neuer Verbesserungen ... über die Abhülfe des Rauches in den Küchen,Champion,Wien,1846,23.11.1846
