PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Descrizione del processo di fabbricazione della nuova manifattura economico di vasi d'ogni forma,,,,,,
2844,Sordelli,Luigi,,,,,"e d'imagine con ornati, e con figure per fiori ... ecasse di orologi ... imitante la porcellana ... [Vasen","Vase, Uhrgehäuse, Porzellanimitation",,Milano,,1836,09.07.1836
"",,,,,,,und Uhrgehäuse mit Porzellanimitation],,,,,,
2845,Berninzone,Francesco,,,,,Specificazione del nuovo metodo per fare il sotto Carbonato di Piombo ... [Bleiweiß],Bleiweß,,Milano,,1836,05.05.1836
"",,,,,,,"Nachträgliche Beschreibung der ... Verbesserung, ..., daß durch die Anwendung einer besonderen",,,,,,
"",,,,,,,,"Zucker, Raffinade/Zucker,",,,,,
2846,Reyer,,Schlick,,,,"Vorrichtung die Manipulazion der Zuckerraffinirung vereinfacht werde, worüber dieselben bereits",,,Wien,,1826,15.07.1826
"",,,,,,,,Filtrierapparat,,,,,
"",,,,,,,unterm 15.07.1826 um ein ausschließendes Privilegium angesucht haben,,,,,,
"",,,,,,,Beschreibung der von der gefertigten Generalunternehmung der beweglichen geruchlosen,,,,,,
"",,,,,,,"Senkgruben und der plötzlichen Düngerbereitung ... gemachten ... Verbesserungen an dem, in",,,,,,
"",,,,,,,,"Senkgrube, Abort, Zimmerklosett,",,,,,
"",Hackelberg -,,,,,,"Gemäßheit des dem Carl Ferd. Levasseur unterm 03.08.1820 ... verliehenen, von diesem durch",,,,,,
2847,,Joseph Frh.v.,Hemberger,,Levasseur,Carl Ferd.,,"Wasserspülung, Entlüftung,",,Wien,,1826,24.07.1826
"",Landau,,,,,,einen unterm 20.06.1822 ... protokollirten Gesellschaftsvertrag an sie übertragenen und von ihr,,,,,,
"",,,,,,,,Exkremente,,,,,
"",,,,,,,"gegenwärtig ausgeübten ausschl. Privilegiums, in Anwendung gebrachten ... Systeme der",,,,,,
"",,,,,,,"beweglichen geruchlosen Senkgruben und der plötzlichen Düngerbereitung, ...",,,,,,
2848,Hittorf,Jakob Ignaz,,,,,"Beschreibung verschiedener Erfindungen bestehend in Verbesserungen der Pianos, ...",Klavier,,Paris,,1836,01.06.1836
2849,Hledik,Ignaz,,,,,Beschreibung der Verbesserung des Toilette-Tisches ...,Toilette,,Wien,,1839,15.07.1839
"",,,,,,,Beschreibung der ... Erfindung ... aus allen Gattungen Baumwollen-Wollen- und Leinenstoffen,"Wasserdichter Stoff, Wasserdichtes",,,,,
"",Gross -,,,,,,,,,,,,
2850,,Anton Joseph,,,,,"vermittelst Anwendung von Pech, Wachs, und öhlige Substanzen einen wasserdichten Stoff unter","Papier, Wachstuch, Kunstleder,",,Wien,,1839,27.07.1839
"",Hoffinger,,,,,,,,,,,,
"",,,,,,,der Benennung Wiener pat.Pechleder zu erzeugen ferner wasserdichtes Papier zu fabrizieren,Wachspapier,,,,,
"",,,,,,,"Beschreibung des ... erfundenen neuen Dampfkreisels, dessen Leistung die Wirkungen der",,,,,,
2851,Wurm,Franz Xaver,,,,,,"Dampfturbine, Gasturbine",,Wien,,1839,10.06.1839
"",,,,,,,"Dampfmaschine ersetzt, ...",,,,,,
"",,,,,,,,"Drahtgewebe, Goldwaren,",,,,,
2852,Rordorf,Heinrich,Schropp,Franz,,,Beschreibung der nothwendigen Vorrichtung zur Verfertigung der Gold- und Silber- Draht-Gewebe,,,Wien,,1840,20.07.1840
"",,,,,,,,"Silberwaren, Schmuck",,,,,
"",,,,,,,"Beschreibung A) des Dampf-Apparates zu portativen Dampfbädern, B) des Apparates zu",,,,,,
2853,Roth,Felix,,,,,,"Dampfbad, Heißluftapparat",,Wien,,1840,28.05.1840
"",,,,,,,Lokalbädern mittelst erhitzter Luft,,,,,,
"",,,,,,,"Beschreibung auf Erfindung, bei Verfertigung aller Gattungen Schumacherarbeiten, eine, aus",,,,,,
2854,Pfister,Mathias,,,,,mehreren Theilen zusammengesetzte Massa anstatt dem bisher angewenten,Schusterpapp,,Wien,,1840,30.07.1840
"",,,,,,,"Schuhmacherkleister anzuwenden, ...",,,,,,
2855,Uetz,Adalbert,,,,,Genaue Beschreibung der von mir erfundenen Oehl-Leim und Firnißfarben Reibmaschine,Farbmühle,,Graz,,1837,20.06.1837
2856,Russwurm,Emanuel,,,,,"Beschreibung der ... Verbesserung der Bruchbänder, ...",Bruchband,,Krems,,1839,29.08.1839
"",,,,,,,"Il Miglioramento nello illuminazione di Milano, pel quale s'invoca il privilegio si rende importante",,,,,,
"",,,,,,,,"Mailand, Gasbeleuchtung, Leuchtgas,",,,,,
2857,Brambilla,Giovanni Battista,,,,,"principalmente sotto tre rapporti, cioè per la materia da impiegarsi, pel meccanismo per la",,,Milano,,1837,31.03.1837
"",,,,,,,,Gasmesser,,,,,
"",,,,,,,"distribuzione della luce, e per la misurazione del reale consumo[Gasbeleuchtung für Mailand]",,,,,,
"",,,,,,,Beschreibung der inneren Bearbeitung der elastischen Sättel: Die Sitzpolsterung mit Wolle durch,,,,,,
2858,Steinmeyer,Karl,,,,,,"Sattel, Federung/Sattel",,Wien,,1840,20.12.1840
"",,,,,,,Stahlfedern zu suppliren,,,,,,
2859,Lieben,Ignaz L.,,,,,Beschreibung auf die Erfindung alle Wollfaserstoffe wieder in verwendbare Wolle umzuwandeln,"Wollstoff, Krempeln, Wolle",,Wien,,1838,07.06.1838
"",,,,,,,Beschreibung der ... Erfindungen und Verbesserung ...-1.) Doppeltes Krönungs-Wasser ... 2.) Cocus,,,,,,
"",,,,,,,,"Parfüm, Seife, Haaröl, Pomade, Teint,",,,,,
2860,Nuglisch,Adolph,Treu,Karl,Thies,August Gerhard,Nuß Oehl Soda Seife ... 3.) Königs Oehl ... 4.) Vegetabilische Haarpomade ... 5.) Vegetabilisches,,,Wien,,1836,29.09.1836
"",,,,,,,,Weiß,,,,,
"",,,,,,,Weiß ... zum Weißfärben der Haut ... 6.) Verbesserung aller Gattungen Toilette Seifen ...,,,,,,
