PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
4937,Schramm,,Johann David,,,,,Erklärung der Figuren von dem Gesundheits-Luftreinigungs-Apparate (bei den gedeckten Wägen),"Wagen, Lüftung, Klingel",,Wien,1847,17.02.1847
"",,,,,,,,"Beschreibung der Erfindung eines Universal-Leuchtstoffes. Leuchtbrenners, und des sogenannten",,,,,
4938,Frankenstein,,Karl v.,,,,,,"Imprägnierung/Docht, Brenner",,Graz,1846,15.12.1846
"",,,,,,,,Lunar-Lichtes,,,,,
4939,Frankenstein,,Karl v.,,,,,Beschreibung der ... erfundenen Schnell-Rasier-Tinctur,Rasiercreme,,Graz,1848,01.01.1848
"",,,,,Leonhard,,,,"Binderei, Kreissäge, Daube,",,,,
4940,Berlier,,Adolph,Manneville,,,,Beschreibung der Bindereimaschinen,,,Wien,1846,23.09.1846
"",,,,,Thomas R.v.,,,,Hobelmaschine,,,,
4941,Duerler,,David,Lierheimer,Gottlieb,,,Beschreibung einiger neu erfundener Chemischen Schmieren,Schmiermittel,,Wien,1847,01.03.1847
"",,,,,,,,"Beschreibung einer ... neu erfundenen Maschine, mittelst welcher Siegel ränderfrei mit scharfen u.",,,,,
4942,Schneider,,Karl,,,,,,Siegelapparat,,Wien,1848,22.02.1848
"",,,,,,,,bestimmten Abschnitt aufgedrückt werden können,,,,,
4943,Mayer,,Laurenz,,,,,Beschreibung der verbesserten geruchlosen Haus- und Zimmer-Retiraden,"Abort, Zimmerklosett, Wasserspülung",,Wien,1844,27.03.1844
"",,,,,,,,"Eine Erfindung eines aufrechtstehenden Schirmes ..., welcher als Meubel ...: Ofen-, Licht- und",,,,,
4944,Kaempfler,,Wilhelm,,,,,"Bettschirm dienen, welchem das Gewicht als Motiv zum Grunde liegt, nie umfallen kann, und die","Ofenschirm, Spanische Wand",,Graz,1845,11.12.1845
"",,,,,,,,breiten Füße erspart werden,,,,,
"",,,,,,,,Neues Verfahren ...: Die Erschaffung einer entwickelten Bewegkraft durch die wechselweise und,,,,,
4945,Considerant,,Viktor,Vivier,Anton v.,,,,Wärmekraftmaschine,,Wien,1839,10.12.1839
"",,,,,,,,plötzliche Erhitzung und Erkaltung einer fixen nicht flüßigen Gasmasse ...,,,,,
"",,,,,,,,"Beschreibung der ... für alle Blechblaßinstrumente anwendbaren Verbesserung, von ihm die","Blasinstrument,",,,,
4946,Hell,,Ferdinand,,,,,,,,Wien,1846,02.05.1846
"",,,,,,,,"vereinfachte Hellsche Maschine genannt, ...",Klappe/Blasinstrument,,,,
4947,Hofmann,,Joseph,Scheller,Johann,,,"Zeigen an, eine neue Art Atmosphärischer Luft (Wind) Oefen erfunden zu haben","Luftheizung, Heizkörper",,Wien,1847,25.10.1847
4948,Schwarz,,Wenzel,,,,,Angabe der Zubereitung der Universal-Ananas-Pomade,Pomade,,Wien,1845,26.07.1845
"",,,,,,,,Beschreibung der neuen Verbesserung in der bisherigen Manipulation bey Absonderung des,,,,,
4949,Nackh,,Joseph,,,,,,"Silber, Aufbereitung",,Wien,1837,16.03.1837
"",,,,,,,,Silbers von Silber platierten Kupfer,,,,,
"",,,,,,,,Beschreibung der Bestandtheile und Bereitungsart des erfundenen Toilettenmittels unter dem,,,,,
4950,Resek,,Jakob,,,,,,Parfüm,,Wien,1841,20.04.1841
"",,,,,,,,Namen Wiener-Aromatisches-Schönheits-Wasser,,,,,
4951,Kobler,,Joseph,,,,,"Beschreibung der ... Erfindung, Pappendekel zu erzeugen","Lederabfälle, Pappe",,Wien,1840,02.12.1840
4952,Riviere,,Johann L.,,,,,Beschreibung der Rivierischen Bruchbänder,Bruchband,,Linz,1841,27.11.1841
4953,Kopp,,Franz Xaver,,,,,Beschreibung eines Nacht-Telegraphen ...,"Telegraph, Optischer",,Wien,1843,02.03.1843
"",,,Joseph,Stoeckholzer -,,,,,,,,,
4954,Hirschfeld,,,,Joseph v.,,,Beschreibung der neuen Iris-Druckmethode ...,Irisdruck,,Wien,1843,15.02.1843
"",,,Stoeckholzer v.,Hirschfeld,,,,,,,,,
4955,Meyer,,J.,& Co,,,,Beschreibung der rotirenden Webmaschine,Wirkmaschine,,Prag,1844,17.02.1844
4956,Amman,,Johann,,,,,"Beschreibung meiner Verbesserung an den Brücken- oder Decimalwaagen, ...","Brückenwaage, Dezimalwaage",,Wien,1844,14.02.1844
4957,Kiss,,David,,,,,"Beschreibung der ... Erfindung, das Oehl aus den Rips ... in Massa zu erzeugen ...","Rapsöl, Rüböl",,Wien,1844,22.02.1844
"",,,,,,,,"Beschreibung der ... Erfindung, die gewöhnliche Unschlitt-Seife durch ein neues chemisches",,,,,
4958,Himmelbauer,,Anton,,,,,,"Unschlitt, Seife",,Stockerau,1847,05.02.1847
"",,,,,,,,Verfahren viel schneller und billiger zu erzeugen,,,,,
"",,,,,,,,"Behandlungs- und Auflösungs-Prozesse der Sulphures, Chlorures, Oxide und Carbonate, welche","Kupfer, Silber, Aufbereitung, Sulphat,",,,,
4959,Laemel,,Leopold Edl.v.,,,,,,,,Prag,1848,21.01.1848
"",,,,,,,,"mit Kupfer, Silber und anderen Metallen verbunden sind","Chlorat, Oxyd, Karbonat",,,,
"",,,,,,,,Beschreibung und Zeichnung ... der ... Erfindung ...: Durch eine mechanische Vorrichtung bei,,,,,
4960,Neuss,,Joseph,,,,,Eisenbahnen das Zusammenstoßen der Trains durch ein gegebenes Signal bei jeder Witterung ...,"Eisenbahn, Signal",,Hainburg,1847,26.12.1847
"",,,,,,,,unfehlbar bermerkbar zu verhüten,,,,,
