PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"Recept eines Geheimnißes meiner neuen Verbesserung von Lebkuchen, welche hier noch nicht",,,,
1535,Fischer,Friedrich,,,,,Lebkuchen,,Wien,1825,18.04.1825
"",,,,,,,"verfertigt, ...",,,,
"",,,,,,,"Beschreibung der ... Erfindung, ...: Durch eine präparirte chemische kalte Farbe alle Gattungen von",,,,
1536,Rosenberg,Joseph,,,,,"Natur colirten Pelz- oder Rauchwaren, so anzustreichen, oder wie es in der Technischen Sprache Pelz, Färben/Pelz",,Lemberg,1830,05.07.1830
"",,,,,,,"eigentlich heißt, zu blenden; ...",,,,
"",,,,,,,"Beschreibung der ... Verbesserungen, ...: 1. der Fuhrwagen überhaupt dauerhafter wird, dieser",,,,
1537,Kirchberger,Joseph,,,,,"und die Ladung durch Erschütterung weniger leide, und 2. durch dieselbe Bespannung eine Wagen",,Heinrichsgrün,1832,20.10.1832
"",,,,,,,schwerere Last gezogen wird,,,,
"",,,,,,,Beschreibung der ... Verbesserung an der Malzerzeugung und resp.: der dabei in Anwendung,,,,
1538,Kirchberger,Joseph,,,,,"kommenden Malzdörre und Welke dann des Heizofen welcher auch bei andern z.B. Obstdörre etc. Malzdörre, Obstdörre, Dörrofen",,Heinrichsgrün,1833,04.03.1833
"",,,,,,,anwendbar ist,,,,
"",,,,,,,"Durchschnitt der ... Wasserpumpen und resp.: Saug- und Druck-Werkes, mittelst welchen an der",,,,
"",,,,,,,"zur Hebung des Wassers bisher erforderlichen Kraft sehr viel gewonnen wird, das Wasser beliebig",,,,
1539,Kirchberger,Joseph,,,,,"Pumpe, Spritze, Feuerspritze",,Heinrichgrün,1833,28.05.1833
"",,,,,,,"hoch gehoben werden kann, die zugleich leicht in Spritzen umgestaltet werden können, und dann",,,,
"",,,,,,,den einfachsten und wohlfeilsten Feuerspritz-Apparat geben,,,,
"",,,,,,,"Beschreibung der ... Verbesserungen an den Mahlmühlen überhaupt, und an ihren und ähnlichen",,,,
1540,Kirchberger,Joseph,,,,,"Mühle, Getriebe",,Elbogen,1835,23.02.1835
"",,,,,,,"Wind- und Wassertriebwerken, ...",,,,
1541,Enderes,Georg,,,,,Fabrikations Art der Blumenstöke & Schäffchen mit Harmonika Mundharmonika,,Wien,1836,19.12.1836
"",,,,,,,"Descrizione della invenzione, che ... consiste nella Lampana a riverberi parabolica detta alla Laterne, Straßenbeleuchtung,",,,,
1542,Carganico,Giuseppe,,,,,,,Milano,1822,26.03.1822
"",,,,,,,"Bordier per la illuminazione delle Strade, Piazze, Sale etc ... [Lampen für die Straßenbeleuchtung] Parabolspiegel, Scheinwerfer",,,,
