PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung einer bleibenden Spindel ohne Oberstemme /:ailette:/ zum Gebrauch bey stetigen,,,,,
1842,Allan,James,,,,,"Spinnmaschine, Aufsteckspindel",,Wien,,1830,18.12.1830
"",,,,,,,"Spinnmaschinen ""Throstles"" genannt.",,,,,
"",,,,,,,"Beschreibung: Tapetten, Superborten, Bordüren und überhaupt alle in die Tapeten - Fabrication",,,,,
1843,Uffenheimer,Karl,,,,,"gehörigen Artikel statt wie bisher durch Modeldruck in Farben - mittelst Patronen-Mahlerey zu Tapete, Borte, Schablone, Malen",,Wien,,1831,01.02.1831
"",,,,,,,"erzeigen, ...",,,,,
"",,,,,,,"Beschreibung eines erfundenen und respective verbesserten Meßinstrumentes zur Feldmeßtisch, Planimeter,",,,,,
1844,Amon,Joseph,,,,,,,Wien,,1831,19.01.1831
"",,,,,,,"planimetrischen und trigonometrischen Aufnahme überhaupt Höhenmessung, Triangulierung",,,,,
1845,Berra,Joseph,,,,,Descrizione del acqua Milanese :/Mailänder Wasser/: Parfüm,,Wien,,1830,22.12.1830
"",,,,,,,"Beschreibung der Reinigung des rohen Spermaceti oder Wallrath, sowie daraus Kerzen zu",,,,,
1846,Seeger,Gottfried August,,,,,"Walrat, Raffinade/Walrat, Kerze",,Wien,,1829,01.10.1829
"",,,,,,,verfertigen,,,,,
"",,,,,,,"Beschreibung der Verbesserung: daß durch eine neue Art dekartiren, die Wollwaaren viel schöner,",,,,,
1847,Wellisch,Leopold,Zak,Johann,,,Dekatiermaschine,,Brünn,,1831,17.01.1831
"",,,,,,,"feiner, schneller und wohlfeiler dekatiert und vier, auch sechsmahl so viel geleistet werden kann",,,,,
"",,,,,,,Beschreibung der neuesten Art Thuerme von Gußeisen anzufertigen / 2.Titel --- Vorschlag der,,,,,
1848,Stetter,Joan Ladislaus,,,,,"Turmhelm, Dach",,Neusohl,,1830,08.07.1830
"",,,,,,,neuen Art Wasserdichten Bedachung,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ... Sparr-Nachtlichter von Wachs oder Stearin oder rein und Wachs, Stearin, Unschlitt, Nachtlicht,",,,,,
1850,Gerstbauer,Michael,,,,,,,Brünn,,1831,20.03.1831
"",,,,,,,"fein geschmolzenen Inselt mit und ohne Wachsüberzug zu verfertigen, ... Kerze",,,,,
"",,,,,,,"Metodo per Fabbricare li Cappelli di Ratt Mosqui del Canada [Hüte aus dem Fell der kanadischen Beutelratte/Kanadische,",,,,,
1851,Indri,Giovanni,,,,,,,Venezia,,1831,07.03.1831
"",,,,,,,Beutelratte] Hut/Wasserdichter,,,,,
"",,,,,,,"Beschreibung und Verfertigungs Methode der hohlen englischen Druckwalzen. Beschreibung der Druckwalze, Molettieren,",,,,,
1852,Reisser,Robert,,,,,,,Wien,,1831,03.05.1831
"",,,,,,,"Schmelzöfen ohne Tiegel zu benöthigen. Beschreibung der Feuerspritze Schmelzofen, Feuerspritze",,,,,
"",,,,,,,"Descrizione del Miglioramento ... per fabbricare Carta, e Cartoni di Paglia, Alga paludosa, Gambe di Stroh, Maisstroh, Sumpfalge, Papier,",,,,,
1853,Sogliani,Fortunato,,,,,,,Wien,,1831,04.05.1831
"",,,,,,,"formentone, e tutti i Vegetabili ... [Papier und Pappe aus Stroh, Sumpfalge und Maisstengel] Pappe",,,,,
"",,,,,,,"Beschreibung ..., um ein Privilegium zur Verfertigung aller Gattungen Männer- und Knabenkleider",,,,,
"",,,,,,,"mittelst einer auf mathematischen Grundsätzen beruhenden Vorrichtung nach seiner eigenen Kleidung, Schneiderei, Zuschneiden,",,,,,
1854,Kaeding,Ludwig,,,,,,,Wien,,1831,18.05.1831
"",,,,,,,"Erfindung betreffend, womit nämlich alle ... Männer- u. Knabenkleider der verschiedenen Maßnehmen",,,,,
"",,,,,,,"körperlichen Verhältnissen genau anpassend, ... zugeschnitten u. verfertigt werden können, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung für die Toilette, unter der Benennung: ""Schweitzer Toiletten-Oehl""",,,,,
1855,Mittrenga,Anton,,,,,"Haaröl, Parfüm",,Wien,,1831,11.04.1831
"",,,,,,,...,,,,,
