PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
5358,Rezia,Francesco Liberato,,,,,Esatta descrizione della Macchina: Il Piggiatore ... [Traubenpresse],Weinpresse,,Wien,,1843,25.10.1843
"",,Aloisio Francesco,,,,,"Descrizione la curva dello sferico, in confronto di quella privilegiata con privilegio impartito al Sr.",,,,,,
5359,Mocenigo,,,,,,,Schiffbau,,Wien,,1846,21.04.1846
"",,[Conte] di,,,,,Giuseppe de Bei in datu 09.03.1841 ... la costruzione della ... [barca] ... [Schiffbau],,,,,,
5360,Feyfar,Kaspar,Hock,Leopold,,,... Das Wesen dieser Erfindung /: einer neuen Art Lampen:/... [Abschrift],"Lampe, Docht, Glasfaser",,Wien,,1843,27.01.1843
5360,Hagemann,Karl,,,,,Beschreibung ... in Betreff der Verbesserung im Wagenbaue ... [Abschrift],Wagenrad,,Wien,,1843,02.03.1843
"",,,,,,,"... privilegio: per la produzione, e vendita di Seta greggia misurata mediante l'applicazione di un","Seide, Seidenhaspel, Strähne,",,,,,
5360,Cobelli,Francesco Antonio,,,,,,,,Wien,,1843,02.03.1843
"",,,,,,,orologgio misuratore all'aspa della caldaja ... [Seidensträhnenmeßapparat am Haspel]. [Abschrift],Meßgerät,,,,,
5361,Lampato,Paolo,,,,,Stereotipia Poliglotta con curatteri mobili [Stereotypie mit beweglichen Lettern],Stereotypie mit bewegl. Lettern,,Wien,,1843,02.11.1843
5361,Rezia,Francesco Liberato,,,,,Esatta descrizione della Macchina il Piggiatore [Weinpresse],Weinpresse,,Wien,,1843,02.11.1843
5361,Lazzaroni,Giovanni Battista,,,,,Macchinette od ordigni Serico-tecnici migliorati [Seidenhaspel].,Seidenhaspel,,Wien,,1843,02.11.1843
"",,,,,,,... privilegio consiste nella fabbricazione dei cosi detti Cartoni a porcellana per uso Viglietti di Visita,,,,,,
5362,Grossoni,Giovanni,,,,,,"Visitkarte, Papier",,Wien,,1843,02.11.1843
"",,,,,,,... [Papier zu Visitkarten],,,,,,
5363,Riess,Lorenz,,,,,Beschreibung der Verbesserung von Feuer-Reibhölzchen [Abschrift],Zündholz,,Wien,,1843,04.04.1843
"",,,,,,,Neue Erfindung und Verbesserung mittelst Vorrichtung einer [Jacquard] Maschine neuer Meubles-,,,,,,
5363,Hoehnel,Franz,,,,,,Möbelstoff,,Wien,,1843,21.06.1843
"",,,,,,,Stoffe [Abschrift],,,,,,
5363,Rosaglio,Cesare,,,,,Descrizione della macchina locomotrice per la Strade comuni [Straßenlokomotive] [Abschrift],Dampfwagen,,Wien,,1843,21.06.1843
"",,,,,,,"Beschreibung der ... Verbesserung, der Manipulation des Löcher machens in Steinen [für das","Ziehloch, Steinbohrmaschine,",,,,,
5364,Falleithner,Ludwig,,,,,,,,Wien,,1850,22.04.1850
"",,,,,,,Drahtziehen],Drahtziehen,,,,,
5365,Petrowitsch,Markus,,,,,Beschreibung der ... verfertigten Zigarrenröhren,Zigarrenspitze,,Wien,,1850,01.06.1850
"",,,,,,,"Descrizione dall'invenzione ... ad applicare e sostituire a questi in legno i Castelli, le Zecche e Ruote",,,,,,
5366,Galli,Giovanni,,,,,"in Ghisa o ferro dolce, per Sostegno, inceppata e movimento delle Campane ... [Gußeiserne oder",Glockenstuhl,,Alzano,,1844,25.10.1844
"",,,,,,,eiserne Glockenstühle],,,,,,
"",,,,,,,Descrizione della nuova scoperta che ... consiste in sostanza nella fabbricazione di caratteri,,,,,,
"",Pandiani di,,,,,,alfabetici di varia foggia colore ... in zinco e in stagno colle forme di bronzo ad uso delle mostre,,,,,,
5367,,Agostino,,,,,,"Schild, Beschriften, Metallbuchstabe",,Milano,,1847,24.12.1847
"",Giuseppe,,,,,,dello botteghe officine fabbriche ed edifificj sacri e profani [Metallbuchstaben für Schilder und,,,,,,
"",,,,,,,Beschriftungen],,,,,,
"",,,,,,,"Descrizione ... della nuova invenzione delle molle a rotolo, ed nuovo miglioramento di usare,",,,,,,
5368,Boncinelli,Luigi,,,,,,"Spiralfeder, Federung/Wagen",,Milano,,1845,05.02.1845
"",,,,,,,"adattare, ed applicare le Molle spirali od elicali per Carrozze ... [Spiralfedern zur Wagenfederung]",,,,,,
"",,,,,,,Descrizione del nuovo processo per calcinare le ossa e vivificare il nero in grana ...,,,,,,
5369,Ribard,Giacomo,,,,,,"Knochen, Kalzination, Knochenkohle",,Milano,,1844,04.12.1844
"",,,,,,,[Knochenkalzination und Thierkohlenerzeugung],,,,,,
"",,,,,,,Descrizione di alcuni miglioramenti che ... alla macchina di sua invenzione ... detta Pala d'acqua,,,,,,
5370,Briola,Alberico,,,,,,Wasserrad,,Pavia,,1847,14.07.1847
"",,,,,,,asbalzo ... [Wasserkraftmaschine],,,,,,
"",,,,,,,Processo e descrizione di un nuovo metodo per la fatturazione del Lino e della Canapa senza,,,,,,
5371,Soresina Vidoni,Bartolomeo de,,,,,,"Flachs, Hanf",,Milano,,1845,15.02.1845
"",,,,,,,macerazione fermentatione [Hanf- und Flachssättigung ohne Auslaugen und Gärgung],,,,,,
