PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Beschreibung der neu erfundenen Weberkamm-Maschine, welche durch Hände und Füsse in",,,,,
1089,Punshon,Johann,,,,,"Bewegung gesetzt wird, welche tragbar und in jedem Orte ohne dessen Veränderung aufrichtbar",Weberkamm,Wien,,1832,05.09.1832
"",,,,,,,"ist, welche ferner geeignet ist, Weberkämme ... vollkommener, ..., auch wohlfeiler zu erzeugen",,,,,
"",,,,,,,Beschreibung der ... Verbesserung auf die im Dinglerischen Polytechnischen Journal im 1. Heft,,,,,
"",,,,,,,vom Oktober 1830 Fol.74 bekannt gemachte neue Amerikanische Spinnvorrichtung angebracht zu,,,,,
1090,Schultus,Franz,,,,,,Spinnmaschine,Wr.Neustadt,,1830,02.11.1830
"",,,,,,,"haben, ..., daß anstatt der feststehenden Spindel eine bewegliche sich umdrehende angebracht",,,,,
"",,,,,,,"wird, ...",,,,,
"",,,,,,,"Beschreibung der ... gemachten Verbesserung, ..., daß: ein einzelner Mann die Kraft eines Pferdes",,,,,
1091,Thuemmel,Matthias Joseph,,,,,"damit ausüben, und hiedurch alle Gattungen Triebwerke vorzüglich Getreidemühlen in Bewegung",Getriebe,Wien,,1830,03.04.1830
"",,,,,,,"setzen kann, ... [von] Johann Guger [Pseud.]",,,,,
"",,,,,,,"Umständliche Beschreibung mit Ein Stück Apparats-Zeichnung, über eine neue Entdeckung, in der",,,,,
1092,Muedler,Heinrich,,,,,,"Hut, Walkkessel",Wien,,1829,15.10.1829
"",,,,,,,"Art, aller Gattungen Filzhüte, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., daß mittelst einer Maschine ... verfertigt werden können: 1.",,,,,
"",,,,,,,"Kartandel aus Pappendeckel ... 2. Galanterie-Arbeiten und Taschen von geprägten Leder, die sich","Kartonagen, Galanterie, Lederwaren,",,,,
1093,Knepper,Karl,,,,,,,Wien,,1827,08.02.1827
"",,,,,,,"durch ihr scharf geprägte Dessins empfehlen. 3. Bilder-Rahmen, welche eine reiche goldgedruckte","Dessin, Bilderrahmen",,,,
"",,,,,,,"Verzierung erhalten, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung an den Kupferhütchen, ..., daß die Knallsubstanz in den",,,,,
1094,Nussbaumer,Joseph,,,,,,Zündhütchen,Wien,,1827,10.04.1827
"",,,,,,,"sogenannten Kapseln, oder Kupferhütchen eine höchst gleichförmige, ... Detonation veranlaßt, ...",,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., Daß mittelst einer eigenen Vorrichtung ein von der",,,,,
1095,Miklovich,Johann,,,,,"schädlichen Einwirkung des Rauches vollkommen freyes ganz weißes, und im Brauen ergiebigeres","Malz, Dörrofen/Malz",Wien,,1826,21.12.1826
"",,,,,,,"Malz erzeugt werde, ...",,,,,
"",,,,,,,Beschreibung der Verbesserung 1. in der Einprägung aller Gattungen Desseins auf Knöpfe von,,,,,
"",,,,,,,"Horn aller Farben von Hornmasse, und Perlmutter, wie auch Bein. 2. in dem Verfahren diesen",,,,,
1096,Loew,Paul,Mueller,Ignaz,,,,"Knopf, Dessin",Wien,,1831,18.01.1831
"",,,,,,,"Knöpfen Gold und Silber mit allen Gattungen Desseins einzulegen. 3. in der neuen Vorrichtung, die",,,,,
"",,,,,,,"Stanzen immer gleich rein, schön und scharf zu erhalten",,,,,
