PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beilage zur Zeichnung und Erklärung jener Bestandtheile, welche an Friedrich Werthers","Kartoffel, Einmaischapparat, Spiritus,",,,,,
3388,Werther,Friedrich,,,,,,,,,Budapest,,1838,
"",,,,,,,,Dampfspiritus-Brenn-Apparate als neu und eigenthümlich vorkommen,Destillierapparat,,,,,
"",,,,,,,,Beschreibung des Verfahrens bei der Erzeugung des sogenannten indischen Seidenflanels,,,,,,
3389,Nadasdy,Thomas Graf,,,,,,,"Seidenabfälle, Seidenflanell",,Wien,,1838,28.12.1838
"",,,,,,,,/:Idsadan:/,,,,,,
"",,,,,,,,"Neueste Erfindung das in Kärnten übliche Stein- und Kessel-Bier, dan Spiritus mit Ersparung der",,,,,,
"",,,,,,,,,"Bier, Brauapparat, Spiritus,",,,,,
3390,Herzele,Georg,,Loeschnigg,Joseph,,,"Zeit, des Holzes, und der arbeitenden Hände zu erzeugen, und zwar mittelst eines einzigen Kessels",,,Klagenfurt,,1838,10.12.1838
"",,,,,,,,,Destillierapparat,,,,,
"",,,,,,,,und Feuers,,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserungen ..., daß sie durch einen eigenthümlichen Fabrikations-Turnus",,,,,,
"",,,,,,,,,"Harz, Terpentin, Ozokerit, Asphalt,",,,,,
"",,,,,,,,und zum Theil neue Mittel aus lauter inländischen Materialien jene wasserdichte Pasten und,,,,,,
"",,,,,,,,,"Eisenerz, Zunder, Eisendraht,",,,,,
"",,,,,,,,"Deckmittel ... erzeugen, deren man sich ... zum Pflastern der Strassen und Höfe als zum Belegen",,,,,,
3391,Simon,Friedrich,,,,,,,"Straßenpflasterung,",,Wien,,1838,27.12.1838
"",,,,,,,,"der Trotoire, Terassen, Brücken u. Kanäle ... als zum Uiberzug oder Anstrich hölzerne, irdene und",,,,,,
"",,,,,,,,,"Imprägnierung/Holz,",,,,,
"",,,,,,,,"metallene Gegenstände und Wasserbauten aller Art bedienen kann, um sie gegen die Einwirkung",,,,,,
"",,,,,,,,,Feuchtigkeitsschutz,,,,,
"",,,,,,,,des Wassers und der Feuchtigkeit überhaupt zu schützen,,,,,,
"",,,,,,,,"Meine Erfindung besteht darin, daß ich der Seife fein geschlemmten Federweiß zusetze, und zwar",,,,,,
3392,Obersteiner,Alois,,,,,,,"Federweiß, Seife",,Murau,,1839,15.01.1839
"",,,,,,,,im Verhältnisse der Fette der Seife und der Fette des Federweiß ...,,,,,,
"",,,,,,,,Beschreibung der ... Verbesserung der Talgkerzen durch hinzusetzung von Stearine und Wachs,,,,,,
3393,Hartl,Georg,,,,,,,"Unschlitt, Raffinade/Unschlitt, Kerze",,Wien,,1839,06.02.1839
"",,,,,,,,mitelst Aetzkalien zu raffiniren ...,,,,,,
"",,,,,,,,Beschreibung der neuen Erfindung mittels einer eigenen neuen Vorrichtung glacirte Gummi elastic,,,,,,
"",,,,,,,,,"Gummiband, Glacieren, Bandstuhl,",,,,,
3394,Altlechner,Wilhelm,,,,,,Bänder von allen beliebigen Farben auf Mühlstühlen in Verbindung mit sogenannten,,,Wien,,1840,15.01.1840
"",,,,,,,,,Jacquardmaschine,,,,,
"",,,,,,,,Czakermaschinen zu erzeugen,,,,,,
"",,,,,,,,Beschreibung ... alle Sorten von Filz- und Seidenhüte durch eine neue Methode von den,,,,,,
3395,Auhl,Franz,,,,,,,"Hut, Steifung, Fettschweiß",,Wien,,1841,13.01.1841
"",,,,,,,,"schädlichen Durchbringen des Schweißes zu verwahren, ...",,,,,,
"",,,,,,,,"Beschreibung der Geheimhaltung über die Ferfertigung einer neuen Erfindung von Regenschirm,",,,,,,
3396,Meinhall,Johann Lorenz,,,,,,,"Regenschirm, Tabakspfeife, Stock",,Wien,,1841,27.01.1841
"",,,,,,,,"unter den Nahmen Comot-Regenschirm, ...",,,,,,
"",,,,,,,,Beschreibung eines Systems zur Anwendung der vermittelst voltaischer Electricität,,,,,,
3397,Urling,Roo W.,,,,,,"(Elektromagnetismus) bewirkten Locomotion auf Werkzeuge und überhaupt alle solche Fälle, wo",Elektromotor,,Wien,,1841,03.12.1841
"",,,,,,,,Bewegkraft erfordert wird,,,,,,
"",,,,,,,,Recepte und Beschreibung der von mir Erfundenen Verbesserung bey Erzeugung der Filz- und,,,,,,
3398,Schmidt,Anton,,,,,,,"Hut, Steifung, Färben/Hut",,Wien,,1842,20.01.1842
"",,,,,,,,"Seidenhütte, in einer Steife und dem Färben bestehend",,,,,,
"",,,,,,,,Beschreibung der Erfindung zur beßern und billigen Erzeugung der Männer Cravate und,,,,,,
3399,Lieger,F.C.,,,,,,,"Krawatte, Schal",,Wien,,1842,22.01.1842
"",,,,,,,,Halsbinden,,,,,,
"",,,,,,,,"Genaue Beschreibung neu verbesserter, ganz gepreßter Metall-Acordions (Plaßepalg",,,,,,
3400,Simon,Daniel,,Simon,Michael,,,,"Ziehharmonika, Gehäuse, Stanze",,Wien,,1843,05.01.1843
"",,,,,,,,Hamonicken),,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., 1. daß das eingelegte Papier ... die auf zu drückenden Linien und",,,,,,
3401,Girardet,Charles,,,,,,"rücksichtlich Rubricken mit solcher Genauigkeit aufnimt, daß das Papier beim Einbinden nicht ...","Liniermaschine, Papier, Rubriziertes",,Wien,,1839,02.11.1839
"",,,,,,,,"abgezirkelt und abgeschnitten werden muß, ...",,,,,,
"",,,,,,,,Beschreibung der Verbeßerung bei den in Gebrauch stehenden Cigaren Etvies ... nicht nur mehr,,,,,,
"",,,,,,,,allein zur Aufbewahrung der Cigaren ... sondern bey den Verbeßerten Etvie's sich auch eine,,,,,,
3402,Girardet,Charles,,,,,,,"Zigarrenetui, Zündholz, Brieftasche",,Wien,,1843,13.03.1843
"",,,,,,,,Abtheilung mit Frictions-Feuerzeuge ... und außerdem noch ein Fach zur Aufbewahrung von,,,,,,
"",,,,,,,,Banknoten oder Schriften befindet,,,,,,
"",,,,,,,,Zur Erklärung des Modells meiner gemachten Erfindung um mit Dampfwägen auf Eisenbahnen,,,,,,
3403,Braun,Joseph,,,,,,,Zahnradbahn,,Triest,,1843,27.02.1843
"",,,,,,,,unter jeder beliebigen Böschung gefahrlos Berg auf und ab fahren zu können,,,,,,
