PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,,Jahr,Einreichdatum
"",,,,,,,Transportable Dreschmaschine für Aehren Getreide. Erfunden von Ferdinand Leitenberger,,,,,
3087,Leitenberger,Ferdinand,,,,,"Stiftentrommel, Dreschmaschine",Reichstadt,,,1838,23.11.1838
"",,,,,,,kk.pensionirten Rittmeister zu Reichstadt in Böhmen,,,,,
"",,,,,,,"Beschreibung der ... neu erfundenen Broschier oder Steckschlag für Schawl Weber Stühle, bei",,,,,
3088,Ahrens,Heinrich,,,,,"Broschierlade, Bandstuhl",Wien,,,1841,13.11.1841
"",,,,,,,welchen die sogenannten Steker-/:Broschierer:/Kieder ganz entbehrt werden,,,,,
"",,,,,,,Descrizione della nuova Scoperta che ... consiste in sostanza in una macchina serviente a voltare i,,,,,
3089,Campiglio,Antonio,,,,,"Notenpult, Lesepult, Umblättern",Milano,,,1840,01.07.1840
"",,,,,,,fogli delle musica e dei libri [Umblättermaschine für Bücher und Musikalien],,,,,
"",,,,,,,Beschreibung der königl.preuß.priv. Schroeder und Kronbiegel'schen Dekatiermaschine in Erfurt.,,,,,
3090,Eibenstein,Joseph,Schroeder,Kronbiegel,Meissel Franz,Wolle Emanuel,Dekatiermaschine,Wien,,,1833,07.02.1833
"",,,,,,,"Für die öst.-ung. Monarchie eingereicht von Emanuel Wolle, Franz Meissel und Joseph Eibenstein",,,,,
"",,,,,,,Beschreibung uiber das ... Privilegium auf Verbesserungen nachstehender Maschinen und derley,,,,,
3091,Reitze,Alois,,,,,"Krempeln, Spinnmaschine",Wr. Neustadt,,,1841,11.01.1841
"",,,,,,,Bestandtheile für Spinnereyen,,,,,
3092,Eichen,Anton,,,,,Beschreibung der beiliegenden Zeichnung einer Mangel Wäscherolle,Wien,,,1841,20.01.1841
3093,Uffenheimer,Max,,,,,"Beschreibung einer Verbesserung der Sirogat-Caffee-Erzeugung ... Kaffee, Mühle",Wien,,,1835,27.05.1835
3094,Urling,Robert W.,,,,,"Beschreibung der ... Verbesserung der Spinnmaschinen (Mule jenny), ... [Text engl.u.dt.] Spinnmaschine, Getriebe",Wien,,,1837,22.09.1837
"",,,,,,,"Beschreibung eines neu verbesserten Gries- und Mehl Erzeugungs Verfahren aus Getreide,",,,,,
3095,Baumann,Michael,Goetz,Johann,,,"mittelst besonderer Kunstgriefe, und eines bey weiten zweckmässigeren und minder kostspieligen Grieß, Putzmaschine, Mehl, Mühle",Wien,,,1837,26.09.1837
"",,,,,,,Mahlapparates,,,,,
3096,Hess,August,,,,,Beschreibung einer ganz neu erfundenen Verbesserung an den Wagenlaternen Wagenlaterne,Wien,,,1838,30.11.1838
"",,,,,,,"Beschreibung ... über die verbesserte Construction, der dem Franz Fexer unterm 26.11.1826",,,,,
3097,Fexer,Franz,Fexer,Joseph,,,"Schokolademühle, Mischmaschine",Wien,,,1839,26.03.1839
"",,,,,,,ausschl. priv.Maschine zur Erzeugung der Chocolade,,,,,
"",,,,,,,Beschreibung dienlich um ein Privilegium zu erhalten auf die Erfindung einer ganz neuen Mischung,,,,,
"",,,,,,,"Asphalt, Teer, Dichtungsmasse,",,,,,
3098,Vivier,Anton v.,,,,,"Asphaltischer oder Theerischer Substanz zum Gebrauche bey jedwelcher Pflasterung, zu Canallen,",Wien,,,1840,30.06.1840
"",,,,,,,Straßenpflasterung,,,,,
"",,,,,,,"Dachungen, Schlauch &&& [Text frz.u.dt.]",,,,,
