PrivRegNr,Name1,Vorname1,,Name2,Vorname2,,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatu
715,Petri,Gottlieb,,,,,,,"Mit Schiffer eingefaßte Ziegeldächer Dach, Schiefer",,Preßburg,1828,02.11.1828
716,Oudart,Angelic Anton,,,,,,,"Beschreibung der hydraulischen Pumpe Pumpe, Gastwirt, Weinpumpe",,Wien,1827,17.07.1827
"",,,,,,,,,Beschreibung der neu verbesserten Zwilchband-Rundschnür-Maschine in Verbindung mit dem,,,,
"",,,,,,,,Ferdinand &,,,,,
717,Mareda,W.F. & Sohn,Perl,,Jakob & Franz,Perl,,,"Sammtbandstuhle, wodurch die Erzeugung der gewebten Zwilchband-Hohl-Rundschnüre mit acht Docht, Bandstuhl",,Wien,1830,13.09.1830
"",,,,,,,,Anton,,,,,
"",,,,,,,,,"Schafte, wesentlich verbessert erscheint",,,,
718,Fornaera,Johann Ferdinand,,,,,,,"Beschreibung der ... Erfindung und Verbesserung im Reinigen der Schornsteine, ... Rauchfang",,Wien,1830,07.12.1830
"",,,,,,,,,Beschreibung über unsere gemeinschaftliche Erfindung auf eine weit vortheilhaftere Art Watter-,,,,
719,Wackerlig,Jakob,Wackerlig,,Kaspar,,,,"Spinnmaschine, Garn",,Fischamend,1822,10.03.1822
"",,,,,,,,,"Twist oder Wassergarn zu erzeugen, als mit den bis dato angewandten Einrichtungen",,,,
"",,,,,,,,,Beschreibung unseres Verfahrens: weisgahres Dänisch-Leder ohne Geruch und dann lohgahres,,,,
720,Swoboda,Prokop Ferdinand,Swoboda,,Theresia,,,,"Gerberei, Handschuh, Leder",,Prag,1826,03.05.1826
"",,,,,,,,,"Dänisch-Leder mit Geruch zu erzeugen, ...",,,,
"",,,,,,,,,"Erwähnter Schattendruck, unter den Nahmen Ombra oder Luna, von welchem ich hiemit vier",,,,
"",,,,,,,,,,,Mitterweyerbur,,
721,Doppelmayr,Karl Gustav Philipp,,,,,,,"Muster beylege, eignet sich ganz für die Weiss Baumwollen Waaren Manufaktur, und ist im Zeugdruck, Dessin",,,1829,04.05.1829
"",,,,,,,,,,,g b. Bregenz,,
"",,,,,,,,,Gebiet der Fabrikation eine neue Erscheinung,,,,
"",,,,,,,,,"... zeigt ... an, eine neue Erfindung gemacht zu haben, welche ... darin bestehet, daß er nach",,,,
722,Neuknapp,Joseph,,,,,,,"vielfältiger Bemühung ... dahin gelangt ist, Eisen von zwey bis zwanzig Löchern und noch höhere Zündholz, Hobel",,Wien,1830,24.05.1830
"",,,,,,,,,"Anzahl Löchern zur Erzeugung der rohen Zündhölzchen, zu verfertigen, ...",,,,
"",,,,,,,,,"Wasserdichtes Tuch,",,,,
723,Reithofer,Johann,,,,,,,"Beschreibung der Erfindung, wollene Tücher wasserdicht zuzubereiten Imprägnierung/Tuch,",,Nikolsburg,1824,14.11.1824
"",,,,,,,,,Tuch/Imprägnierung,,,,
724,Zobl,Johann,,,,,,,"Beschreibung meiner Neu erfundenen Essig Erzeugnüß aus Waizen, und Gersten Malz Essig",,Brünn,1823,08.09.1823
"",,,,,,,,,Verfahrungs-Art und Weise um Papiere oder Papiertapeten auf blose Mauerwände ohne,,,,
725,Klobasser,Johann,,,,,,,"Tapete, Papier",,Brünn,1829,18.01.1829
"",,,,,,,,,Unterlagspapiere aufzuziehen,,,,
"",,,,,,,,,Beschreibung der ... Verbesserung welche ... darin besteht: A) Ziegen Lam und Schaffelle zu,,,,
"",,,,,,,,,"glacierten Handschuhen ... auszuarbeiten,... B) diese Felle beliebig ... zu färben ... C) aus diesen ...",,,,
726,Bergl,Anton,,,,,,,"Handschuh, Färben/Leder",,Brünn,1829,28.03.1829
"",,,,,,,,,"Handschuhe auf eine nirgends erfundene sehr Zierlichen und vorteilhaften Art, um gleichfalls",,,,
"",,,,,,,,,billige Preiße zu verfertigen,,,,
"",,,,,,,,,Beschreibung über die Anwendung der Wasserdämpfe zur Reinigung der Hadern und des,,Zuckmantl/Schl,,
727,Weiss,Joseph,,,,,,,"Hadern, Waschmaschine",,,1825,13.11.1825
"",,,,,,,,,Papierzeuges,,esien,,
"",,,,,,,,,Beschreibung der Doppelbüchse mit zwey Läufen untereinander und einem unsichtbaren Schlos ...,,,,
728,Wordliczek,Georg,,,,,,,"Gewehr, Gewehrschloß",,Wien,1826,03.08.1825
"",,,,,,,,,Beschreibung der Doppelflinte mit zwey Läufen nebeneinander und einem Schlos ...,,,,
"",,,,,,,,,"Nomenclattura delle diverse parti, ... della macchina costrutta ..., qual macchina tutta di rame e",,,,
729,Boni,Luigi,,,,,,,"stagno, serve in un sol tempo, I. a ricceverre in una parte il carico di Vino scaricandolo ridotto coll' Destillierapparat, Weingeist, Likör",,Wien,1831,
"",,,,,,,,,opera di regolare distillazione a spirito di 30 gradi aromatizzato per otto diversi liquori ...,,,,
"",,,,,,,,,"Beschreibung der Bereitungs-Art eines luftdicken Stoffes, um daraus Matratzen, Sitz- und",,,,
"",,,,,,,,,"Kopfkissen, Luft-Gurten, wodurch jeder auch der Unkundigste im Schwimmen in Wassergefahr vor Luftdichtes Tuch, Wasserdichtes Tuch,",,,,
730,Hecht,Joseph August,Nentwich,,Joseph,,,,,,Eger,1830,12.03.1830
"",,,,,,,,,"Ertrinken gesichert ist, verfertige zu können. Ferner kann dieser Stoff zur Auspolsterung der Möbelstoff, Gradl",,,,
"",,,,,,,,,Wägen und aller Einrichtungsstücke verwendet werden,,,,
