PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,Beschreibung einer single Locker Rotary-Maschine zur Verfertigung von glatten Tull anglais-,,,,,
1943,Baum,Daniel,,,,,,,"Spitzen, Tüll, Bobinetmaschine",Wien,,1832,27.04.1832
"",,,,,,,,Streifen,,,,,
1944,Austin,William,Damboeck,,Ludwig,,,"Beschreibung einer neuen Tull anglais Maschiene, Six motion Maschiene genannt","Spitzen, Tüll, Bobinetmaschine",Wien,,1832,28.04.1832
1945,Tugemann,Karl,,,,,,Beschreibung der ... neu verbesserte Tuchscheermaschiene,Tuchschere,Reichenberg,,1832,17.05.1832
"",,,,,,,,Zeichnung und Beschreibung der ... Verbesserung auf seine neu erfundene Zimmerputz-Maschine,,,,,
1946,Hoffinger,Vinzenz,,,,,,,Fußbodenbürste,Wien,,1832,19.06.1832
"",,,,,,,,zum stehenden Gebrauch ...,,,,,
"",,,,,,,,"Beschreibung ... A) Allerhand Wollen, Baumwollen u. Leinenwaaren ... mittelst 2-er ...",,,,,
"",,,,,,,,,"Kochapparat, Walke,",,,,
"",,,,,,,,"Kochapparate ... zu reinigen u. zu bleichen u. sodann durch Appreturen, Drucken, Färben u.dgl. zu",,,,,
1947,Stengel,Wolf,,,,,,,"Appreturmaschine, Zeugdruck,",Wien,,1832,02.07.1832
"",,,,,,,,jeder Art Kaufmannsgut zu gestalten ... C) ... durch eine neu erfundene Vorrichtung im Walk,,,,,
"",,,,,,,,,Färben/Stoff,,,,
"",,,,,,,,Apparat ... zu walken ...,,,,,
