PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"15.12.1837, Nr. 32157, patentirten sich selbst nährenden Oehlgaslampe, ...",,,,
"",,,,,,,,,Zablocic bei,,
3729,Schröter,Adolph,,,,,"Beschreibung des Verfahrens bey Erzeugung der Stearin Wirtschafts Kerzen Stearin, Kerze, Kniehebelpresse",,,1842,11.01.1842
"",,,,,,,,,Seybusch,,
3730,Fritz,Georg,,,,,"Beschreibung der von mir erfundenen Wiener Rococo-Schwimmer zum 2 und 4 sitzig zu machen Wagen, Federung/Wagen",,Wien,1844,23.01.1844
"",,,,,,,"Beschreibung einer verbesserten Art, aller Gattungen Handschuhe, aus allen wie immer Nahmen",,,,
3731,Reingruber,Lorenz,,,,,"habenden Stoffen: als Leder, elastischem Seidenkettenstoff, Halb- und Ganzseide, Trigo von Schaf- Handschuh, Zuschneiden",,Wien,1844,06.03.1844
"",,,,,,,und Baumwolle usw.,,,,
3732,Goerlitz,Anton,Lorenz,Andreas,Straub,Joseph,"Beschreibung u. Zeichnung einer neuen Erfindung auf Behauung der Mühlsteine Mühlstein, Schärfen",,Wien,1844,10.02.1844
"",,,,,,,Beschreibung u. Zeichnung der neuen Verbesserung einer Drehmaschine ... zum Behufe von,,,,
"",,,,,,,"Dampfmaschinen, Feuerspritzen, Saug- und Druckpumpen, Wasserrädern, Luftziehern, Blasbälgen",,,,
3733,Bird,Thomas O. Moore,Gyra,R.v.,,,Drehschieber,,Wien,1840,15.08.1840
"",,,,,,,"angewendet, nach demselben Drehprinzip ihre Wirkung äußert [Text engl.] [zedirt an Ritter v.",,,,
"",,,,,,,Gyra],,,,
