PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
3122,Pereles,Benedikt Salomon,Pereles,,,,,,,"Zündhütchen, Kapsel, Schießpulver",Prag,,1837,31.10.1837
"",,,,,Salomon,,,"einem chemischen Pulver gefüllt ... zu verfertigen, ...",,,,,,
"",,,,,,,,... Privilegium auf Verfertigung aller Gattung Schuhmacherarbeiten ...: die inwendigen Besetze,,,,,,
"",,,,,,,,,,"Leinwand, Imprägnierung/Leinwand,",,,,
3123,Pfister,Mathias,,,,,,oder sogenannten Ueberstemm und Beilagen ... aus einem eigenen dazu bereiteten Stoff in alle,,,Schönberg,,1841,05.01.1841
"",,,,,,,,,,"Ueberstemm, Schuh",,,,
"",,,,,,,,"Schuhmacherarbeiten zu geben, ...",,,,,,
3124,Rathschueler,Joseph,,,,,,Beschreibung des von Joseph Rathschüler Erfundenen Schwimmleders,,"Leder/Wasserdichtes, Gerberei",Wien,,1840,10.12.1840
"",,,,,,,,"Beschreibung der von Richard Gurney Esquire von Treurmon House, Cornwallis, erfundenen",,,,,,
3125,Gurney,Richard,,,,,,"Methode mit Benützung des Asphalts und anderer Cemente, Straßen, Wege, Plätze und Gebäude,",,"Holzpflaster, Asphalt, Dichtungsmasse",Wien,,1840,20.11.1840
"",,,,,,,,mit Holzblöcken zu pflastern,,,,,,
