PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
747,Dobrowsky,Alois,,,,,Beschreibung des Pulverhorns und zugleich Schrotbeutel-Aufsatzes,"Pulverhorn, Schrotbeutel",Prag,1828,11.08.1828
748,Sammer,Joachim,,,,,Beschreibung der von mir erfundenen sogenannten: Neu erfundene Wiener sicherheits Schlösser,Schloß,Wien,1829,09.07.1829
"",,,,,,,"Beschreibung des durch die Kraft des Wassers in Bewegung und Arbeit zu setzenden Webstuhles,",,,,
749,Liebich,Franz,Liebich,Johann,,,,Webstuhl,Reichenberg,1829,04.01.1829
"",,,,,,,...,,,,
"",,,,,,,"... zeigt ... an eine Erfindung und Verbesserung des vorderen Gestell der Wägen, samt Vorwerge,",,,,
"",,,,,,,"dann die am Wagen befindlichen sämmtlichen Riemen, als auch der englischen Vorderdächer, und","Wagen, Wetterdach, Wagenlaterne,",,,
750,Stolz,Franz,,,,,,,Wien,1828,24.01.1828
"",,,,,,,"ihrer seiten Flügeln und eine Art von Wagendächern, wie auch der Lichtvermehrungs Spiegeln","Spiegel, Riemenzeug",,,
"",,,,,,,"gemacht habe, ...",,,,
"",,,,,,,"Descrizione dell'introduzione che ... dei battelli a maneggio per il passaggio dei fiumi, laghi, ed",,,,
751,Church,Edoardo,,,,,,"Schiffsantrieb, Getriebe",Milano,1825,18.06.1825
"",,,,,,,altre acque navigabili ...,,,,
"",,,,,,,"Drey Zeichnungen, wovon die erste Zwey der einfachen Theorie vn einer Fahrmaschin",,,,
"",,,,,,,"verbesserung sind, ... die dritte Zeichnung erhaltet den Abriß einer Maschine ..., mit welcher man",,,,
752,Tosi,Giovanni Battista,,,,,,"Wagen, Getriebe",Wien,1826,25.03.1826
"",,,,,,,"durch das gewicht eines einzigen Menschen die Kraft bedeutend erhöhen könne, ohne die",,,,
"",,,,,,,geschwindigkeit zu verminden - ...,,,,
753,Dufour,Stefano,,,,,Descrizione della Macchina per l'incannaggio della Seta [Seidenspulmaschine],"Seide, Spulmaschine",Milano,1826,21.03.1826
"",,,,,,,Descrizione della scoperta che ... consiste nel fare due tele in un solo tempo e con un solo telajo ...,,,,
754,Negro,Bartolomeo,,,,,,Webstuhl,Monza,1826,23.05.1826
"",,,,,,,[Webstuhl zur gleichzeitigen Verfertigung von zwei Zeugstücken],,,,
"",,,,,,,"Descrizione del miglioramento che ... nella fabbricazione delle acque minerali, e marziali, che",,,,
755,Milani,Giuseppe,,,,,,Mineralwasser,Milano,1825,29.01.1825
"",,,,,,,consiste in sostanza nel ridurre le dette acque artificiali deparate da ogni sale ... [Mineralwässer],,,,
"",,,,,,,Descrizione della scoperta che ... consiste nella fabbricazione della Limonata vegetabile Gazosa ...,,,,
756,Milani,Giuseppe,,,,,,"Limonade, Kracherl",Milano,1825,02.07.1825
"",,,,,,,[Limonaden],,,,
"",,,,,,,"Descrizione dell'invenzione ..., consistente nella fabbricazione di Vini ad uso Cipro, ad uso Malaga,",,,,
757,Zucchi,Giovanni Battista,,,,,,Wein,Cremona,1825,26.09.1825
"",,,,,,,ad uso Moscato,,,,
758,Pettolo,Lorenzo,,,,,"Nuova maniera di fabbricare i Vini ad uso Cipro, Malaga, Alicante, Lunello, e Rhum","Kunstwein, Rum",Cremona,1825,14.12.1825
"",,,,,,,"Descrizione della Scoperta che ... consiste in un acqua purificatoria per telerie, e di stoffe di lana e","Waschmittel, Waschmaschine,",,,
759,Vietti,Giovanni Antonio,,,,,,,Pavia,1814,11.01.1814
"",,,,,,,"di seta,...","Rasiercreme, Fleckputzmittel",,,
760,Bruckner,Matthaeus,,,,,"Beschreibung der verbesserten auf neue Art verfertigten Barbiermesser-Abziehriemen, ...",Abziehen/Rasiermesser,Wien,1826,14.04.1826
"",,,,,,,"Descrizione del miglioramento che ... consiste l. costruire le braghe delle Stadere, e bilancie",,,,
761,Culot,Giovanni,,,,,,"Waage, Brückenwaage",Milano,1829,14.09.1829
"",,,,,,,"...[Waagen, Schnell- und Brückenwaagen]",,,,
762,Lebeda,Anton,,,,,Beschreibung des ... neu erfundenen Kapselschloßes zu chemischen Gewehren,Gewehrschloß,Prag,1827,13.12.1827
