PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Gußstahl dergestalt belegt, geschweißt und verbunden wird, daß keine mechanische Gewalt",,,,,
"",,,,,,,,"derselben, ... zu lösen im Stande ist ...",,,,,
"",,,,,,,,"Beschreibung einer neuen Erfindung, welche im Wesentlichen in einer aus drey Theilen zusammen",,,,,
1904,Fletcher,Matthew,,,,,,,"Nagel, Schneidemaschine, Presse",Wien,,1833,02.04.1833
"",,,,,,,,"gesetzten Maschienerie zur Erzeugung aller Gattungen Nägel besteht, ...",,,,,
1905,Metz,Franz,,,,,,"Beschreibung der theils neuen Erfindung, theils Verbesserung im Steindrucke","Lithographie, Zeugdruck",Wien,,1833,06.07.1833
1906,Bauer,Christian,,,,,,"Beschreibung ... über seine ... Entdeckung ... in Hinsicht der Seidenfärberey, ...","Seide, Färben/Seide, Schwarz",Wien,,1833,26.08.1833
"",,,,,,,,"Beschreibung ... Erfindung ..., daß er aus Seide, für alle Geschäfte, welche Litzenzeuge benöthigen,",,,,,
1907,Hueller,Christian,,,,,,,"Klöppelmaschine, Kordel",Wien,,1833,07.10.1833
"",,,,,,,,"derley Litzenzeuge erzeuget, ...",,,,,
"",,,,,,,,"Descrizione della nuova invenzione che ... consiste in sostanza nel trarre a profitto la marea alta, e",,,,,
1908,Zanetti,Cesare Napoleone,,,,,,"bassa della laguna di Venezia per porre in movimento molini, od altri edificj [Ebbe und Flut","Mühle, Getriebe, Gezeitenkraftwerk",Venezia,,1833,03.09.1833
"",,,,,,,,heranziehen zur Betreibung von Mühlen oder anderen Werken],,,,,
"",,,,,,,,,"Schuhabsatz, Stiefelabsatz,",,,,
1909,Futterknecht,Johann,,Schramek,Johann,,,Beschreibung der Verbesserung in der Anfertigung der Schuhe und Stiefeln,,Wien,,1833,24.10.1833
"",,,,,,,,,"Schuhsohle, Stiefelsohle",,,,
"",,,,,,,,Beschreibung der ... Verbesserung ...: daß das im Gebirge wild wachsende Steinweichselholz auf,,,,,
1910,Biondeck,Michael,,,,,,cultivirten Acker- oder Gartengrund verpflanzt und veredelt werde ... diese ... selbst gezogenen u.,"Weichselholz, Tabakspfeife",Baden b. Wien,,1833,24.10.1833
"",,,,,,,,"cultivirten Weichselröhren zu Taback- und Rauchröhren bereitet werden, ...",,,,,
1911,Hoegner,Gottfried,,,,,,Geheime Beschreibung dieser Calutschen,"Galosche, Zuschneiden",Wien,,1833,21.12.1833
"",,,,,,,,Beschreibung der ... Verbesserung des Dochtes seiner bereits privilegierten durchsichtigen,,,,,
1912,Blangy,Ludwig Heinrich v.,,,,,,,"Wachs, Kerze, Docht, Flechtmaschine",Wien,,1833,23.12.1833
"",,,,,,,,"Wachskerzen, welchen Docht er zusammengesetzten geflochtenen Docht nennt",,,,,
1913,Danebey,Joseph,,,,,,Beschreibung der ... Erfindung einer Coffee Maschine ...,Kaffeemaschine,Wien,,1834,28.01.1834
1914,Barozzi,Sebastian Antonio,,,,,,Descrizione della nuova invenzione che ... consiste nello stampare musica ... [Notendruck],"Lithographie, Notendruck",Venezia,,1833,30.12.1833
"",,,,,,,,Beschreibung der Verfahrungsweise der ... neuen Erfindung in der schnelleren Erzeigung und,,,,,
1915,Flebus,Jakob,,,,,,,Hut,Wien,,1833,16.09.1833
"",,,,,,,,"besseren Adjustierung der Filzhüte, und dadurch deren billigere Herstellung",,,,,
1916,Romagnolo,Giuseppe,,,,,,"Neue Methode den Damen Haarkopfputz zu verfertigen, und zu frisiren",Friseur,Wien,,1834,14.06.1834
"",,,,,,,,,"Wanzenvertilgung, Schabenvertilgung,",,,,
1917,Wirag,Johann,,,,,,Genaue Beschreibung des apropirten Wassers zur Vertilgung der Schwaben und Wanzen,,Wien,,1834,24.04.1834
"",,,,,,,,,"Mottenvertilgung, Ungeziefer",,,,
"",,,,,,,,"Beschreibung der ... Entdeckung einer Verbesserung, ...: daß 1. seine Sabous /:Calloschen:/ ... im",,,,,
"",,,,,,,,"Gesch[m]ack, Wohlfeilheit und Dauerhaftigkeit weit übertreffen. 2. sind seine Sabous der eigens",,,,,
1918,Daun,Johann,,,,,,,"Galosche, Sandale",Wien,,1834,16.07.1834
"",,,,,,,,dazu genommenen passenden Holzgattung viel leichter. ... 3. die Sohlen bloß aus einem Stück ...,,,,,
"",,,,,,,,bestehen ... 4. macht er Sabous auf zehnerley Art ...,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, ...: gepreßte Metall-Geschirre und Geräthe aus allen",,,,,
"",,,,,,,,,"Metallwaren, Kochgeschirr, Geschirr,",,,,
1919,Hancke,Heinrich,,,,,,dehnbaren Metallblechen mittelst einer bisher noch nicht hierzu verwendeten Maschine,,Wien,,1834,19.08.1834
"",,,,,,,,,Presse,,,,
"",,,,,,,,[hydrauchlische Presse] auf eine viel vortheilhaftere Weise zu erzeugen,,,,,
1920,Hancke,Heinrich,,,,,,Beschreibung der Verbesserung in der Erzeugung der Plett- oder Biegeleisen,Bügeleisen,Wien,,1834,19.08.1834
1921,Soukup,Wenzel,,,,,,"Beschreibung der ... neuen Erfindung Apollo Guitarren zu erzeugen, ...",Gitarre,Wien,,1834,06.09.1834
"",,,,,,,,"Beschreibung der ... Erfindung einer ganz dem Marmor ähnlichen Massa, worauf mit Farben",,,,,
1922,Carrara,Giuffredo,,,,,,,Kunststein,Wien,,1834,05.08.1834
"",,,,,,,,"gemahlt, und über das Gemählde ein eigener Glanz angebracht wird",,,,,
