PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
1977,Demuth,,Karl,,,,,Beschreibung der tragbaren Gas-Lampen,"Lampe, Laterne",,Wien,,1835,30.10.1835
1978,Heger,,Martin,,,,,Beschreibung der ... erfundenen geruchlosen mechanischen Haus- und Wohnungs-Retiraden,"Abort, Zimmerklosett",,Wien,,1837,31.01.1837
"",,,,,,,,"Beschreibung der ... Verbeßerung, ...: Häuser und sonstige Gebäude-Dächer ganz mit Zink,",,,,,,
1979,Heger,,Martin,,,,,,"Dach, Zinkplatte",,Wien,,1837,12.01.1837
"",,,,,,,,"schiefersteinartig gelegt einzudecken, ...",,,,,,
"",,,,,,,,"Beschreibung der ... Erfindung sogenannter Immortels Flambeaux ..., daß durch einfache",,,,,,
1980,Badoux,,Joseph,,,,,,"Lampe, Hydrostatische",,Wien,,1837,18.01.1837
"",,,,,,,,Construction das aufsteigende Ohel der Flamme ihre Nahrung giebt [Text französisch],,,,,,
"",,,,,,,,Beschreibung gewisser Verbesserungen an Dampf-Maschinen und an der Maschinerie der Räder,"Dampfmaschine, Schiffsantrieb,",,,,,
1981,Greenham,,Johann,,,,,,,,Triest,,1830,26.01.1830
"",,,,,,,,für Schiffe oder für Wasser-Mühlen,Wasserrad,,,,,
"",,,,,,,,"Genaue Beschreibung ... der erfundenen Verbesserung, die Damenschuhe wasserdicht zu","Schuh, Wasserdicht(er) Seidenstoff,",,,,,
1982,Schweigert,,Wenzel,,,,,,,,Prag,,1833,29.10.1833
"",,,,,,,,verfertigen,Schuheinlage,,,,,
"",,,,,,,,Descrizione di una nuova invenzione che ... consiste in Sostanza di una Fornace a due Castre e,,,,,,
1983,Zecchini,,Giuseppe,,,,,,"Glasperle, Schmelzofen",,Venezia,,1837,30.01.1837
"",,,,,,,,quattro Tubi per la Fabbricazione delle cosi dette Margarite ... [Glasperlen-Schmelzofen],,,,,,
"",,,,,,,,"Beschreibung der Erfindung ... der UhrfederPölster, zur erzeugung der neuen Wägens aller arten,",,,,,,
"",,,,,,,,"und zum gebrauch aller arten Uhrfeder Pölsterung, und so wie hier Urkunde A zeuget, das ich","Wagen, Federung/Wagen,",,,,,
1984,Buschow,,August,,,,,,,,Wien,,1833,22.03.1833
"",,,,,,,,"auch im Stande bin Tapezierarbeit, und von diesen Uhrfedern zu Verfertigen, und zu machen, zum",Polstermöbel,,,,,
"",,,,,,,,"sitzen und zum Liegen, für den Menschlichen Körper",,,,,,
1985,Schrafft,,Jakob,,,,,Beschreibung der Verbesserung in der Faßung der doppelten Augengläser,Brille,,Wien,,1833,02.11.1833
"",,,,,,,,"Beschreibung der ... Verbesserung ... bei der Verfertigung der Pianoforte, ..., daß der",,,,,,
1986,Mueller,,Mathias,,,,,"Resonanzboden nicht wie früher auf einer eigenen Rahm, sondern auf eine mit Spreitzen","Klavier, Resonanzboden",,Wien,,1833,18.02.1833
"",,,,,,,,versehene Zarge in Verbindung mit dem Stimmstock angebracht ist ...,,,,,,
"",,,,,,,,Beschreibung der ... Erfindung ...: Durch die Erfindung eines neuen Ziment-Glüh-Apparat und durch,,,,,,
1987,Mueller,,Franz Paul,,,,,die Art zu Zimentiren die gegossenen oder geschmiedeten ... Stahlstangen zur Erzeugung des,Zementieren,,Wien,,1835,29.01.1835
"",,,,,,,,Polirten Rundstahls ... die erwünschte Weiche und Geschmeidigkeit erhalten ...,,,,,,
"",,,,,,,,Beschreibung der zu Verfertigung der von uns neue Erfindung und Verbesserung chemische,,,,,,
1988,Loewy,,Benjamin,Loewy,Moses,,,,Schuhcreme,,Wien,,1833,23.01.1833
"",,,,,,,,Oehlfettwichse,,,,,,
"",,,,,,,,"Zeichnung und Beschreibung der ... Verbesserung, ...: daß man mit einer mechanischen, einfachen",,,,,,
"",,,,,,,,"und wenig kostspieligen Vorrichtung in niederer Temperatur abdampfen, austrocknen und auch","Verdampfapparat, Trockenapparat,",,,,,
1989,Sockl,,Gottlieb,,,,,heiße Flüssigkeiten ohne Zutritt der äußeren Luft gänzlich schnell abkühlen kann ... Dabey ist eine,"Kühlapparat, Kondensator,",,Wien,,1834,09.06.1834
"",,,,,,,,ganz neue Art Condensation ... Für Zuckersiedereyen ist in dem Vacuum-Kessel ein mechanisch,Rührmaschine,,,,,
"",,,,,,,,"bewegender Rührer, ... Bey dem Dampfkessel ist eine neue Regulierung ...",,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung im Baue der Schiffe überhaupt, und der Dampfschiffe",,,,,,
1990,Andrews,,John,,,,,,Schiffbau,,Wien,,1834,08.11.1834
"",,,,,,,,"insbesondere, ...",,,,,,
"",,,,,,,,Beschreibung meiner neu erfundenen Verbesserung und Umgestaltung der bisher sowohl beim,,,,,,
"",,,,,,,,"civile, als auch insbesondere bei der Armee üblichen Feuerschloßgewehre, wobei die bisher",,,,,,
1991,Zeiller,,Joseph,,,,,,Gewehrschloß,,Wien,,1834,28.04.1834
"",,,,,,,,"gewöhnlichen Kapseln, mittels einer höchst einfachen Bewegung des am Schlosse befindlichen",,,,,,
"",,,,,,,,"Kapselmagazins mit unglaublicher Schnelligkeit ... von selbst, ... angesteckt werden",,,,,,
1992,Kriehuber,,Mathias,,,,,Beschreibung der ... gemachten Verbesserung im Kleiderschnitte,"Schneiderei, Kleidung, Zuschneiden",,Wien,,1834,10.10.1834
