PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,"Ueberziehung mit sehr geringem Feuer, selben in hochst gereinigten Zustand von 35 bis 38 Grad",,,,,
"",,,,,,,"herzustellen, ...",,,,,
"",,,,,,,"Beschreibung der Verbesserung, welche darin besteht, daß selbe mit großerem Vortheil",,,,,
"",,,,,,,"niedergradigen Brandwein, ohne allen Fusel Geschmak, aus einem nicht ganz reinen erzeugen,",,,,,
186,Strnadt,Fanni,Strnadt,Vinzenz,,,,"Branntwein, Likör, Destillierapparat",Wien,,1823,14.08.1823
"",,,,,,,"und Liqueure, sowie auch alle geistigen Produkte aus vegetabilischen u. aromatischen Substanzen",,,,,
"",,,,,,,erzeugt werden können,,,,,
"",,,,,,,Verfahrungsart wie Gefertigter den Stoff von den gelben Rüben zu verfertigung des Brandweins,,,,,
187,Tauber,Moses Wolf,,,,,,"Branntwein, Rosoglio, Essig, Rübe",Wien,,1825,10.07.1825
"",,,,,,,Rosolio und Essigs zu verwenden gedenkt,,,,,
188,Rauch,Franz,,,,,"Beschreibung über die ... gemachte Verbesserung der Rasiermesser, ...",Rasiermesser,Wien,,1821,12.08.1821
"",,,,,,,"Beschreibung einer neuen Erfindung ..., welche ... darin besteht, daß er alle Arten Männer und",,,,,
"",,,,,,,Frauenhüte aus Seidenfelper mit Gerippe aus spanischem Rohr allein oder mit Fischbein,,,,,
189,Gutseel,Lorenz,,,,,,Hut,Wien,,1823,01.05.1823
"",,,,,,,"untermischt geplochten oder gewebt, verfertigen, welche wegen ihrer Leichtigkeit, Elastizität und",,,,,
"",,,,,,,"Dauer, die bisherigen übertreffen",,,,,
"",,,,,,,"... Erfindung, welche ... darin besteht, daß er alle Gattungen Leinwand und Baumwolle mit solchen",,,,,
190,Spitzer,Mayer,,,,,"Wässern zurichten im Stande sey, ... durch die neu erfundene Zurichtung aber wird sie nicht nur","Leinwand, Baumwolle, Stärken",Wien,,1824,05.04.1824
"",,,,,,,"gestärkt, sondern auch schöner und besser in der Qualität, ...",,,,,
