PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
275,,Giuseppe,,,Achille,,,Invenzione della fabbricazione della Canapa di Lisca o parte lignoso della Canapa e Lino,"Hanf, Flachs, Papier",Milano,,1825,12.05.1825
"",LaRoche,,,LaRoche,,,,,,,,,
"",,,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht: eiserne und messingene",,,,,
277,Hager,Ernst,,,,,,,Fingerhut,Wien,,1826,24.08.1826
"",,,,,,,,"Männerfingerhüte mit Composition ausgefüttert zu verfertigen, ...",,,,,
278,Weiss,Giacomo,,,,,,"Descrizione del migliarmento, che ... consiste in nova fabbricazione delle candelle di Cera, ...","Kerze, Wachs",Verona,,1825,01.12.1825
"",,,,,,,,Beschreibung der neuen gemachten Erfindung aus gewendlichen Mehl ... mittelst einen neu,,,,,
"",,,,,,,,Erfundenen Backofen in wesentlichen eine Besondere Vortheilhafte Heitzung und Dampfrohr,,,,,
279,Zeitelberger,Mathias,,Sterck,Anton,,,,Backofen,Wien,,1826,15.03.1826
"",,,,,,,,"angebracht ist, daß mit ein Feuer zwey Backöfen, und die davonströmende Rauchhitz, ... das",,,,,
"",,,,,,,,"Wasser was wir zur Bäckerey ... benöthigen hinlänglich hitzet, ...",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, Figuren jeder Größe aus Pappe, /: Pappendekel:/ plastisch zu",,,,,
280,Fabrice,Karl v.,,,,,,,"Papiermachè, Pappe, Modellieren",Kottingbrunn,,1823,03.04.1823
"",,,,,,,,verfertigen,,,,,
"",,,,,,,,"Beschreibung der ... erfundenen sogenannten Kraft-Vermehrer, welche zur Betreybung, sowohl",,,,,
281,Stibolt,Kaspar Heinrich v.,,,,,,"von Schiffe-Strohm Aufwerts, als verschiedene andere Mechanische Werke, sich vorzüglich guth",Getriebe,Esseg,,1823,18.07.1823
"",,,,,,,,"eigenet, ...",,,,,
"",,,,,,,,"Beschreibung beygelegter Zeichnung von der ... erfundenen Preß-Maschine, welche sich",,,,,
"",,,,,,,,"vorzüglich guth für Ohel-Preßen eignet, sowohl als auch mehrere andere Preßwerke, bey welche",,,,,
282,Stibolt,Kaspar Heinrich v.,,,,,,,Presse,Esseg,,1824,08.06.1824
"",,,,,,,,"einen auserordentlich starken Druck erforderlich ist, welcher durch diese Maschine auf eine",,,,,
"",,,,,,,,"einfach, wenig kostspielige, und wenig Platz erforderliche Art erreicht wird",,,,,
283,Seitle,Alois,,,,,,Genaue Beschreibung der neuen Erfindung die Schafwollwäsche betreffend,Wollwäsche,Wien,,1821,20.11.1821
"",,,,,,,,Beschreibung der ... Verbesserung seiner Erfindung die Schafwolle nach der Schnur in ganzen,,,,,
284,Seitle,Alois,,,,,,,Wollwäsche,Wien,,1822,26.12.1822
"",,,,,,,,"Vließen zu waschen, ...",,,,,
285,Kubitschek,Wenzel,,Loos,Karl,,,Beschreibung der ... neu erfundenen Tabak Wappel Druckmaschine,"Druckmaschine, Zigarettenpapier",Wien,,1821,02.04.1821
"",,,,,,,,"Beschreibung der ... neuen Verbesserung, welche ... darin besteht: In einem neuen Abkhülungs",,,,,
286,Strnadt,Vinzenz,,,,,,,Destillierapparat,Wien,,1825,12.03.1825
"",,,,,,,,"Apparat, ...",,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, aus Waizen und Gerstenmalz ein Weises",,,,,
287,Spaeth,Gotthold,,Streitz,Friedrich,,,,"Broyhan, Bier",Wien,,1825,14.07.1825
"",,,,,,,,"lieblich Moussirendes Gedränk zu verfertigen mit Nahmen Broihan, ...",,,,,
"",,,,,,,,"Beschreibung des vorstehenden Brantwein, Rosoglio, Luqueure, und Essig-Dampf-Destillier-",,,,,
288,Lewin,Albert,,Trebitsch,Moses,,,,"Branntwein, Destillierapparat",Wien,,1824,06.12.1824
"",,,,,,,,Apparates,,,,,
"",,,,,,,,"Beschreibung der ... Erfindungen und einer Verbesserung, welche ... darin besteht: A) In einem",,,,,
"",,,,,,,,"Brandtwein-Apparate ... B) In einer ... Vorrichtung an den gewöhnlichen Brennkesseln, mittelst","Destillierapparat, Branntwein,",,,,
289,Hirnschall,Leopold Florimund,,,,,,,,Wien,,1823,11.11.1823
"",,,,,,,,welcher jeder gemeine Korn oder Erdäpfel Brandtwein ... in Franzbrandtwein veredelt werden,"Franzbranntwein, Likör",,,,
"",,,,,,,,"kann ... C) In einer ... Erfindung, ... lieblich schmäckender ... Getränke, ...",,,,,
"",,,,,,,,Beschreibung der Beheizungsart der Oefen zur Erzeugung und Verarbeitung aller Getränke und,,,,,
290,Guertler,Mayer,,Schramek,Johann,,,,"Ofen, Feuerung",Wien,,1825,10.03.1825
"",,,,,,,,"flüssigen Materien, als auch zum Sied- und Breyereywesen",,,,,
