PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"... System, was ich es an Maschin-Locomotive anwende, ..., daß man mit Leichtigkeit jede Grad","Lokomotive, Dampfmaschine,",,,,
5576,Regnier,I.Franz,,,,,,,,"Fuleck, Mähren",,1841,09.09.1841
"",,,,,,,,von Expansion hervorbringen kann,Steuerung,,,,
5577,Greenham,Isaco Grant,,,,,,Descrizione ... delle nuove scoperte nell'arte della Saponificazione ... [Seifenerzeugung],Seife,Trieste,,1841,13.09.1841
"",,,,,,,,Beschreibung gewisser Verbesserungen an Oel- und Gaslampen aller Art und gewisser Formen,,,,,
5578,Davy,Henry Savill,,,,,,,"Lampe, Brenner",Wien,,1846,23.07.1846
"",,,,,,,,von Deflektoren /:Luftzug-Abwender:/,,,,,
5579,Berizzi,Giovanni Battista,,,,,,Disegno e descrizione d'un nuovo Apparato meccanico per la filatura de bozzoli ...,"Seidenkokon, Seidenhaspel",Bergamo,,1846,05.08.1846
"",,,,,,,,"Beschreibung der Erfindung ... in Verbesserungen in der Anwendung athmosphärischer Triebkraft,","Druckluftbahn, Rohrleitung,",,,,
5580,Dixon,Abraham,,,,,,und in der Verfertigung von Röhren sowohl für athmosphärische Eisenbahnen als auch zu anderen,"Rohrverbindung, Rohrwalzwerk,",Wien,,1846,08.05.1846
"",,,,,,,,Zwecken,Blechbiegemaschine,,,,
"",Berchem-,,,,,,,"Beschreibung der galvanoplastischen Verkupferung des Eisendrahtes, um selben vor Rost zu",,,,,
5581,,Kajetan Graf.v.,,,,,,,"Eisendraht, Galvanisieren, Verkupfern",Kuttenplan,,1847,10.09.1847
"",Haimhausen,,,,,,,bewahren und ihm größere Federkraft zu verleihen,,,,,
"",,,Schaar -,,,,,,,,,,
5582,Rosenlechner,Franz Seraph,,Karl,,Steiner,Joseph,Beschreibung ... auf die Erfindung und resp. umfassende Verbesserung des Maschinenpapiers ...,Knotenfänger,München,,1847,30.10.1847
"",,,Schmidt,,,,,,,,,,
"",,,,,,,,,"Halskette/Elektrotherapeutische,",,,,
5583,Kloepfer,J.D.,,,,,,Beschreibung der galvano-magnetischen Rheumatismusketten ...,,Wien,,1849,22.08.1849
"",,,,,,,,,Elektrotherapie,,,,
5584,Weber,Robert,,,,,,Beschreibung meiner erfundenen Wäscherolle ...,Wäscherolle,Wien,,1850,03.09.1850
"",,,,,,,,"Beschreibung der Erfindung von Armbändern, welche den Vortheil biethen, daß selbe jede Dame",,,,,
5585,Ortner,Karl,,,,,,,"Armband, Halsband",Wien,,1850,28.07.1850
"",,,,,,,,ohne Mühe in Halsgehänge umwandeln kann ...,,,,,
5586,Hofmann,C.L.,,,,,,Beschreibung der Entdeckung und Verbesserung eines Lampen-Oels aus mineralischen Stoffen ...,"Steinkohle, Teer, Oel",Wien,,1849,08.08.1849
5587,Palkh,Joseph,,,,,,Beschreibung der Fabrikation von Goldreichen Säbelkupeln ...,"Säbel, Koppel",Wien,,1850,12.02.1850
"",,Johann Friedrich,,,,,,,,,,,
5588,Gaertner,,,,,,,Beschreibung des ... neu erfundenen Dextrin Gummi ...,Dextrin,Prag,,1845,18.02.1845
"",,jun.,,,,,,,,,,,
5589,Binder,Gaetano,Pizzighelli,G,,,,Beschreibung der Erfindung auf Czako und Stulphüte,"Tschako, Hut, Steifung",Wien,,1851,29.03.1851
"",,,,,,,,Genaue Beschreibung meiner Erfindung bestehend in einer eigenen Kitt zu den Messern und,,,,,
5590,Ziettler,Joseph,,,,,,,"Eßbesteck, Kitt",Wien,,1850,29.08.1850
"",,,,,,,,Gabeln,,,,,
"",,,,,,,,"... Mittel, durch welche man bei die zu versendenden oder lagernden Gegenstände von außen",,,,,
"",,,,,,,,"gleich erkennt, ob solche während des Transportes naß geworden sind, wenn solche auch trocken","Cyankali, Eisenvitriol, Fernambukholz,",,,,
5591,Pollak,A.M.,,,,,,,,Wien,,1851,03.06.1851
"",,,,,,,,"ankommen und man daher die Kisten, Fässer, Ballen && nicht erst zu öffnen braucht, ob soche",Hygroskopische Mittel,,,,
"",,,,,,,,durch Nässe gelitten haben,,,,,
5592,Wergifosse,Nikolaus,,,,,,Beschreibung einer Maschine zum Strick Weben ...,Wirkmaschine,Aachen,,1845,04.08.1845
5593,Davy,Henry Savill,,,,,,Beschreibung gewisser Verbesserungen an electro-magnetischen [Zeiger-] Telegraphen,Telegraph,Wien,,1846,31.08.1846
5594,Faccioli,Francesco,,,,,,Relazione sui migliormaneti praticati ... all'aratro americano ... [Amerikanischer Pflug],Pflug,Ostiglia,,1846,22.08.1846
"",,,,,,,,,,"Munderfing,",,,
"",,,,,,,,Beschreibung der Gußstahl-Erzeugung nach jeden beliebigen Härtegrad und der Sensen-,,,,,
5595,Pammer,Johann Georg,,,,,,,"Tiegelgußstahl, Sense",Kreis,,1846,11.01.1846
"",,,,,,,,Erzeugung aus Gußstahl mittelst Braun- u. Steinkohlen,,,,,
"",,,,,,,,,,Mattinghofen,,,
"",,,,,,,,"Erläuterung um den Gärbe- und färbestoff aus den Pflanzen und ihren Theilen, auf eine","Birke, Eiche, Weide, Auslaugen,",,,,
5596,Hoering,Mathias,,,,,,,,Budweis,,1847,01.07.1847
"",,,,,,,,vortheilhaftere Art und Weise auszuziehen und darzustellen,"Verdampfen, Gerbsäure, Farbe",,,,
"",,,,,,,,"Specification einer neuen Erfindung, bestehend in Glasirung des Eisens, um es zu conserviren und",,,,,
5597,Paris,Charles Emile,,,,,,,"Kochgeschirr, Email",Wien,,1849,03.08.1849
"",,,,,,,,vor der Oxydation zu schützen,,,,,
