PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung der verbesserten Spuhlmaschine zur Erzeugung des Vorgespinnstes bei,,,,
1366,Kuehne,,Tetzner,,,,,Spulmaschine,Rotenhaus,1829,14.10.1829
"",,,,,,,Spinnfabriken,,,,
1367,Czerny,Johann Niklas,,,,,Beschreibung der ... Erfindung der Brandweinapparate mit Bezug auch auf die Bierbrauerei ...,"Destillierapparat, Brauapparat",Prag,1833,29.11.1833
"",,Wolfgang Julius,,,,,"Beschreibung der ... Erfindung auf Steingut-bisuit unter der Glasur, Kupfer- und Steinstiche in",,,,
1368,Schoenau,,,,,,,"Tonwaren, Abziehbild, Dessin",Prag,1828,20.11.1828
"",,Frh.v.,,,,,verschiedenen Farben abzuziehen,,,,
"",,,,,,,Beschreibung der ... Erfindung der unterm 10.May d.J. privilegirte Zubereitung der Schafwolle und,,,,
1369,Rotter,Johann,,,,,,"Garn, Dekatiermaschine, Wollwäsche",Wien,1830,10.06.1830
"",,,,,,,Schafwollgespinste auch auf ungezwirnte und gezwirnte Baumwolle und Leinengarn anzuwenden,,,,
"",,,,,,,"Beschreibung der ... Erfindung einer neuen Zubereitung eines Wollen-Kettengarns, welches ohne",,,,
"",,,,,,,"geleimt zu werden, die erforderliche Stärke und Haltbarkeit hat, und demnach zu Schawls,",,,,
1370,Rotter,Johann,,,,,,"Garn, Seidengespinst, Wollwäsche",Wien,1830,17.09.1830
"",,,,,,,Merinos und allen feinen Wollenstoffen verwendet werden kann; dann eine neue,,,,
"",,,,,,,Zubereitungsmethode der Seidengespinnste ...,,,,
"",,,,,,,Beschreibung mehrerer Verbesserungen ... auf die Zubereitung eines sehr festen als Kettengarn zu,,,,
1371,Rotter,Johann,,,,,"vielen Wollstoffen anwendbaren Wollpowers, und auf eine neue Methode der Zubereitung der","Garn, Seidengespinst, Wollwäsche",Wien,1831,15.02.1831
"",,,,,,,Seidengespinste ...,,,,
"",,,,,,,"Descrizione del nuovo miglioramento ... che consiste ... nella diversa forma del pettine, suoi",,,,
1372,Venini,Carlo,,,,,,Kamm,Wien,1833,25.05.1833
"",,,,,,,brazzetti pel lavoro de fiorchie di filogello d'ogni sorta [Kamm],,,,
1373,Pilz,Friedrich Anton,,,,,Beschreibung die gelben ostindischen Nankings zu färben,"Baumwollstoff, Färben",Prag,1831,13.04.1831
"",,,,,,,"Beschreibung der ... Kleider-Preß-Maschine, um damit jede Art von Kleidungsstücken von",,,,
"",,,,,,,"Schafwollstoffen, im unzertrennten Zustande (:also im Ganzen:) so zu apretiren und herzustellen,",,,,
1374,Poetscher,Joseph,,,,,,Appreturmaschine,Wien,1833,19.02.1833
"",,,,,,,damit dieselben ohne Nachtheil der Stoffe im zugerichteten Zustande eine ganz neue Art Appretur,,,,
"",,,,,,,und das Ansehen der Neuheit erhalten,,,,
