PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
5770,Fischer,Joseph,,,,,Bereitungsart der Quintessence d'eau de Cologne ambré musque,Parfüm,,Wien,1850,02.07.1850
"",,,,,,,... Privilegiumsbeschreibung auf die Erfindung einer neuen Haarpomade - gefrorne Florida -,,,,,
5771,Fischer,Joseph,,,,,,Haaröl,,Wien,1851,15.07.1851
"",,,,,,,"Pomade genannt, ...",,,,,
"",,,,,,,Beschreibung der Erfindung und Verbesserung zur Construction und Erzeugung von,,,,,
5772,Knepler,Moritz,,,,,"Rauchverlängerungs-Pfeifenröhre, und Verbesserung der bereits patentirten","Tabakspfeife,, Zigarrenspitze",,Wien,1851,10.04.1851
"",,,,,,,Rauchverlängerungszigarrenröhre ...,,,,,
5773,Kopezky,Anton,,,,,Electro-magnetische Kraftmaschine,Elektromotor,,Wien,1851,13.05.1851
"",,,,,,,Verbesserung bey der Buchdrucker Schnellpresse um dieselbe auch zum Steindruck verwenden zu,,,,,
5774,Rordorf,Gustav,,,,,,"Lithographie, Schnelldruckpresse",,Wien,1851,27.01.1851
"",,,,,,,können,,,,,
"",,,,,,,Beschreibung der Zurichtung des von mir erfundenen Tintenpapieres nebst einer verbesserten,,,,,
5775,Piccardt,Peter,,,,,,"Tintenpapier, Pauspapier",,Prag,1851,08.07.1851
"",,,,,,,"Vorrichtung zum Copiren von Briefen, Zeichnungen, Rechnungen, Plänen, Raporten &&",,,,,
"",,,,,,,... Zeichnung einer ... neu erfundenen und selbst construirten Maschine zum Falzen von Zeitungen,,,,,
5776,Ravene,Louis,,,,,,Falzmaschine/Papier,,Berlin,1850,09.12.1850
"",,,,,,,und Drucksachen ...,,,,,
"",Leblanc -,,,Jacob Franz,,,"Beschreibung der ... Erfindung und Verbesserung, welche ... in einem neuen System von Eisenbahn",,,,,
5777,,Ludwig Alfred,Hemberger,,,,,"Druckluftbahn, Wasserturbine",,Wien,1847,19.06.1847
"",Chateauvillard,,,Heinrich,,,"mit Comprimirter Luft ... besteht, ...",,,,,
"",,,,,,,Descrizione della scoperta che ... consiste in sostanza di Cotone-semiserico che si estrae dalla,"Maulbeerbaum, Spinnfaser,",,,,
5778,Bianchi,Giuseppe,,,,,,,,Milano,1837,18.08.1837
"",,,,,,,carteccia dei rami dei Gelsi col modo sequente [Halbbaumwolle aus Maulbeerbaumästen],Halbwollstoff,,,,
5779,Schwarz,Wenzel,,,,,Angabe zu der von mir bereittenden Pomade ...,Haaröl,,Wien,1841,07.07.1841
"",,,,,,,"Beschreibung der ... Verbesserung, ... daß alle Gattungen von Eisen- und Messing-Drahtgittern ...",,,,,
5780,Artner,Joseph,,,,,,"Drahtgewebe, Sieb, Webstuhl",,Wr. Neustadt,1847,04.08.1847
"",,,,,,,hergestellt werden,,,,,
"",,,,,,,Disegni e descrizione della nuova invenzione ... consistente in un Telajo ... medante il quale si,,,,,
5781,Vercel,Charles,,,,,,"Seidenweberei, Webstuhl",,Milano,1847,19.06.1847
"",,,,,,,fussano fabbricare due pezze di Felpa alla volta [Seidenfelbel - Webstuhl],,,,,
"",,,,,,,,,,Valbrona a,,
5782,Vicini,Giuseppe,,,,,Descrizione della macchina Idraulica ... [Turbine],Wasserturbine,,,1847,25.05.1847
"",,,,,,,,,,Como,,
5783,Alberti,Pietro,,,,,"Nuovo metodo di coltivazione per tutte le piante arboree, ... [Baumkulturen]","Baukultur, Gärtnerei",,Lodi,1847,30.06.1847
"",,,,,,,Descrizione della nuova invenzione che consiste in sostanze in una scopa meccanica applicata alla,,,,,
5784,Gavazzi,Antonio,Gavazzi,Pietro,Gavazzi,Egidio,,"Seidenkokon, Seidenhaspel, Bürste",,Milano,1847,01.02.1847
"",,,,,,,filatura della seta,,,,,
"",,,,,,,Descrizione della nuova invenzione e miglioramento che ... consistono in sostanza in,,,,,
5785,Scheibler,Emilio,,,,,,Seidenraupe,,Milano,1847,16.07.1847
"",,,,,,,un'Apparecchio per far morire i Bozzoli ... [Töten der Seidenraupen],,,,,
5786,Hallmann,Ferdinand,,,,,"... Die Verfahrungsweise, das Wurstfleisch zu verkleinern als eine neue Erfindung, ...","Fleischwolf, Wurstmaschine",,Wien,1850,01.06.1850
5787,Heller,Karl,,,,,Beschreibung der neu erfundenen Rübenauspress-Maschine,"Zuckerrübenpresse, Walzenpresse",,Wien,1850,11.06.1850
"",,,,,,,Beschreibung ... der neuen Erfindung ... der Erzeugung einer neuen Art von flammirten Streichgarn,,,,,
5788,Strakosch,Salomon,,,,,,"Streichgarn, Flammierung",,Brünn,1850,01.05.1850
"",,,,,,,...,,,,,
5789,Schlee,Ferdinand,,,,,Beschreibung der Verbesserung eines Schlosses samt dazu gehörigen Schlüssels,"Schloß, Vorhängeschloß, Schlüssel",,Wien,1850,26.08.1850
5790,Leguerney,Eduard,Pauwels,Antoine,,,"Beschreibung des Apparates genannt ""Gas Compensator""",Gasregulator,,Graz,1850,23.07.1850
5791,Kroetzer,Johann,,,,,Beschreibung des Geheimnisses auf Verbesserung von Maschinen- und Achsenschmieren,Schmiermittel,,Wien,1850,14.08.1850
"",,,,,,,"Beschreibung und Zeichnungen einer neuen Erfindung eines Dampffahrzeuges, womit Flüsse und",,,,,
5792,Stummer,Alois,,,,,,"Platte, Flußschiffahrt",,Wien,1851,15.04.1851
"",,,,,,,Ströme abfahren werden können,,,,,
"",,,,,,,... Erfindung eines eigens construirten Ofens mittelst chemischer Präparate ohne Feuer sehr billig,,,,,
5793,Fischer,Franz,,,,,,"Kalklöschen, Heißwasser, Ofen",,Kapfenberg,1851,08.07.1851
"",,,,,,,mehrere Stunden zu heizen,,,,,
