PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Beschreibung des Verfahrens bei der Zubereitung der Roßhaare, wodurch sie eine größere",,,,,
2067,Weiseles,,Simon,,,,,,"Roßhaar, Waschmittel",Prag,,1833,21.01.1833
"",,,,,,,,"Festigkeit und Elasticität erhalten, und dem Ungeziefer unzugänglich werden",,,,,
"",Romer - Kis-,,,,,,,,,,,,
2068,,,Stephan Edl.v.,,,,,"... St. Romer ́sche Hydrogen-Zündmaschine einfacher, dauerhafter und bequemer zu machen...",Zündmaschine,Wien,,1836,06.04.1836
"",Enyitzke,,,,,,,,,,,,
"",,,,,,,,Beschreibung der ... Verbesserung der Auslösser bey der Klavitur im einzelnen oder zusammen,,,,,
2069,Amberg,,Anton,,,,,"nach Bedürfniß mittelst einer Schraube höher oder tiefer zu stellen, wodurch das Auslassen, wie",Klavier,Wien,,1837,03.05.1837
"",,,,,,,,"auch übertragen der Hämmer gänzlich besetigt und ein weit reinerer Ton bezweckt wird, ...",,,,,
"",,,,,,,,Beschreibung der Bereitung von verschiedenfärbigen Harzen zum Behufe der hermetischen,,,,,
2070,Wurtzinger,,Anton,,,,,,"Harz, Färben/Harz, Flaschenverschluß",Wien,,1836,10.12.1836
"",,,,,,,,Verschließung von Bouteillen,,,,,
2071,Rolle,,Friedrich,Schwilgue,Johann,,,Tragbare oder Butten-Feuerspritze,"Feuerspritze, Spritzbutte",Wien,,1835,17.12.1835
"",,,,,,,,"Beschreibung eines neuen Apparates, um in den Salzsiedereyen die Pfannen zu ersetzen; welcher","Salzpfanne, Kochsalz,",,,,
2072,Girard,,Philipp Heinrich v.,,,,,,,Wien,,1825,10.10.1825
"",,,,,,,,auch zur Verkochung anderer Salz-Arten mit Vortheil gebraucht werden kann,Verdampfapparat,,,,
"",,,,,,,,"Beschreibung gewisser, bei den Vorrichtungen zur Beleuchtung durch Gas oder durch andere was",,,,,
2073,Chaussenot,,Heinrich Bernard,,,,,"immer für gasartige Körper oder zur Erzeugung von Licht geeignete Flüssigkeiten, gemachten","Leuchtgas, Gasbeleuchtung",Wien,,1835,05.10.1835
"",,,,,,,,"Verbesserungen, ...",,,,,
"",,,,,,,,Descrizione della nuova Invenzione che ... consiste in un nuovo metodo per la fabbricazione di,,,,,
2074,Cocchiatelli,,Domenico,,,,,,"Seife, Rührwerk, Verseifungsapparat",Milano,,1834,06.10.1834
"",,,,,,,,Saponi a freddo secondo le dichiesto dello ... Patente ... del 31.12.1832 [Seife auf kaltem Wege],,,,,
2075,Koscheluch,,Adalbert,,,,,Beschreibung einer neu erfundenen Maschine Mehl zu mahlen ...,"Mühle, Getriebe",Sign,,1833,01.04.1833
"",,,,,,,,Beschreibung der von der österreichischen Gesellschaft zur Beleuchtung mit Gas angeblich,"Oelgas, Gasbeleuchtung, Trockene",,,,
2076,Tschoffer,,Moritz v.,,,,,,,Wien,,1836,26.09.1836
"",,,,,,,,"gemachten neuen Verbesserung ""in Erzeugung des Oehlgases"", ...",Destillation,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ..., daß Spielkarten mittelst Xylographien durch Farbendruck",,,,,
"",,,,,,,,"erzeugt werden, welche eine besondere Schärfe und Reinheit in ihren Farben, und durch eine","Farbendruck, Spielkarte, Appretur,",,,,
2077,Gebhard,,Johann Paul,,,,,,,Wien,,1836,14.07.1836
"",,,,,,,,besonders vortheilhaft angewendete Apretur ein ausnehmend schönes und elegantes Ansehen,Holzschnitt,,,,
"",,,,,,,,"erhalten, ...",,,,,
2078,Badstueber,,Nikolaus,,,,,Beschreibung uiber eine verbesserte Bauart hözerner Jochbrükken mit Traggebälke,"Joch, Brücke, Holzbau",Krumau,,1833,26.05.1833
"",,,,,,,,"Federn Perüken; das sogenannte Gestelle oder Gerippe ist von Stahlfedern, sogenannten",,,,,
2079,Romagnolo,,Joseph,,,,,,"Stahlfeder, Perücke",Wien,,1833,01.10.1833
"",,,,,,,,Uhrfedern zusammengestellt bestehend; ...,,,,,
