PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
18,Klein,Ignaz,,,,,Die Bestandtheile und die Verfertigung dieser Fleck- und Frauenzimmer-Putzseife,"Seife, Fleckputzmittel",,Innsbruck,,1821,24.09.1821
"",,,,,,,"Beschreibung des aus vierundzwanzig Gängen ... auf einen ganz neu verbesserten Mühlstuhl,",,,,,,
19,Tumfort,Franz,,,,,,Bandstuhl,,Wien,,1821,08.12.1821
"",,,,,,,welcher Stuhl ... jedoch von einer Person betrieben werden kann,,,,,,
"",,,,,,,"... neuen Erfindung, welche ... darin besteht, daß mittels einer neu erfundenen Ladehebemaschine",,,,,,
"",,,,,,,,"Bandstuhl, Ladehebemaschine,",,,,,
20,Waldhoer,Karl,,,,,in Verbindung mit der Steiglade auf Seidenbandschübstühlen alle Gattungen Seiden-Mode-Bänder,,,Wien,,1822,
"",,,,,,,,Seidenband,,,,,
"",,,,,,,erzeugt werden,,,,,,
"",,,,,,,"... Erfindung, daß er alle gebrannten Wässer sowohl mit Zukker versüßen als solche mit",,,,,,
21,Felix,Gregor,,,,,,"Branntwein, Likör",,Wien,,1822,28.08.1822
"",,,,,,,aromatischen Gerüchen ... verfertigen könne,,,,,,
"",,,,,,,Beschreibung über drei Stück sogenannte Fältelzangen nebst eine zum Faltellegen benötigende,,,,,,
22,Grumüller,Franz,,,,,,Plissiermaschine,,Wien,,1822,
"",,,,,,,Rolle,,,,,,
23,Strnadt,Vinzenz,,,,,Apparat zur Branntweinerzeugung,Branntwein,,Wien,,1822,
24,Cavallar,Bernhard Anton,,,,,Die neue Entdeckung dieses Kaffees von genießbaren Kastanien,"Kaffee, Kastanie/Kaffee",,Mödling,,1822,30.10.1822
25,Steiner,Ernest Franz,,,,,Beschreibung des schwarzen Tusches,"Tusch, Papierabfälle, Leinenabfälle",,Wien,,1822,18.12.1822
26,Besetzny,Franz,,,,,Guitarrenbau und Stimmschraubenverbesserung,"Gitarre, Stimmschraube/Gitarre",,Wien,,1823,02.01.1823
27,Neuman,Georg,,,,,Beschreibung der ... von Georg Neuman & Comp. erfundenen Wäsche-Falten-Maschine,"Wäscherolle, Bügelmaschine",,Wien,,1822,
28,Besozzi,Ludwig,,,,,Beschreibung ... über die Einfertigung des von mir erfundenen Metal-Uhrschlüssel,Uhrschlüssel,,Wien,,1823,23.04.1823
"",,,,,,,"Beschreibung der ... Erfindung, welche ... in der Verfertigung neuer Vorrichtungen zur Markierung",,,,,,
29,Neuman,Georg,,,,,,"Spiel, Spielmarke",,Wien,,1823,
"",,,,,,,des Gewinnes und Verlustes bei jeder Gattung von Spielen besteht,,,,,,
30,Rosa,Luigi,Sonzogni & Co,,,,Della nuova bilancia a ponte a cinque leve ad un sol punto,"Brückenwaage, Waage",,Milano,,1816,
31,Girzik,Peter Anton,,,,,"Methode, wie ich meine Hüte und Czako ungeleimt und wasserdicht verfertige","Hut, Tschako",,Wien,,1816,20.02.1816
"",,,,,,,"Beschreibung ... neuen Methode, auf Dachrinnen, Auslaufröhren, Dachsäume und auch alle",,,,,,
"",,,,,,,,"Blechbiegemaschine,",,,,,
32,Demuth,Karl,,,,,"Bauarbeiten von Blei, Kupfer, Zink, Weiß- und Schwarzblech, oder sonstige Metall mittelst",,,Wien,,1823,01.03.1823
"",,,,,,,,"Firniß/Rostschutz, Rostschutz/Firniß",,,,,
"",,,,,,,Maschinen zu verfertigen,,,,,,
33,Eder,Michael,,,,,"Beschreibung der ... Erfindung welche ... darin besteht, daß er elastische Räder erzeuge",Wagenrad,,Wien,,1822,10.07.1822
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß mittelst einer Sämaschine ... nicht nur",,,,,,
34,Pach,Alois,,,,,"die Hauptkörnerarten ..., sondern auch andere Sämereyen ... ausgesäet werden können, endlich,",Sämaschine,,Wien,,1824,06.01.1824
"",,,,,,,"daß die Anwendung der Maschine auch Ersparung an Samenkorn, Zeit und Arbeit gewährt",,,,,,
