PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
1554,Hoegn,Joseph,,,,,Erklärung und nähere Detailierung der Räderschuhe ...,Rollschuh,,Wien,,1833,09.05.1833
"",,,,,,,"Beschreibung ... Erfindung in Erzeugung Wasserdichter Schuh und Stiefeln von leinen Zeuge, Leder","Schuhe, Stiefel, Leder, wasserdichtes,",,,,,
1555,Boest,Joachim Erdmann,,,,,,,,Wien,,1833,10.06.1833
"",,,,,,,"..., wie auch alle sonstigen Gegenstände nach Wunsch wasserdicht zu machen, ...",Imprägnierung/Leder,,,,,
"",,,,,,,"... zeiget ... an, eine neue Erfindung gemacht zu haben, welche ... darin besteht, daß er lederne",,,,,,
"",,,,,,,"Degen-, Säbel- und alle Gattungen von Waffenscheiden mit einer unsichtbaren Naht verfertiget,",,,,,,
1556,Leutmetzer,Joseph,,,,,,"Degenscheide, Säbelscheide",,Wien,,1833,12.07.1833
"",,,,,,,"..., daß das Wasser ganz einfluslos auf die in der Scheide steckende Waffe ist, ... auch wird ... das ...",,,,,,
"",,,,,,,Abwetzen der Beinkleider ... verhindert,,,,,,
1557,Adam,Johann Baptist,,,,,Beschreibung der elastischen Bett-Madrazzen,"Matratze, Betteinsatz",,Wien,,1833,27.07.1833
1558,Riedl,Wenzel,,,,,Beschreibung des verbesserten Instrumentes Baßbombardon genannt,Bombardon,,Wien,,1833,10.08.1833
"",,,,,,,"Beschreibung der ... Erfindung, ..., eine neue Gattung Spielkarten unter der Benennung Wiener",,,,,,
1559,Uffenheimer,Johann Gabriel,,,,,,Kartenspiel,,Wien,,1833,02.09.1833
"",,,,,,,"Komet Karten zu erzeugen, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., mittelst einer Vorrichtung an den Kochgefäßen/Töpfen oder",,,,,,
1560,Pokorny,Michael,,,,,"Hefen/ aus Metall, Tonerde etc. alles Ueberlaufen und Anbrennen oder Anlegen der Flüssigkeiten","Kochgeschirr, Ueberlaufrohr",,Wien,,1833,03.05.1833
"",,,,,,,zu verhindern,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., mittels eines angebrachten Mechanismus Decken und",,,,,,
1561,Stefsky,Joseph,,,,,"Kotzen zu erzeugen von Schaf und Baumwolle, welche durch ihre Farben-Schattirungen und","Decke, Jacquardmaschine, Dessin",,Krems,,1833,08.10.1833
"",,,,,,,Desseins die bereits bestehenden an Ansehen und Güte übertreffen,,,,,,
"",,,,,,,Beschreibung der ... Verbesserung der sogenannten Guidesde mains /:Handleiter:/ zur,,,,,,
1562,Maelzel,Leonhard,,,,,,"Klavierspiel, Handleiter",,Wien,,1833,31.10.1833
"",,,,,,,"Vervollkommnung des Pianoforte Spiels, ...",,,,,,
