PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
431,Ofenheim,Anton Daniel,Pfendler,Georg,,,"Beschreibung derjenigen die Gasbeleuchtung, betreffenden Gegenstände, ...",Gasbeleuchtung,Wien,1827,16.10.1827
"",,,,,,,Descrizione della Scoperta che ... consiste nel fabbricare con due foli generi indigeni tre diverse,,,,
432,Bosiz,Felice,,,,,,Kunstblume,Milano,1826,08.03.1826
"",,,,,,,"qualita di fiori artificial finissimi ad uso di cappretti, cuffie, ...",,,,
"",,,,,,,"Descrizione d'una macchinetta in forma di Lambicco, da addatarsi a qualunque Botte, o Tino, onde",,,,
433,Grisetti,Pietro,,,,,,"Gärapparat, Wein",Milano,1820,08.12.1820
"",,,,,,,"far fermentare le uve, produrre un vino generoso senza nessuna perdita, e di lunga conservazione",,,,
434,Seregni,Ambrogio,,,,,Descrizione del Miglioramento ... nel vendere ogni sorta di Cappelli impenetrabili dall'acqua,Hut/wasserdichter,Milano,1824,16.02.1824
"",,,,,,,"Combinazione di un Vaso da fiori, il quale si puo collocare sui terazzi, nelle camere, e sopra",,,,
435,Gay,Francesco,,,,,,"Vase, Blumentopf",Milano,1823,14.04.1823
"",,,,,,,"qualunque mobile senza pericolo che spanda acqua, ne guasti i luoghi ove si rippone ...",,,,
"",,,,,,,Descrizione della Stufa mobile atta a riscaldare una camera di mediocre grandezza senza bisogno,,,,
436,Gay,Francesco,,,,,,Ofen,Milano,1823,14.04.1823
"",,,,,,,di condotti per scaricare il fumo ...,,,,
437,Gay,Francesco,,,,,"Descrizione della stuffa caloricia, ...",Ofen,Milano,1822,22.03.1822
438,Osio,Angelo,,,,,Descrizione del miglioramento che ... consiste nel fabbricare la Carta ed i Cartoni ...,"Papier, Pappe",Milano,1824,18.01.1824
439,Osio,Angelo,,,,,"Descrizione del modo tutto nuovo di fabbricare la Carta, e Cartoni ...","Papier, Pappe",Milano,1824,19.03.1824
440,Osio,Angelo,,,,,Descrizione della fabbricazione della Carta e Cartoni fatti solla Bochetta del Lino ...,"Papier, Pappe, Flachs",Milano,1823,23.12.1823
"",,,,Catterina,,,,,,,
"",,,,,,,"Descrizione del miglioramento, che ... consiste sostanzialmente nel risparmiare ventione cuciture",,,,
441,Commizzoli,Catterina,Fantonetti,maritata,,,,Handschuh,Pavia,1827,18.08.1827
"",,,,,,,"sulle trentasei, che comunemente si usano nella costruzione dei guanti",,,,
"",,,,Commizzoli,,,,,,,
"",,,,,,,"Descrizione di un nuovo Meccanismo sperimentato opportuno per eseguire con facilita, e",,,,
"",,,,,,,"precisione i Saggi nelle mede di fieno, a fine di conoscere il giusto peso di una Meda, nelle",,,,
442,Bozzoni,Faustino,,,,,,Heubohrer,San Zeno,1823,18.04.1823
"",,,,,,,circostanza che non convenga di pesarla tutta; e per conoscere nello stesso tempo l'intrinsica,,,,
"",,,,,,,"qualita del medesimo, esistente nell'interno delle mede",,,,
"",,,,,,,"Descrizione della scoperta che ... consiste nell'aver trovato nel territorio di questa provincia, ed in",,,,
443,Ansaldi,Francesco,,,,,"specie nel Bistrello di Pescarolo una vena di terra, la quale estratte e disposta con quelle","Erdfarbe, Gelb, Rot, Grün",Cremona,1813,18.11.1813
"",,,,,,,"preparazioni di deppurazione, ...",,,,
"",,,,,,,Descrizione del miglioramento che ... consiste in un semplice apparecchio da applicarsi col mezzo,,,,
444,Blumenfeld,Augosto,,,,,"di alcuni ordigni egli vende oltremodo utili i suoi pettini 1. alla fabbricazione delle Stoffe in genere,","Weberkamm, Webstuhl",Milano,1823,31.01.1823
"",,,,,,,che guadagno in solidita e bellezza ... [Webekämme],,,,
445,Bertini,Giuseppe Maria,,,,,Descrizione della Macchina detto il Vaglio a pendolo ... [Entwässerungsmaschine],"Entwässerung, Wasserhebemaschine",Pavia,1823,18.01.1823
446,Mondellino,Giovanni,,,,,"Descrizione dell'invenzione che ... consiste nel fabbricare carta di ogni specie con lino in erba, ...","Papier, Flachs",Milano,1823,18.12.1823
