PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatu
"",,,,,,,"chemischen Kunstproducten zwei Sorten grüner Farbe, unter dem Nahmen Patentgrün, zu",,,,,
"",,,,,,,"erzeugen, ...",,,,,
"",,,,,,,"Beschreibung der Entdeckung Sackspiegeln in rothen oder andern gefärbten Papier, mit Rausch-",,,,,
"",,,,,,,"Gold-Borde zu verfertigen, u. zwar in der Art, daß solche denen im Auslande erzeugten, & unter","Taschenspiegel, Dessin, Messingblech,",,,,
1184,Ziegler,Johann Andreas,,,,,,,,Salzburg,1830,22.03.1830
"",,,,,,,"der Benennung/Nürnberger Taschen oder Feldspiegel/ im Handel bekannten, nicht allein ganz",Papierborte,,,,
"",,,,,,,"gleich kommen, sondern selbige an Schönheit noch übertreffen",,,,,
"",,,,,,,"Descrizione dei modi e mezzi con i quale mediante l'uso delle Paglie di Frumento, e colli travagli",,,,,
1185,Romiti,Giacomo,,,,,,Hut,,Venezia,1828,31.01.1828
"",,,,,,,"qui specificati, si ottiene la fabbricazione dei Cappelli di Paglia ... [Strohhuterzeugung]",,,,,
