PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
2183,Karasek,Anton,,,,,"Necessaire, Galanterie",,,,1833,06.03.1833
"",,,,,,,"für Herren und Damen, Reisende, k.k.Militär, und für jeden Menschen als ein Kleinod dienlich",,Karlsbad,,,
"",,,,,,,Spiegazione del miglioramento della Machina per incannare la Seta detta Incannagio conforme si,,,,,
2184,Ricardi,Antonio,,,,,"vede nell'anito foglio coi relativi Disegni in alzato, Spaccato, e detagli di varii pezzi piu importanti Seide, Spulmaschine",,Como,,1832,30.10.1832
"",,,,,,,del mecanismo [Seidenspulmaschine],,,,,
2185,Siegl,Joseph,,,,,"Bereitungs art der Frictions Hölzel Zündholz, Feuerzeug",,Wien,,1834,23.12.1834
"",,,,,,,"Genaue Beschreibung der verbesserten Ausarbeitungsart der Tornisterfelle, wie auch allen andren Tornister, Pelz, Imprägnierung/Pelz,",,,,,
2186,Hossek,Martin,,,,,,,Trebitsch,,1835,12.02.1835
"",,,,,,,"feineren Pelzwerken Gerberei, Mottenschutz",,,,,
"",,,,,,,Zeichnungen und Beschreibung der von dem Mechaniker Christian Wilhelm Schoenherr aus,,,,,
2187,Schoenherr,Christian Wilhelm,,,,,"Plauen im Königreiche Sachsen, erfundenen Verbesserungen in der Einrichtung und Webstuhl, Schützenregulator",,Neunkirchen,,1835,01.01.1835
"",,,,,,,"Bewegungsweise der mechanischen Webstühle, ...",,,,,
2188,Prueser,Karl,,,,,"Beschreibung des Verfahrens bei der Verfertigung der soliden hölzernen Kristallmodelle Kristallographie, Modellbau",,Wien,,1835,30.10.1835
"",,,,,,,Beschreibung der ... Erfindung zur Gewinnung des Brennoels mittelst einer ganz neuen,,,,,
2189,Klapka,Joseph,,,,,"Manipulation, und der Anwendung einer sehr einfachen dabei aber sehr kräftig wirkenden ... Oelpresse",,Wien,,1836,25.01.1836
"",,,,,,,"Preßvorrichtung, ...",,,,,
"",,,,,,,Beschreibung der Erfindungen und Verbesserungen in der Erzeugung des brennbaren Gases zum,,,,,
2190,Daum,Joseph,Kukla,Franz,,,"Leuchtgas, Gasbeleuchtung",,Wien,,1836,19.01.1836
"",,,,,,,Behufe der Beleuchtung,,,,,
"",,,,,,,"Beschreibung der ... Erfindung und Verbesserung, ..., daß er eine neue Art Caffee Brause Maschine",,,,,
2191,Kuhn,August,,,,,Kaffeemaschine,,Wien,,1836,20.02.1836
"",,,,,,,"erfunden hat, ...",,,,,
"",,,,,,,Mittelst Anwendung einer  verbesserten Vorrichtung [Presse] alle Gattungen von Silberwaaren,,,,,
2192,Stubenrauch,Daniel J.,,,,,"Silberwaren, Dessin, Fallhammer",,Wien,,1836,19.04.1836
"",,,,,,,"und derley Geräthschaften ... zu erzeugen, ...",,,,,
2193,Gunold,Franz,Meill,Franz,,,"Beschreibung zu den Schiffen von mechanischer bewegender Kraft Schiffsantrieb, Getriebe",,Wien,,1836,22.09.1836
2194,Badoux,Pierre Joseph,,,,,"Beschreibung der ... Erfindung einer Holzsägemaschine, ... [Text französisch] Holzsäge, Kreissäge",,Wien,,1837,09.01.1837
2195,Badoux,Pierre Joseph,,,,,"Beschreibung der ... Erfindung ... einer Medaillen Copier-Maschine ... Medaille, Kopiermaschine, Pantograph",,Wien,,1837,11.01.1837
"",,,,,,,"Leder/wasserdichtes, Stiefel, Schuh,",,,,,
2196,Holdoff,Friedrich,,,,,Beschreibung der Verfahrungsart bei der Verfertigung der wasserdichten Stiefel und Schuhe,,Wien,,1837,06.03.1837
"",,,,,,,Imprägnierung/Leder,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, ..., durch gekochten Dampf, leeren Raum, und gesteigerte Kraft",,,,,
2197,Badoux,Pierre Joseph,,,,,"Dampfmaschine, Vakuumapparat",,Wien,,1837,14.04.1837
"",,,,,,,ohne Unterschied zu erzeugen [Text französisch],,,,,
2198,Salzer,Karl,,,,,"Beschreibung ... der Erfindung- die Seide auf eigene Art mit Dampf abzukochen, ... Seide, Kochapparat",,Wien,,1837,13.05.1837
