PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
2980,Sauerwein,Joseph,,,,,,"Beschreibung eines trockenen Firnißes für Holz, Schildkrot, Horn, Leder &&, ...","Firnis, Lack, Lederlack",Wien,,1841,07.08.1841
"",,,,,,,,"Beschreibung der ... Verbesserung ..., daß er mittelst einer eigenen Vorrichtung trübes Wasser","Wasserreinigung, Filtrierapparat,",,,,
2981,Gianini,Amgelo,,,,,,,,Wien,,1841,13.04.1841
"",,,,,,,,"Kristallhell filtert, ...",Trinkwasser,,,,
2982,Giulitti,Giuseppe,,,,,,Descrizione del Miglioramento del Trebbiattojo del frumento ed altri grani da spica,Dreschmaschine,Brescia,,1837,13.02.1837
2983,Lassmann,Philipp,,,,,,Erklärung der Muster der von mir verbesserten Hosenträger,Hosenträger,Wien,,1837,05.05.1837
"",,,,,,,,Beschreibung und Zeichnung einer Entdeckung vermittelst welcher Last- und zugleich,,,,,
2984,Chopelet,Alexander,,,,,,Bugsierschiffe mit einer Sechzigpferdekraft sehr leicht Zwölf tausend Zentner Waaren von Pesth,"Schiffbau, Schleppschiffahrt",Wien,,1840,01.05.1840
"",,,,,,,,"nach Wien und zwar innerhalb Vierzig Stunden, herauf bugsieren oder ziehen können",,,,,
"",,,,,,,,Verbesserte Methode zum Walzen des Zinks und vermehrte Anwendung des aus dem raffinirten,"Zinkofen, Walzen, Zinkblech,",,,,
2985,Keil,Vinzenz,,Tlach,Vinzenz,,,,,Troppau,,1837,23.05.1837
"",,,,,,,,Zink erzeugten Blechs ... Verbesserte Methode Zink zu raffiniren,Raffinade/Zink,,,,
2986,Rakus,Georg,,,,,,Beschreibung der verbesserten Lucklichen Central Gewehre,Gewehr,Weißbriach,,1839,06.12.1839
"",,,,,,,,"Beschreibung der ... Erfindung ..., daß goldene Ringe zugleich als Hand-Bracelet getragen werde",,,,,
2987,Apfel,Johann,,,,,,,"Ring, Armband, Verstellbares",Wien,,1840,24.08.1840
"",,,,,,,,"können, ...",,,,,
"",,,,,,,,Eine Beschreibung und eine Zeichnung der ... Erfindung ...: Alle Arten Mühlen und überhaupt jedes,,,,,
2988,Sockl,Gottlieb,,,,,,,"Mühle, Getriebe, Wasserrad",Wien,,1839,29.04.1839
"",,,,,,,,"Wasserwerk ... mit einem hydraulischen Getriebe in Bewegung zu setzen, ...",,,,,
2989,Klein,Heinrich,,Klein,Johann,,,Beschreibung auf eine ganz neue Erfindung und Verbesserung der Blasbalckharmoniken,"Ziehharmonika, Klappe/Ziehharmonika",Wien,,1840,09.07.1840
"",,,,,,,,"Beschreibung ... auf die Verbesserung und neuen Erfindung von Verfertigung an Schanili-Tücher,",,,,,
2990,Kasperkowitz,Karl,,,,,,,"Chenille, Schal, Dessin",Wien,,1840,15.07.1840
"",,,,,,,,Tepich u.d.gl. Stoffe mit verschiedenen Farben und Blumen Dessenen ...,,,,,
"",,,,,,,,Descrizione del nuovo miglioramento che ... consiste in sostanza nell'ottenere il rotondare delle,,,,,
2991,Bigaglia,Pietro,,,,,,,Glasperle,Venezia,,1837,01.07.1837
"",,,,,,,,Perlette ditti Conterie ... [Glasperlen runden],,,,,
2992,Leixner,Johann Michael,,,,,,"Wesendliche Beschreibung meiner ganz Neuhen Erfindung ... Reibsand [zu liefern], ...",Reibsand,Wien,,1842,22.01.1842
2993,Alberizzi,Luigi,,,,,,Composizione del Masticeper i Bollini Cartacci [Siegelmarken],"Siegelmarke, Presse",Venezia,,1837,03.05.1837
2994,Kasperowski,Adam,,,,,,Beschreibung des [Sirup-] EindikungsApparats,"Sirup, Eindicken, Verdampfapparat",Zurawniki,,1837,09.05.1837
