PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
927,Girard,Philipp v.,,,,,"Temperatur mittelst eines Feuers dergestalt erhalten werden kann, daß dessen Wärmegrad die","Brutapparat, Thermostat",Wien,1822,01.07.1822
"",,,,,,,"verschiedensten Veränderungn erleiden kann, ohne daß die Temperatur des erwärmten Raumes",,,,
"",,,,,,,dadurch merklich gestöhrt wird,,,,
928,Groll,Joseph,,,,,Beschreibung meiner neuen Erfindung von doppelten Wagen-Federn,"Wagen, Federung/Wagen",Budapest,1821,24.02.1821
"",,,,,,,"Descrizione dell'invenzione che ... consiste in un regolatojo fumifugo, in un valvola califaciente, ed",,,,
929,Gay,Francesco,,,,,,"Rauchabzug, Kamin",Milano,1825,04.03.1825
"",,,,,,,in un cimarudo ventifugo ... [Nicht rauchende Kamine],,,,
"",,,,,,,Descrizione dell'invenzione che ... consiste in un nuovo metodo che intende d'introdurre per,,,,
930,Lanze de Peret,Pietro Giuseppe,Schmoll,Enrico Federico,,,l'illuminazione coll mezzo del Gas Idrogeno reso portatile condensato in recipienti ... [Tragbara,"Lampe, Abfüllapparat/Gas, Leuchtgas",Milano,1824,05.10.1824
"",,,,,,,Gaslampen],,,,
"",,,,,,,"Descrizione del miglioramento che ... consiste in una Stufa, la quale oltre di avere una graziosa",,,,
931,Gay,Francesco,,,,,,Ofen,Milano,1826,25.07.1826
"",,,,,,,figura ... [Verbesserte Oefen],,,,
"",,,,,,,"Beschreibung der Erfindung, daß das Eisen mit Gußstahl belegt, palttiert, oder fournirt wird, und",,,,
932,Feigel,Ferdinand,Gruber,Franz,Mueller,Andreas,"dadurch alle möglichen Schmid-Dreh- und Stemmwerkzeuge verbessert werden, daß der Stahl in","Plattieren, Schneidwerkzeug, Blech",Wien,1823,07.01.1823
"",,,,,,,dünneren Stahlblechen erzeugt werden kann,,,,
"",,,,,,,I. Descrizione dell'apparecchio con macchina apressione per la fabbricazione delle varie bevande,,,,
"",,,,,,,"ed acqua minerali ... II. Descrizione della composizione e fabbricazione delle ... Punsch spumante,","Punsch, Sodawasser, Limonade,",,,
933,Meyer,Giovanni,,,,,,,Milano,1826,21.08.1826
"",,,,,,,"Sod Watter, Limonea, Aranciate, Acque di Magnesia, Acqua Acidula [Schaumpunsch, Sodawasser,",Mineralwasser,,,
"",,,,,,,"Limonade, Mineralwasser u. Sauerbrunnen]",,,,
"",,,,,,,"Beschreibung ... der ... Erfindung welche ... darin besteht, einen sogenannten Flekenstein erfunden",,,,
"",,,,,,,"zu haben, womit man alle Gattungen Oehl-Fett-Wagenschmier- oder auch sonstige Schmutz und",,,,
934,Hoenigwald,Caecilia,,,,,,Fleckputzmittel,Wien,1824,31.08.1824
"",,,,,,,"Wachsfleken, aus jeder Gattung Stoffe, als Baumwolle- Seidenzeug Sammet-Tuch oder Casimir auf",,,,
"",,,,,,,"die leichteste, und geschwindeste Art selbst herausbringt",,,,
935,Fritz,Joseph,,,,,Beschreibung der Griesputzmaschine,"Siebwerk, Putzmaschine",Wien,1824,13.08.1824
