PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,"ausgefärbt, sodann auf gleiche Art mit Tafelfärben versehen, das Farbenspiel durch wiederholte",,,,,,
"",,,,,,,"Manipulation nach Willkühr vervielfältigt, und so zu sagen ins Unendliche getrieben werden könne",,,,,,
"",,,,,,,,"Hut/Wasserdichter,",,,,,
2307,Muck,Joseph,,,,,"Beschreibung der ... Verbesserung in der Fabrikation der Filz- oder SeidenHüte, ...",,,Prag,,1831,05.11.1831
"",,,,,,,,"Schweißschwamm, Kappe",,,,,
"",,,,,,,"Beschreibung der ... Erfindung ..., daß es ihm gelang, alle Gattungen von Viertel-Repetiruhren",,,,,,
"",,,,,,,,"Uhr, Repetierwerk, Perpetuum mobile,",,,,,
2308,Martina,Johann,,,,,"(sogenannten Stockuhren) ... zu verfertigen, ... Uibrigens glückte es ihm, das sogenannte",,,Prag,,1833,11.10.1833
"",,,,,,,,Getriebe,,,,,
"",,,,,,,"Perpetuum mobile zu erfinden, ...",,,,,,
"",,,,,,,Beschreibung der ... Verbesserung ...: Daß derselbe gepreßte Messerhefte /:statt wie schon,"Schafhorn, Messerheft,",,,,,
2309,Koerbler,Franz,,,,,,,,Wien,,1838,11.01.1838
"",,,,,,,"existirt aus Büffelhorn:/ aus Schaafhorn schwarz oder verschiedenartig gebeitzt erzeugt, ...","Hornbearbeitung, Färben/Horn",,,,,
"",,,,,,,"... zeigt ... an eine neue Erfindung gemacht zu haben, ...: Mittelst einer ... Maschin, gepfälzte",,,,,,
"",,,,,,,"Knöpfe aus allen beliebigen Stoffen, sowie auch aus allen Metall als Gold u. Silber, zu erzeugen. Sie",,,,,,
2310,Pfaff,Joseph,,,,,,"Gold, Silber, Knopf",,Wien,,1836,06.08.1836
"",,,,,,,"haben ... den Vortheil, daß sie einen Botzen haben, durch welchen sie an die Kleider befestigt",,,,,,
"",,,,,,,"werden, ...",,,,,,
"",,,,,,,Beschreibung und Zeichnung der Erfindung: daß die Abziehriemen für Rasiermesser mittelst einer,,,,,,
2311,Bruckner,Anna,Hubert,Heinrich,,,Vorrichtung von Stahlfedern zum Abziehen sowohl hohl als flach geschliffener Messer mit bestem,"Abziehen/Rasiermesser, Rasiermesser",,Wien,,1832,28.11.1832
"",,,,,,,Erfolg zu verwenden sind,,,,,,
"",,,,,,,"Beschreibung der ... Erfindung eines Scheiben arondir Maschine, mittelst welcher er die Zähne der",,,,,,
2312,Kleinist,Joseph,,,,,,"Zahnrad, Räderschneidemaschine",,Wien,,1836,09.11.1836
"",,,,,,,Räder zu allen Gattungen Uhren Spielwerken und Maschinen ausfertiget; ...,,,,,,
"",,,,,,,,"Stiefel, Schuh, Leder/Wasserdichtes,",,,,,
2313,Peltzl,Anton,,,,,"Beschreibung der ... Erfindung der wasserdichten Stiefeln und Schuhe, ...",,,Wien,,1838,16.05.1838
"",,,,,,,,Imprägnierung/Leder,,,,,
2314,Montperny,Friedrich Graf v.,,,,,"Beschreibung der ... neuen Erfindung von Wagenbüchsen, ...","Wagen, Schmierbüchse",,Wien,,1838,03.06.1838
"",,,,,,,Beschreibung der ... Verbesserung zur Vereinfachung und wesentlichen Erleichterung der Schwal-,,,,,,
2315,Maux,Alois,,,,,,"Schal, Bandstuhl, Dessin",,Wien,,1837,13.07.1837
"",,,,,,,Webstühle,,,,,,
2316,Kantz,Johann Christian,,,,,Beschreibung der neuen Erzeugung des Feuerschwammes,Feuerschwamm,,Laibach,,1829,07.09.1829
2317,Maloch,Ignaz,,,,,"Beschreibung meines neu verbesserten Decateur-Apparats, ...",Dekatiermaschine,,Prag,,1833,01.10.1833
"",,,,,,,"Beschreibung der ... erfundenen Maschine, die man einen Storchenschnabel der Natur, oder","Pantograph, Panorama,",,,,,
2318,Springer,Johann Baptist,,,,,,,,Wien,,1831,28.05.1831
"",,,,,,,Panoramagraph nennen dürfte,"Zeichenapparat, Perspektive",,,,,
"",,,,,,,"Beschreibung der von mir am 11.12.1835 erfundenen, dann in Holzmodell, und endlich in Metall",,,,,,
"",,,,,,,"ausgeführten Copirmaschine, Homeograph von darum genannt, weil sie jedes Original gerade in","Kopiermaschine, Kupferstich,",,,,,
2319,Springer,Johann Baptist,,,,,,,,Wien,,1836,03.06.1836
"",,,,,,,"derselben Größe genau auf Kupfer oder Stahlplatte oder Fabricksdruckwalzen kopirt, punctirt und","Farbendruck, Druckwalze",,,,,
"",,,,,,,schneidet,,,,,,
"",,,,,,,Descrizione e modello della nuova macchina a Cilindro che inventata per Scartazzura ogni,,,,,,
2320,Castel,Bonaventura,Picaluga,Gaetano,Pinot,Filiberto,,"Seidenabfälle, Krempeln",,Milano,,1833,29.05.1833
"",,,,,,,Cascame di Seta,,,,,,
