PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,"bedeutenden Holzbedarfes sowohl in Hüte, als auch in Tafeln compact raffinirt ... werden kann",,,,,
"",,,,,,,"Beschreibung der Erfindung: Ein allgemeins Flammen-Abwehrungs-Mittel, mit welchem alle",,,,,
"",,,,,,,"Gegenstände von Holz, Stroh, Papier, Tuch, Leinwand, Catun, Mousselin etc. gebeizt oder",,,,,
2501,Bachstein,Joseph,Bergamenter,Friedrich,,,"Überzogen werden können, Feuerlösch-Matten, Flammen-Abwehrungs-Matten, Woll- u. Imprägnierung, Feuerschutz",,Wien,,1838,14.05.1838
"",,,,,,,"Strohsäcke, Plachen, Waren-Emballagen, Fascikel d. Archive, Tapeten, Spalieren,",,,,,
"",,,,,,,Theaterdekorationen udgl.,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, ..., Kastenbeschläge vermittelst der von ihm erfundenen neuen",,,,,
"",,,,,,,"Möbel, Beschlag, Blechbiegemaschine,",,,,,
2502,Meusburger,Joseph,,,,,"Zange schneller und gleicher zu erzeugen, ferner die Verbesserung der messingernen Zimmer-",,Wien,,1838,27.11.1838
"",,,,,,,"Presse, Türschnalle",,,,,
"",,,,,,,oder Hausthordrüker,,,,,
"",,,,,,,Nähere Beleuchtung der Abhandlung über die Anwendung der comprimirten Luft als,,,,,
2503,Andorfer,Franz,,,,,"Lokomotive, Getriebe, Druckluftbahn",,Wels,,1838,04.08.1838
"",,,,,,,Fortbewegungsmittel zu Locomotiven auf Eisenbahnen,,,,,
"",,,,,,,"Darstellung der neuen Verbesserungs-Methode, die Kupferzündhütchen mittelst einem",,,,,
2504,Siegl,Joseph,,,,,"Zündhütchen, Schawine, Legierung",,Wien,,1837,28.11.1837
"",,,,,,,"Metallplattel, aus einer Metallmaße, die Pulverladung zu bedecken und Wasserdicht zu machen",,,,,
"",,,,,,,Beschreibung eines neu erfundenen Apparats zur Abdampfung von Zucker Auflößungen Syrups,,,,,
2505,Ritter,J. Chr.,& Co.,,,,"Verdampfapparat, Zuckerlösung",,Görz,,1830,27.01.1830
"",,,,,,,"oder andern Flüßigkeiten, ...",,,,,
"",,,,,,,[Beschreibung] zu vorläufiger Entdekung: der bekannten Schnelllaufmaschine eine solche,,,,,
"",,,,,,,"Einrichtung geben zu können, das diese bey Gebrauch auf einer Eisenbahnschien anzuwenden ist, Eisenbahn, Getriebe, Schwungrad,",,,,,
2506,Bernard,Franz Aloys,,,,,,,Wien,,1837,30.12.1837
"",,,,,,,"und durch dieses mit ein Viertheil des früher nöthigen Kraftaufwandes von einer einzelnen Person Laufwagen, Wagen",,,,,
"",,,,,,,vorwerts gechoben werden kann,,,,,
"",,,,,,,"Beschreibung der Art und Weise aus Baumwollgarnen Leinen zu imitiren, denen ich die Imprägnierung/Baumwollgarn,",,,,,
2507,Umlauf,Florian,,,,,,,Reichenberg,,1834,22.11.1834
"",,,,,,,"Benennung Imiters gebe Baumwollgarn, Leinwandimitation",,,,,
"",,,,,,,"Erzeugung des Syrups aus Weizen-, Gersten- oder Haber-Malz. Gewinnung des Branntweins aus",,,,,
"",,,,,,,"Malz, Sirup, Trebernschnaps, Essenz,",,,,,
2508,Gotthilf,Johann,,,,,den Malztrebern. Erzeugung der Fruchtessentz aus Malz oder Zucker-Syrup auch Rohr Zuker. Essig,,Wien,,1827,13.09.1827
"",,,,,,,Essig,,,,,
"",,,,,,,aus Malz Syrup.,,,,,
"",,,,,,,"Beschreibung: 1. Jede Gattung Polsterung bei Meubles, Matrazen, Pölster, u.dgl. mit entfetteten",,,,,
"",,,,,,,"u. ... gereinigten Roßhaaren ... zu erzeugen ... 2. Mittelst Dampfauszug ... gereinigte u. entfettete Roßhaar, Waschmittel, Polstermöbel,",,,,,
2509,Klobasser,Johann,,,,,,,Brünn,,1831,29.12.1831
"",,,,,,,Roßhaare im gesponnenen oder gekrausten Zustande herzustellen ... 3. Auf die Erfindung einer Art Matratze,,,,,
"",,,,,,,mit Roßhaaren doppelt aufgelegter Matratzen u. Pölster ... 4. Bettmatratzen ...,,,,,
"",,,,,,,Descrizione della invenzione e miglioramento che ... consiste in sostanza nella fabbricazione di,,,,,
2510,Bellandi,Alessandro,,,,,"Suppedanei di due qualità, cioè di pelo di capra comune, e di hane, in ogni colore e disegne ... Ziegenhaar, Teppich, Dessin",,Brescia,,1834,05.12.1834
"",,,,,,,"[Fußteppiche aus Ziegenhaar oder anderem Tierhaar, verschiedenfärbig, mit Dessins]",,,,,
"",,,,,,,Descrizione dei miglioramenti introdotti a perfezionamento della Macchina detta Machine,,,,,
2511,Molina,Paolo Andrea,,,,,"Rotationspapier, Papiermaschine",,Milano,,1834,23.09.1834
"",,,,,,,pourfaire le Papier sans fin ... [Papier ohne Ende],,,,,
"",,,,,,,"Beschreibung der ... Verbesserung und Erzeugungsart des Steinthongeschirrs, mit einer",,,,,
2512,Bayerl,Johann,,,,,"Tonwaren, Glasur",,Prag,,1837,15.09.1837
"",,,,,,,Gesundheitsglasur,,,,,
"",,,,,,,"Beschreibung der von mir Joh. Georg Mensurati, Eigenthümer des Silber- und Blei-Berg und Haldenschotter, Ziegel,",,,,,
"",,,,,,,,,Feistritz bei,,,
2513,Mensurati,Johann Georg,,,,,"Hüttenwerkes zu Feistritz bei Peggau gemachten Erfindung und Verbesserung, aus dem Eisenbahnschwelle, Ziegelpresse,",,,,1838,14.04.1838
"",,,,,,,,,Peggau,,,
"",,,,,,,Haldenschotter künstliche Bausteine zu erzeugen Kunststein,,,,,
