PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,Beschreibung seiner Erfindung in der Construirung mehrerer mechanischer Vorlegewerker zur,,,,,,
"",,,,,,,"Anwendung bey Forte-Piano unter der Benennung ""Concertins"", mittelst welcher Tonstücke ohne",,,,,,
5502,Stregzek,Thomas,,,,,irgend einer Beyhilfe und ohne der geringsten Beschädigung des Toninstrumentes mit Praecision,,Orchestrion,Wien,,1850,27.07.1850
"",,,,,,,"vorgetragen, die Vorzeichnung zum Stiftensatz auf Spielwalzen erfolgen könne, u. Musterkarten",,,,,,
"",,,,,,,zum Walzensatze angfertigt werden können,,,,,,
"",,,,,,,Beschreibung und Zeichnung einer Verbesserung in der Construction einer direktwirkenden,,,,,,
5503,Schwarz,Edmund,,,,,,,"Hochofen, Gebläse",Wien,,1850,22.05.1850
"",,,,,,,"Gebläse-Dampfmaschine für Hohöfen, ...",,,,,,
"",,,,,,,"Beschreibung einer neuen Erfindung ... einer neuen, durch Mechanik geregelten Druckmethode",,,,,,
5504,La Moriniere,Felix Alphonse de,,,,,,,"Zeugdruck, Druckmaschine",Wien,,1846,14.12.1846
"",,,,,,,"für Stoffe, Papiere [Text dt.u.frz.]",,,,,,
"",,,,,,,"Descrizione della nuova scoperta che ... consiste nel fare, che la seta tinta e coi comuni",,,,,,
"",,,,,,,"semplicissimi processi non diminuisca di peso per esposizione all'aria ed al calore, ma invece",,"Seide, Imprägnierung/Seide,",,,,
5505,Rigatelli,Bartolomeo,,,,,,,,Verona,,1836,10.10.1836
"",,,,,,,"aumenti sensibilmente di peso ... [Seide mit einer Flüssigkeit imprägnieren, daß sie an Gewicht",,Beschweren,,,,
"",,,,,,,zunimmt],,,,,,
"",,,,,,,Beschreibung der ... Verbesserung der nach dem Feltenbergschen Prinzipe erbauten Sämaschine,,,,,,
5506,Gmeiner,Maximilian,,,,,,,Sämaschine,Schärding,,1848,16.08.1848
"",,,,,,,"mit Bürsten, ...",,,,,,
