PrivRegNr,,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
"",,,,,,,,"Verfahrens bey der Fabrikation des Rohreisens und des Schmiedeisens, ...: 1.) In verschiedenen","Roheisen, Eisenfrischen, Hochofen,",,,,
3913,Meckenheim,,Ludwig Nikolaus de,,,,,Formen von Hochöfen ... um das lange Holz verwenden zu können 2.) In Reverberie Oefen ... 3.) In,"Puddelofen, Muffelofen,",Wien,,1841,13.04.1841
"",,,,,,,,Apparaten zum Trocknen d. Brennmaterials 4.) In verschiedenen Warmluft-Apparaten 5.) In,"Luftvorwärmer, Gichtgas, Gasleitung",,,,
"",,,,,,,,"Apparaten zur Sammlung des reduzierenden Gases, ..., um es zu verwenden [Text dt.u.frz.]",,,,,
"",,,,,,,,Methode bey ... Eindekung ... sowohl mit denen gepreßten als mit den gewöhnlichen Dachziegeln,,,,,
3914,Altlechner,,Laurenz,,,,,,"Dachziegel, Dach",Wien,,1836,20.10.1836
"",,,,,,,,...,,,,,
"",,,,,,,,"... Beschreibung der neu entdeckten Construction eines mechanischen Webstuhles, besonders",,,,,
3915,Hafen,,Joseph,,,,,,"Webstuhl, Lade, Getriebe",Wien,,1843,12.09.1843
"",,,,,,,,"aber der Erfindung der Construction des Excentrick u. Hebels der Ladenbewegung, ...",,,,,
3916,Lang,,Karl,,,,,Beschreibung: auf gemalte oder selbst plastische Schriften werden ... Verzierungen ... befestigt ...,"Schild, Beschriften",Wien,,1843,13.09.1843
"",,,,,,,,Beschreibung ... wie bei der Endeckung und Verbesserung in der Spielkarten Erzeugung,,,,,
3917,Loeve,,Paul,,,,,,"Spielkarte, Papier/Undurchsichtiges",Wien,,1844,12.11.1844
"",,,,,,,,"vorgegangen wird, damit die Spielkarten undurchsichtig erscheinen",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, ...: daß man alle Gattungen Taschen- und Federmesser aus Stahl",,,,,
"",,,,,,,,"verfertigen könne, mit welchen eine Nägel-, Zwick-, Baum- und cygarrenschere, Cygarrenhälter",,,,,
3918,Ritzinger,,Georg,,,,,,Universalmesser,Wien,,1844,19.09.1844
"",,,,,,,,"und Tabaksräumer, Brodmesser, Baumschnitzer, Bart- u. Frisirkamm, Bartzangl u. andere",,,,,
"",,,,,,,,"Schneideinstrumente in Verbindung gebracht werden können, ...",,,,,
"",,,,,,,,Beschreibung der ... Astral-Oehl-Gas-Lampe mit spherischer Flamme zur Verbrennung der Berg-,,,,,
3919,Vidal,,Friedrich,,,,,,Lampe,Wien,,1844,29.10.1844
"",,,,,,,,oder fossilen Oehle,,,,,
3920,Bahr,,Friedrich,,,,,Beschreibung der Behandlung der in Formen gegossenen Wachs Kertzen und Wachsstöckl,"Kerzenmodel, Wachsstockmodel",Wien,,1845,09.05.1845
"",,,,,,,,"Beschreibung ... über verschiedene Verbesserungen in der Brantweinbrennerey, bestehend in","Reibmaschine/Kartoffel,",,,,
3921,Orth,,Louis v.,,,,,"einer verbeßerten Kartoffelmühle, Maisch, Maschine, Maischkühlapparat, Vorrichtung ... zur","Einmaischapparat, Gebläse, Gärmittel,",Wien,,1845,12.03.1845
"",,,,,,,,"Ersparung eines Rectificators, Gährungs Mittels und Gährungsverfahren, ...","Gärapparat, Destillierapparat",,,,
"",,,,,,,,"... Meine Verbesserung besteht ...: ""aus allen wie immer Nahmen habenden vegetabilischen",,,,,
3922,Ellrodt,,Fritz,,,,,,Extraktionsapparat,Wien,,1845,27.05.1845
"",,,,,,,,"Stoffen auf eine einfache und wolfeile Art Extracte sehr schnell zu erzeugen, ...",,,,,
"",,,,,,,,... Machina serve per migliorare e purgare i Zuccari greggi e Mascabadi-rimovendone il melasso ed,,,,,
3923,Jennings,,Enrico Constantino,Lavers,Giacomo,,,,"Zucker, Raffinade/Zucker",Torino,,1832,04.06.1832
"",,,,,,,,il Sciroppo non cristalizzabile [Zuckerraffinade],,,,,
"",,,,,,,,"Beschreibung unserer Principien, und der nach diesen construirten Oefen, zur Bezweckung des",,,,,
"",,,,,,,,"ununterbrochenen Betriebs bei der Hüttenmännischen Gewinnung flüchtiger Metalle,","Metall/Flüchtiges, Quecksilber,",,,,
3924,Rabitsch,,Joseph,Rabitsch,Peter,,,,,Klagenfurt,,1835,20.09.1835
"",,,,,,,,"insbesondere des Quecksilbers, und Beseitigung des bisherigen Metallenverlustes bei der",Röstofen,,,,
"",,,,,,,,Hüttenmanipulation,,,,,
3925,Egger,,Joseph,,,,,"Beschreibung resp. Erklärung des Grundrisses, der Provile, und Ansichten des Ofens ...",Kachelofen,Friesach,,1844,27.08.1844
"",,,,,,,,"Beschreibung der ... Entdeckung und Verbesserung in der Filtrirung das Wassers, des Weines, des",,,,,
3926,Heath,,Matthaeus,,,,,,Filtrierapparat,Wien,,1840,17.11.1840
"",,,,,,,,"Bieres, Des Zucker-Sirops, des Oehles und anderer Flüssigkeiten",,,,,
"",Toscano del,,,Toscano del,,,,"Beschreibung sammt Zeichnung der ... Erfindung von Apparaten unter dem Titel ""Wiener",,,,,
3927,,,Johann,,Joseph,,,,Rauchfangkehrapparat,Wien,,1841,06.03.1841
"",Banner,,,Banner,,,,"Zugrauchfang-Reinigungs-Apparate"", ...",,,,,
3928,Reiss,,August,,,,,"Beschreibung der ... Erfindung einer Dampf-Sturz-Kaffeemaschine, ...",Kaffeemaschine,Wien,,1844,08.11.1844
3929,Eyb,,Jakob,,,,,Beschreibung der ... verbesserten Wagen- und anderer Arten von Winden,Winde,Wien,,1844,17.12.1844
3930,Eyb,,Jakob,,,,,Beschreibung des ... verbesserten Schraubstockes,Schraubstock,Wien,,1844,17.12.1844
