PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
5469,Oechslin,Alexander,,,,,Beschreibung der Verbeßerung an Spiralfederpolsterungen ...,,,Wien,1850,01.05.1850
"",,,,,,,,Federung/Möbel,,,,
5470,Sabay,Antoine,,,,,Beschreibung einer Verbesserung an der Lacroix'schen Tuch- und Wollstoff-Walk-Maschine,"Tuch, Walken",,Wien,1850,25.03.1850
5471,Bartsch,Joseph Gregor,Markus,Alois,,,Beschreibung der Erfindung in Verfertigung von Parketten,Parkettboden,,Wien,1850,11.05.1850
"",,,,,,,Beschreibung der Verbesserung ...: halbwollene Stoffe /: die Kette von Baumwolle und den Eintrag,,,,,
"",,,,,,,"von Schafwolle:/ so wie Baumwollstoffe der Art vorzubereiten, daß die Farben auf denselben","Halbwollstoff, Imprägnierung/Stoff,",,,,
5472,Fichtner,J.,,,,,,,,Atzgersdorf,1850,09.11.1850
"",,,,,,,"lebhafter & billiger erzielt werden können, und vorzüglich geeignet sind, das Pigment der Orseille","Orseille, Färben/Stoff, Lila",,,,
"",,,,,,,zu fixiren,,,,,
"",,,,,,,Descrizione della tavola cosi detta Spiegeltafel di nuova invenzione servibile per l'affissiona di,,,,,
5473,Bruschetti,Gioachino,Gaberdin,Francesco,,,,"Plakatierungstafel, Glasverschluß",,Milano,1843,14.01.1843
"",,,,,,,"avvisi, notificazioni, manifesti, etc. nei luoghi pubblici della città",,,,,
5474,Ludold,Joseph,Mueller,Friedrich,,,Dampf-Gas-Apparat ohne Gasometer für Fabricks-Beleuchtung,"Leuchtgas, Werkstattbeleuchtung",,Wien,1850,09.04.1850
5475,Smith,Benjamin,,,,,Verbesserungen im Schmelzen der Kupfer und anderer Erze,"Kupfer, Schmelzmittel",,Wien,1847,10.10.1847
"",,,,,,,Verbesserungen in der Erzeugung von gegossenen Metall-Rädern für Eisenbahn- und,,,,,
5476,Loosey,Karl [F.],,,,,,"Eisenbahnwagen, Wagenrad",,Wien,1847,15.02.1847
"",,,,,,,verschiedene andere Wägen,,,,,
"",,,,,,,"... hat eine neue Erfindung gemacht, ..., daß es ihm gelungen ist, durch die Anwendung der 16-er",,,,,
"",,,,,,,,"Zeugdruck, Perrotine, Drucktisch,",,,,
5477,Kunthe,Adalbert,,,,,"Theilung die Chassis Ausweichung bei fünf- u. bei sechs-farbigen Perrotinen zu ermöglichen, und",,,Wien,1849,18.06.1849
"",,,,,,,,Siebausweichung,,,,
"",,,,,,,somit 5- u. 6-farbige Perrotinen bauen zu können,,,,,
"",,,,,,,"Beschreibung nebst 3 Plänen ... über die ... Erfindung, welche ... in einer Maschine, Loeomobile-",,,,,
"",,Peter Philipp,,,,,,,,,,
5478,Barrat,,,,,,"Maschine genannt, zur Bearbeitung der Erde mittelst durch Dampf in Bewegung gesetzte Hacken","Dampfpflug, Lokomobil",,Wien,1849,05.06.1849
"",,Celestin,,,,,,,,,,
"",,,,,,,"bestehet, ...",,,,,
"",,,,,,,,,,"Kahr, Kreis",,
"",,,,,,,"Beschreibung der ... Erfindung einer Maschine zum Reinigen des Eisenkies, Behufs der",,,,,
5479,Hochberger,Johann,,,,,,"Schwefelkies, Schlämmapparat",,"Elbogen,",1846,22.04.1846
"",,,,,,,Schwefelerzeugung ...,,,,,
"",,,,,,,,,,Böhmen,,
