PrivRegNr,Name1,,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
2262,Goldbacher,Anton,,,,,,,"Unschlitt, Kerzengießapparat",Wien,,1837,26.09.1837
"",,,,,,,,"Formen zu gießen, ...",,,,,
"",,,,,,,,"Beschreibung der von Joseph Schmidbauer, Mechaniker im Schloße Haunkenzell und Bürger aus",,,,,
"",,,,,,,,"München erfundenen hydrostatischen, hydraulischen, mechanischen Kraftmaschine und in",,,,,
2263,Hoppe,,,Schmidbauer,Joseph,Stansfeld,,,"Wassermotor, Getriebe",Wien,,1836,01.08.1836
"",,,,,,,,Gesellschaft der Herrn Stansfeld u. Hoppe unter der Firma Stansfeld Hoppe et Schmidbauer zur,,,,,
"",,,,,,,,Ausführung gebracht im Jahre 1836,,,,,
2264,Nentwich,Norbert,,,,,,Beschreibung der ... Verbesserung in der Erzeugung der Seiden- und ähnlichen Knöpfe,"Seide, Stoff, Knopf, Presse",Wien,,1838,21.02.1838
"",,,,,,,,,"Luftdicht(er) Filz, Wasserdicht(er) Filz,",,,,
2265,Flebus,Jakob,,,,,,"Beschreibung der ... Erfindung in der Erzeugung Luft- und Wasserdichter Filzfußteppiche, ...",,Wien,,1837,11.12.1837
"",,,,,,,,,"Teppich, Farbendruck, Dessin",,,,
"",,,,,,,,Beschreibung der zur Verfertigung von inn- und ausländischem Zucker und Laugensalz,"Rübenschneider, Saturateur,",,,,
2266,Wertheimer,Salomon sel. Sohn,,,,,,,,Wien,,1836,27.09.1836
"",,,,,,,,"anzuwendenden Vorrichtungen, ...","Siedeofen, Zucker, Soda",,,,
2267,Rahn,Heinrich,,Spoerlin,Michael,,,Wesentliches Princip der Iris Druckerey,"Irisdruck, Farbwalze",Wien,,1823,09.10.1823
"",,,,,,,,Richtige Abildung und Zergliederung der Tüll Anglais Maschine ist gezeichnet und selbst,,,,,
2268,Schlick,Franz,,,,,,,"Tüll, Spitzen, Bobinetmaschine",Wien,,1829,31.03.1829
"",,,,,,,,bearbeitet worden von Franz Schlick,,,,,
"",,,,,,,,Descrizione della nuova Scoperta che ... consiste in Sostanza nella formazione di un nuovo gas,,,,,
2269,Brey,Gaetano,,,,,,,"Leuchtgas, Gasbeleuchtung",Milano,,1834,02.02.1834
"",,,,,,,,illuminatori tratto dall'acqua ... [Leuchtgas],,,,,
"",,,,,,,,"Beschreibung des Verfahrens bey einer neuen Art des Erzeugens desjenigen Gases, welches unter",,,,,
2270,Molanus,Heinrich,,,,,,"dem Nahmen Gas perfectione, oder Gas Seligue & Compagnie als vervollkommnetes Gas zur","Leuchtgas, Gasbeleuchtung, Lampe",Wien,,1834,09.12.1834
"",,,,,,,,"Beleuchtung dient, so wie eines neuen vervollkommneten Gasbrenners",,,,,
