PrivRegNr,Name1,Vorname1,Name2,,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatu
792,Hueber,Franz,,,,,,,"Docht, Waschmittel, Kerze",Wien,,1826,02.05.1826
"",,,,,,,,"den Garn und der Wolle befindlichen erdartigen Theile zerstört, und hiedurch das heller brennen",,,,,
"",,,,,,,,"der Kerzen befördert werde, ...",,,,,
"",,,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß ich erstlich durch Maschinen und",,,,,
"",,,,,,,,"Drahtzugeisen im Stande gesetzt bin, Hüte aus spanischem Rohr mit Fischbein verflochten zu",,,,,
"",,,,,,,,,"Hut, Kappe, Feldflasche, Galanterie,",,,,
793,Gutseel,Eleonora,,,,,,"verfertigen, ... daß ich im Stande bin Galanterie-Körbchen aus spanischem Rohr und Fischbein",,Wien,,1826,21.07.1826
"",,,,,,,,,"Rohr, spanisches, Flechtarbeit",,,,
"",,,,,,,,"verflochten, oder von Fischbein allein, und auch von Rohr allein, so auch von Weidenholz mit",,,,,
"",,,,,,,,"Fischbein verflochtene Körbchen, Käpchen, Feldflaschen und derlgeichen zu verfertigen",,,,,
794,Selka,Franz,Selka,Joseph,,,,Beschreibung zweyer Gattungen verbesserter elastischer Sattel,Sattel,Wien,,1824,18.12.1824
"",,,,,,,,"Beschreibung der ... Erfindung welche ... darin besteht, daß Jedermann mittelst der von ihm ganz",,,,,
795,Simonaire,Anton,,,,,,"neu erfundenen Stimmmaschiene jedes Forte Biano selbst ganz rein stimmen kann, ohne vom","Klavier, Stimmen",Wien,,1825,23.08.1825
"",,,,,,,,Stimmen frühere Kenntniß zu haben,,,,,
796,Holzer,Johann,,,,,,Beschreibung der neu erfundenen Deckel-Putzmaschine,Krempeln,Sollenau,,1826,22.07.1826
797,Cesar,Alexander,,,,,,Beschreibung wie die bürgerlichen FensterLeisten zu Verfertigen sind,"Fensterabdichtung, Türabdichtung",Wien,,1826,09.01.1826
"",,,,,,,,Verbesserung an denen Stiefeln und Schuhen besteht in einer in jedem schon fertigen Stiefel,,,,,
798,Remor,William,,,,,,,"Schuhabsatz, Stiefelabsatz",Wien,,1825,19.03.1825
"",,,,,,,,anbringbarer einfacher Vorrichtung ...,,,,,
"",,,,,,,,"Beschreibung der vollkommen verbesserten Schneide-Maschine, womit alle Gattungen",,,,,
799,Wiedemann,Alois,,,,,,"Handschuhe sowohl in Bezug auf den Stoff, als auch auf die Größe, nach einer ganz neuen","Handschuh, Zuschneidemaschine",Wien,,1827,13.03.1827
"",,,,,,,,"Methode zugeschnitten, und sohin verfertigt werden",,,,,
"",,,,,,,,"Zeichnung und Beschreibung der ... Verbesserung, welche im wesentlichen in einer neuen Art",,,,,
"",,Johann Baptist,,,,,,"Aufsteckspindel auf der Vorspinn Maschine besteht, die zugleich auch auf der Ausspinn Maschine",,,,,
800,Puthon,,Puthon,Karl Frh.v.,,,,,"Spinnmaschine, Aufsteckspindel",Teesdorf,,1821,06.08.1821
"",,Frh.v.,,,,,,"verwendet werden kann, und deren Endzweck bessere Qualitaet des Garnes, und Oekonomie in",,,,,
"",,,,,,,,der Erzeugung desselben ist,,,,,
"",,,,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß: alle Gattungen Theater Perspective",,,,,
801,Ploessl,Georg Simon,,,,,,,"Fernrohr, Opernglas",Wien,,1825,11.06.1825
"",,,,,,,,"Auszug- und Steckfernröhre mit einer Haarstellung verbunden werden können, ...",,,,,
"",,,,,,,,Beschreibung der Einrichtung des Werkstuhles zur Verfertigung des neu erfundenen Stoffes,,,,,
"",,,,,,,,,"Webstuhl, Merino Oriental,",,,,
802,Herrmann,David,,,,,,"Merinos Oriental ein Einem und zwey Stücken auf Einem Stuhle und derley Tüchel, so wie des",,Wien,,1823,18.09.1823
"",,,,,,,,,Kleiderstoff,,,,
"",,,,,,,,"Materiales, woraus verfertigt wird",,,,,
"",,,,,,,,Beschreibung der Erzeugung von Halbwachskerzen. Beschreibung der Erzeugung von,,,,,
803,Argenteau,Friedrich,,,,,,,"Kerze, Wachs, Unschlitt",Wien,,1831,16.09.1831
"",,,,,,,,Unschlittkerzen,,,,,
"",,,,,,,,"Descrizione dell'invenzione che ... consiste, nell'adoperar come motore il Vapore proveniente da",,,,,
804,Minotto,Giovanni,,,,,,"qualsisia genere di cui si voglia ottenere la distillazione, come vino, ... [Dampfmaschine, betrieben","Dampfmaschine, Destillierapparat",Venezia,,1826,04.03.1826
"",,,,,,,,von Branntweindämpfen],,,,,
