PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
107,Lang,Johann,,,,,befindliche als tragbare durch eine hölzerne Windkammer und hölzerne Stiefel: Samt Kolben und,"Feuerspritze, Pumpe",,Wien,,1823,03.11.1823
"",,,,,,,Ventil ebenfalls Holz: ... hergestellt werden ...,,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung seiner ... Maschinen, welche ... darin bestehen, daß seine",,,,,,
108,Reck,Friedrich,,,,,"Kunstgallanterie Arbeiten von Bernstein, Perlmutter, Elfenbein und Meerschaum auf eine weit",Galanterie,,Wien,,1824,07.07.1824
"",,,,,,,"vortheilhaftere Art ... können verfertigt werden, ...",,,,,,
"",,,,,,,"Beschreibung und Model der ... Verbesserung, welche ... darin besteht, daß die Meerschaum-",,,,,,
109,Reck,Friedrich,,,,,"Tabak-Pfeiffe zugleich theils mit einer neuen Art Jagd-Pfeiffen, und theils mit einem besonders",Tabakspfeife,,Wien,,1825,19.01.1825
"",,,,,,,"verbesserten Wassersakkes versehen sind, nebst einem gut angebrachten Pfeiffen-Räumer, ...",,,,,,
"",,,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß er aus Bierlager einen Brantwein",,,,,,
110,Schwarz,Moritz,,,,,,"Branntwein, Bierlager/Branntwein",,Wien,,1823,30.08.1823
"",,,,,,,"auf jeden beliebigen Apparate erzeuget, ...",,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... Verbesserung, welche ... darin besteht, daß er alle Sorten,",,,,,,
111,Herzog,Anton,,,,,"vonn Gold und Silber, Seide und Haras Czako - Borten in halbrunder Form ... zu verfertigen im",Borte,,Wien,,1824,21.12.1824
"",,,,,,,"Stande ist, ...",,,,,,
112,Munding,Alois,Munding,Martin,,,Beschreibung der vorzüglichen Bestandtheile von der Fournier-Circular-Schneide-Maschine,Founierschneidemaschine,,Wien,,1817,12.08.1817
"",,,,,,,"Diese Art von Faltzstock oder Faltzmaschine, ...  daß wir aus dickesten Häuten auf dieße unßere",,,,,,
113,Collman,Carl,Koehl,,,,,Falzmaschine,,Wien,,1800,21.08.1800
"",,,,,,,"Art die feinsten Fell bearbeiten können, ...",,,,,,
"",,,,,,,"Umständliche Beschreibung uiber die ... erfundene Plattirungs-Art, und deren zum plattirten","Plattieren, Guillochiermaschine,",,,,,
114,Oberhauser,Anton,,,,,,,,Wien,,1803,21.08.1803
"",,,,,,,Schnallen dienlichen zwoen Maschinen ... A) Guillochir-Maschine ... B) Bug oder Krümmaschine ...,"Bugmaschine, Krümmaschine",,,,,
115,Schmid,Johann,,,,,Behandlung der ... neu erfundenen Kaffee-Dampfmaschine,Kaffeemaschine,,Graz,,1822,15.05.1822
"",,,,,,,"Beschreibung der ... erfundenen Weterdächer, die über Wagen, Gärten Kaffeehäuser, oder",,,,,,
116,Wackenhagen,Karl,,,,,,"Wetterdach, Plachendach",,Wien,,1823,26.05.1823
"",,,,,,,"öffentliche Plätze, und solche von Sonne und Regen zu bewahren, gespannt werden können",,,,,,
"",,Heinrich Friedrich,,,,,,"Branntwein,",,,,,
117,Ludwig,,,,,,"Authentisch spezielle Beschreibung des nachstehenden Neuen Brantweinbrenn-Apparats, ...",,,Wien,,1822,10.05.1822
"",,August,,,,,,Destillierapparat/Branntwein,,,,,
118,Dietrich,Martin,,,,,"Beschreibung derjenigen Malzdörre, welche der Gefertigte neu erfunden hat, ...","Malzdörre, Dörrofen/Malz",,Schärding,,1824,30.03.1824
