PrivRegNr,Name1,Vorname1,,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,,Ort,Jahr,Einreichdatum
1969,Brick,Salomon,,,,,,,Getränk,Lemberg,,1828,08.08.1828
"",,,,,,,,"leicht löschet, einen sehr angenhmen Geschmack im Munde zurückläßt, ...",,,,,
1970,Hann,Michael,,,,,,Beschreibung der ... neu Erfundenen Platierung mit Packfong,"Plattieren, Neusilber",Wien,,1834,03.07.1834
"",,,,,,,,"... zeigt ... an, eine neue Erfindung gemacht zu haben, ...: mittelst eines einfachen Apparates, in",,,,,
"",,,,,,,,jeder Haushaltung in Einer Minute ... er sich wenigstens 6 Küchen oder das größte Bett zu,,,,,
1971,Trentsensky,Joseph,,,,,,"erwärmen, bey der Anwendung von Cataplasma /:erweichenden Umschlägen in","Wärmeapparat, Trockenapparat",Wien,,1836,06.10.1836
"",,,,,,,,"ununterbrochener gleicher Wärme die zweckmässigste Anwendung zu machen, und frisch",,,,,
"",,,,,,,,gewaschene Wäsche alsogleich zu trocknen,,,,,
"",,,,,,,,"Beschreibung ... auf Erfindung eines Toiletten-Geistes unter dem Nahmen, aromatisches Wienner",,,,,
1972,Mittermeyer,Anton,,,,,,,Parfüm,Wien,,1832,04.12.1832
"",,,,,,,,Wasser,,,,,
