PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
3472,Delbos,Felix,,,,,"animalischer oder vegetabilischer Stoffe, besser erhalten, biegsamer, elastischer und härter","Holz, Extraktion, Imprägnierung/Holz",Bordeaux,1840,01.12.1840
"",,,,,,,"gemacht, seine Entzündbarkeit ... verringert, das Werfen und Ziehen ... verhindert, seine",,,,
"",,,,,,,"Austrocknung erleichtert werde, ...",,,,
3473,Cassel,Johann,,,,,Beschreibung der Verbesserung der Platina-Schnell-Zündmaschinen,Feuerzeug,Wien,1841,01.04.1841
3474,Gross,Joseph,Sztroky,Alexius,,,Beschreibung des erfundenen Heitz und Kochofens,"Gasofen, Kochherd",Wien,1842,23.03.1842
"",,,,,,,"Beschreibung der neuen von Joh. Georg Radosch, Gewerken aus Brüx erfundenen Wasserhebe-",,,,
3475,Radosch,Johann Georg,,,,,,Wasserhebemaschine,Brüx,1843,11.03.1843
"",,,,,,,Maschine,,,,
"",,,,,,,Beschreibung ... die Entdeckung mehrerer Verbesserungen in der Siegellackerzeugung betreffend,,,,
3476,Loewy,Gebrüder,,,,,,Siegellack,Prag,1843,24.03.1843
"",,,,,,,...,,,,
"",,,,,,,"Die der Maschine zu Grunde liegende Idee ist folgende: 1. Man läßt durch jene Kraft, welche eben","Windbeobachtung, Windrad,",,,
3477,Steinle,Nepomuk,,,,,"zur Disposition ist, ..., Wasser in ein höher gelegenes Bassin fördern, aus dem man es in der Zeit,","Schöpfwerk, Wasserrad, Getriebe,",Wien,1841,29.12.1841
"",,,,,,,"..., zum Betriebe auf ein Wasserrad oder sonst einen hydraulischen Moteur wirken läßt ...",Wasserspeicher,,,
3478,Eibenstein,Joseph,Meissel,Franz,Wolle,Emanuel,Aeussere Beschreibung des ingedachten Cilinder Dampf Decatir Apparats,"Wollstoff, Dekatiermaschine",Wien,1837,27.02.1837
"",,,,,,,"Beschreibung der Erfindung: Die Nachbildungen des Körpers, der Füße und Hände durch",,,,
"",,,,,,,,"Abguß, Schuh/Orthopädischer,",,,
3479,Hoelbling,Johann,,,,,Metallguß etc.: zur Vervollkommung der Körper-Fuß- u. Händebekleidungen überhaupt,,Wien,1838,16.01.1838
"",,,,,,,,Handschuh/Orthopädischer,,,
"",,,,,,,anzuwenden,,,,
3480,Riess,Lorenz,,,,,Beschreibung: die Verbesserung der Feuer-Reibhölzchen betreffend,Zündholz,Wien,1843,04.04.1843
3481,Streicher,Johann Baptist,,,,,"Beschreibung der ... neuen Verbesserungen an Pianofortes jeglicher Form, ...",Klavier,Wien,1842,25.07.1842
3482,Kraemer,Johann,,,,,"Beschreibung der Erfindung resp. Verbesserung der Fortepianos, ...",Klavier,Wien,1839,23.05.1839
"",,,,,,,"Beschreibung der neuen Erfindung, durch Cylinder ohne Dampf eben so kraftvoll, als mit Dampf,",,,,
"",,,,,,,,"Schiffsantrieb, Wagen, Getriebe,",,,
3483,Bayer,Alexander,,,,,"Schiffe zu Wasser aufwärts zu treiben, und Wägen zu Land ohne Pferde und ohne Dampf mit",,Wien,1842,12.05.1842
"",,,,,,,,Wälzlager,,,
"",,,,,,,Beseitigung aller Gefahr zu führen,,,,
3484,Huelsekamp,H.,,,,,"Beschreibung & Zeichnung der ... neuen Erfindung einer Baum und Blumenspritze, ...",Spritze,Wien,1843,26.05.1843
"",,,,,,,"Beschreibung der Erfindung in Verfertigung eines Tuches, welches auf beiden Seiten gleiche",,,,
3486,Paneth,Samuel,,,,,"Appretur, gleiche Decatur, gleiche Feinheit, Schönheit und Güte besitzt, und somit auf beiden","Schafwollstoff, Doublestoff",Bielitz,1839,18.04.1839
"",,,,,,,Seiten getragen und benützt werden kann,,,,
"",,,,,,,"Beschreibung einer Erfindung, welche zum Zwecke hat, eine besondere Gattung Seife mittelst",,,,
3487,Milly,Adrian Gustav de,,,,,,"Oelsäure, Seife",Wien,1839,08.05.1839
"",,,,,,,"Oehl Säure zu erzeugen und im Handel unter dem Nahmen ""Milly-Seife"" eingeführt werden soll",,,,
3488,Mueller,Karl,,,,,Bereitungsweise des prager Toilettenwassers,Parfüm,Prag,1839,
"",,,,,,,Aplicazione de Gas idrogeno come motore ad un Orologio [Wasserstoffgas zum Betreiben einer,,,,
3489,Andervalt,Pasquale,,,,,,"Wasserstoff, Uhr, Wasserstoffuhr",Trieste,1840,09.03.1840
"",,,,,,,Uhr],,,,
"",,,,,,,"Die Erfindung, wofür das Privilegium auf zwei Jahre angesucht wird, besteht darin, daß alte und",,,,
3490,Mueller,Joseph Georg,,,,,"neue Kirchenglocken, deren Stimmung wegen der Dicke der Masse zu hoch ist, ohne Umguß um","Glocke, Stimmen, Schleifmaschine",Schwaz,1842,07.04.1842
"",,,,,,,einen halben Ton tiefer gestimmt werden können,,,,
3491,Mueller,Joseph Georg,,,,,Beschreibung der neuen Verbesserung der Feuerspritzen,Feuerspritze,Schwaz,1842,07.04.1842
"",,,,,,,... Beschreibung der Erfindung: bey den Lithogarphien die Steine für die Nadel- und,,,,
"",,,,,,,,"Lithographie, Taufstein, Entfetten,",,,
3492,Schmutz,Franz,,,,,"Federzeichnung ohne ätzende Säuren, Gummi, Terpentin, Speichel, Seifenwasser und Weinstein",,Wien,1843,02.05.1843
"",,,,,,,,Entschweißen,,,
"",,,,,,,"zu präpariren, ...",,,,
