PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatu
678,Liebelt,Gottfried,,,,,"Vortheile gewährt, ... kann der Reisende, ... ohne auszusteigen ... den Wagen stillstehend, ... und","Wagen, Bremse, Notbremse",,Wien,1821,09.08.1821
"",,,,,,,"auch wieder gehend machen, ...",,,,,
"",,,,,,,,"Häckselmaschine,",,,,
679,Schumann,Franz,,,,,Erklärung der in Zeichnung beyliegenden Häcksel-Schneidmaschiene,,,Lemberg,1819,11.08.1819
"",,,,,,,,Futterschneidemaschine,,,,
680,Du Bois,Joseph,,,,,Beschreibung meiner Verfahrungsart bey Bereitung des Weinessigs,Essig,,Wien,1821,15.06.1821
681,Rosenberger,Moses,,,,,"Beschreibung der Compositionsmasse, woraus die Inslichtkerzen und die Seife bereitet werden, ...","Kerze, Unschlitt, Seife",,Wien,1825,26.08.1825
"",,,,,,,Descrizione del miglioramento che ... consiste 1.Nell'invenzione di una macchinetta atta ad,,,,,
682,Gavazzi,Pietro,,,,,,"Seidenkokon, Seidenhaspel",,Valmadrera,1827,05.11.1827
"",,,,,,,operare la scopettazione dei bozzoli ... [Seidenhaspel],,,,,
"",,,,,,,Genaue Beschreibung der ... Erfindung der doppelt wirkenden Resonanzböden; wie auch derer,,,,,
683,Hoxa,Friedrich,,,,,,"Klavier, Resonanzboden",,Wien,1826,25.01.1826
"",,,,,,,"Kapseln, für jede Gattung Klavierinstrumente, ...",,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß durch eine sehr dauerhafte",,,,,
"",,,,,,,"Vorrichtung beim Horn, und der Trompete, der Tonumfang so bereichert werden kann, daß man",,,,,
684,Riedl,Joseph,Kail,Joseph,,,,"Horn, Trompete",,Wien,1823,30.09.1823
"",,,,,,,"auf derselben alle diatonisch und chromatisch Töne, wie auf anderen Blasinstrumenten in",,,,,
"",,,,,,,"Naturtöne, hell und leicht hervorbringen kann, ...",,,,,
"",,,,,,,Geheimniß meiner Neue Erfindung: Bestehet meine Verfahrungsart darinn um den Saffian &,"Gerberei, Färben/Leder, Saffian,",,,,
685,Schweritz,Johann,,,,,,,,Wien,1829,31.08.1829
"",,,,,,,"Carmoisien und Marocojn herstellen zu können, ...","Karmoisin, Maroquin",,,,
