PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatum
3535,Orth,Louis v.,,,,,"Terrassen, Fußböden, und anderen Flächen; sowie eines zur Herstellung dieses Tuches","Imprägnierung/Stoff, Wetterdach,",Wien,1842,16.11.1842
"",,,,,,,"anwendbaren wasserdichten Kitts, der auch noch zu anderen Zwekken benützt werden kann",Dichtungsmasse,,,
"",,,,,,,"Beschreibung der Erfindung der Verstärkung der Kraft der Wasserräder schwimmender Mühlen,",,,,
3536,Dixon,Abraham,,,,,,"Wasserrad, Schiffmühle",Wien,1839,22.08.1839
"",,,,,,,mittels einer neuen Stellung ihrer Bestandtheile in Beziehung auf das Mühlwasser,,,,
"",,,,,,,Beschreibung der Erfindung in der Verbesserung der Zusammensetzung und der Fabrikation von,"Brennmaterial, Mühle,",,,
3537,Dixon,Abraham,,,,,"Feuerungsmaterial und der der Oefen, welche zur Verzehrung desselben und jedes andern","Mischmaschine, Brikett, Feuerung,",Wien,1839,25.10.1839
"",,,,,,,Heizungsmittels geeignet sind,Ofen,,,
3538,Dixon,Abraham,,,,,Erfindung: Verbesserungen in der Verfertigung des Bleiweißes betreffend,"Bleiweiß, Kalkbrennen",Wien,1839,25.10.1839
"",,,,,,,"Beschreibung nebst vier Zeichnungen, daß auf viererley Art verschiedener Constructionen,",,,,
"",,,,,,,"horizontale Deken und Gewölbe aller Arten hergestellt, und mittelst besonderer Formen von",,,,
3539,Wunderer,Johann,,,,,,"Decke, Gewölbe, Träger",Wien,1842,10.11.1842
"",,,,,,,"Gußeisen, Glaß, Porzellan, Messing udgl. Materialen, und überhaupt, ohne Rücksicht auf Material,",,,,
"",,,,,,,und in allen ... Dimensionen ... gemacht werden können,,,,
3540,Siegl,Joseph,,,,,"Beschreibung der ... Entdekkung, ..., daß er ... Frictions-Feuerzeuge zu erzeugen im Stande sey, ...",Zündholz,Wien,1838,20.07.1838
3541,Marschall,Ernst,,,,,"Beschreibung der ... Erfindung einer Wägen-Verbindung und Wägen-Feder-Stellung, ...","Wagen, Federung/Wagen",Wien,1842,23.06.1842
"",,,,,,,Beschreibung der vom Unterzeichnetenzur Erzeugung von Fensterbeschlägen aus allen beliebigen,,,,
3542,Thornton,Karl,,,,,,"Fensterbeschlag, Stanze",Wien,1843,07.07.1843
"",,,,,,,"Metallen nach allen beliebigen und vorkommmenden Formen neu erfundenen Maschine, ...",,,,
"",,,,,,,Darstellung und Beschreibung meiner neuen Verbesserung in Anwendung gepreßter Verzierung,"Sargverzierung, Pressen, Modellieren,",,,
3543,Gottsleben,Ludwig,,,,,,,Wien,1843,12.08.1843
"",,,,,,,"und Sinnreichen gegenstände auf Leichen Särgen und Ueberthan, ...",Uebertan,,,
3544,Schnaus,Mathias,,,,,"Beschreibung der ... Verbesserung der sogenannten Schnell-Verwandlungs-Kaleschen, ...",Wagen,Wien,1843,13.02.1843
