PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,Ort,Jahr,Einreichdatum
"",,,,,,,"... zeigen ... an, eine Verbesserung an dem bereits am 28.10.1844 durch ein ausschl.Priv.",,,,,
5440,Schmid,Anton,Zappert,Karl,,,,Verdampfapparat,,Wien,1845,13.03.1845
"",,,,,,,"geschützen Abdampfungs-Apparate gemacht zu haben, ...",,,,,
"",,,,,,,,"Gußstahl, Stabeisen, Schweißofen,",,,,
5441,Davy,Henry Savill,,,,,"Beschreibung einer neuen Art, Gußstahl viel wohlfeiler als bisher geschieht zu erzeugen",,,Wien,1846,23.02.1846
"",,,,,,,,Luftvorwärmer,,,,
"",,,,,,,Descrizione della aggiunte e mifioramenti ... al nuovo suo metod di trattura della seta ...,,,,,
5442,Locatelli,Luigi Melchiore,,,,,,"Seide, Seidenhaspel, Spinnmaschine",,Milano,1846,10.04.1846
"",,,,,,,[Seidenhaspel und Seidenspinnmaschine],,,,,
"",,Karl Oktavio,,,,,"Beschreibung der Entdeckung aus den Bestandtheilen der Erle, Lerche, Tanne, Birke, Kastanie und","Erle, Lärche, Tanne, Birke, Kastanie,",,,,
"",Lippe -,,,,,,,,,,,
5443,,Reichsgraf u.,,,,,Fichte s.g. Gallus Extracte und aus der Erica vulgaris sowie aus allen Gattungen Erica und auch,"Fichte, Gerberlohe, Erika, Sumpfporst,",,Schloß Ratiboric,1845,04.10.1845
"",Weissenfeld,,,,,,,,,,,
"",,Edl.Hr.v.,,,,,dem Ledum palustre Gelb färbende Pigmente in flüssiger und fester Extractform darzustellen,Gelb,,,,
"",,,,,,,Beschreibung der Erfindung gewisser Verbesserungen der Dampfmaschine und ihren,,,,,
5444,Remond,Amedée Francois,,,,,,Dampfmaschine,,Birmingham,1847,10.09.1847
"",,,,,,,verschiedenen Eintheilungen ...,,,,,
"",,,,,,,Beschreibung meiner Erfindung auf Verbesserung in der Fabrication von Filz- sowohl als auch,,,,,
5445,Badoye,Johann Franz,,,,,,"Hut, Steifung",,Wien,1850,25.04.1850
"",,,,,,,Seidenhüte mittelst meiner neu erfundenen Steife aus Alaun und Knochengallerte,,,,,
5446,Krakowitzer,Stephan,,,,,Recept der Massa für Kleb-Brief-Oblaten ...,"Siegelmarke, Klebstoff",,Wien,1850,25.04.1850
"",,,,,,,Descrizione della nuova invenzione che ... consiste in sostanza in una macchina a vapore o a gaz,,,,,
5447,Carcano,Francesco,,,,,,"Dampfmaschine, Verbrennungsmotor",,Venezia,1846,26.06.1846
"",,,,,,,permanente a metodo rotatorio ... [Rotierende Dampf- oder Gaskraftmaschine],,,,,
"",,,,,,,"Privilegio quinquennale pella Scoperta ossia nuovo metodo di fabbricazione di Battelli a vapore, e",,,,,
5448,Gasparini,Giorgio,Menetto,Giuliano,,,,"Schiffbau, Stahlbau",,Venezia,1846,09.05.1846
"",,,,,,,Barche di ferro,,,,,
"",,,,,,,"Beschreibung ... der ... Erfindung, welche ... in einer neuen Maschine zum diametrischen",,,,,
5449,Pinel,Paul,,,,,"Canneliren und Calibriren der eisernen und kupfernen Spinn-Cylinder jeder Dimension besteht,","Streckzylinder, Drehbank",,Wien,1849,05.06.1849
"",,,,,,,"um die Flachs-, Schaafs- und Baumwollfäden oder Dochte zu strecken oder anzuziehen ...",,,,,
