PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
2949,Hillardt,Johann,,,,,"mehreren Feuerungen, in welchen sowohl mit Stein und Braunkohle, oder auch mit Holz oder mit Porzellan, Tonwaren, Töpferofen",,Klösterle,,1840,19.03.1840
"",,,,,,,beiden abwechselnd in einem und demselben Brand gefeuert werden kann,,,,,
2950,Lukl,Paul,,,,,Beschreibung über den Gebrauch des Gewehres Gewehr,,Wsetin,,1835,31.01.1835
2951,Boettger,,Wagenmann,Karl,,,Beschreibung der neu erfundenen Verbesserungen an Caffe Maschinen Kaffeemaschine,,Wien,,1839,11.11.1839
2951,Boettger,,Wagenmann,Karl,,,"Beschreibung unserer Vorrichtung an den Lampen mit doppeltem Luftzug Lampe, Kaffeemaschine",,Wien,,1840,01.07.1840
"",,,,,,,Beschreibung der neuen Erfindung und Verbesserung in Verfertigung der matt versilberten,,,,,
2952,Henkl,Leopold,,,,,"Versilbern, Mattieren, Zifferblatt",,Wien,,1840,25.05.1840
"",,,,,,,Uhrblätter,,,,,
2953,Bayer,Johann Karl,,,,,Vorwort zur Beschreibung des Schnellen-Ziegelerzeugers Ziegelmaschine,,Wien,,1837,18.06.1837
2954,Alberizzi,Luigi,Magnini,Luigi,,,Descrizione del nuovo miglioramento dei cosi detti pavimenti di legno à parquet Parkettboden,,Pavia,,1837,18.03.1837
"",,,,,,,"Beschreibung der ... Dampfapparaten, und Funkenfänger für Dampfschiffe, Locomotiven, und Dampfkessel, Schiff, Lokomotive,",,,,,
2955,Reinscher,Mathias,,,,,,,Wien,,1840,30.03.1840
"",,,,,,,"anderen Dampfmaschinen, ... Kondensator, Funkenfänger",,,,,
"",,,,,,,"Beschreibung einer Kamasche von Leder, aus einem einzigen Stück, wie auch das Leisten",,,,,
2956,Fest,Johann M.,,,,,"Gamasche, Leisten",,Wien,,1840,21.05.1840
"",,,,,,,vermittelst welchen die Verfertigung schnell und leicht erfolgt,,,,,
"",,,,,,,"Beschreibung einer neuen Erfindung rücksichtlich der Zugspinnerei, der hiezu erforderlichen Kamm, Krempeln, Wollwäsche,",,,,,
2957,Didier,Isidor,,,,,"Kämme, eines Dampfapparates zur gleichzeitigen Erwärmung der Kämme, zur Erwärmung des Waschmaschine, Wärmeapparat,",,Wien,,1841,15.06.1841
"",,,,,,,"Wassers behufs die Wollwäsche, und zum Trocknen der gekämmten Wolle Trockenapparat",,,,,
2958,Fletcher,Matthew,Radler,Jakob,,,"Vortheile und Eigenschaften der Kammaschine Kamm, Fräsmaschine/Kamm",,Wien,,1826,07.12.1826
2959,Kassin,Valentin,,,,,"Beschreibung des ... zur Erzeugung des gewöhnlichen Steinbieres erfundenen Dampfapparates, ... Bier, Brauapparat",,Klagenfurt,,1837,19.01.1837
2960,Poden,Mathias,,,,,"Bereitung der wohlrichenden Haarwuchs Essenz- Oehl und Pommade Haaröl, Pomade",,Graz,,1837,06.03.1837
2961,Schmidt,Anton,,,,,"Beschreibung der verbesserten Methode, Braunkohlen zu verkohlen Braunkohle, Koks",,Wien,,1838,02.04.1838
"",,,,,,,Abhandlung meines neu erfundenen Arcanums zur Bereitung eines Kartoffel Zukers ohne,,,,,
2962,Slowazeck,Franz,,,,,"Kartoffel, Stärke, Zucker",,Wien,,1839,08.02.1839
"",,,,,,,"Anwendung der Thierkohle, u. in einem crystallisirbaren Zustand",,,,,
2963,Pfaff,Joseph,,,,,"Beschreibung der ... verbesserten erzeugten sogenannten Maschinen Pfalzbotzen Knöpf ... Knopf, Presse",,Wien,,1839,29.03.1839
2964,Demuth,Karl,,,,,"Beschreibung einer neuen Oehlgaslampe, ... Lampe, Vergaser",,Wien,,1841,30.01.1841
"",,,,,,,"Vitriollauge, Alaunlauge,",,,,,
2965,Anthon,Ernst Friedrich,,,,,Beschreibung meiner beim Abdampfen der Vitriol- und Alaunlaugen erfundenen Verbeßerungen,,Weisgrün,,1840,17.11.1840
"",,,,,,,Verdampfapparat,,,,,
"",,,,,,,"Beschreibung der Vorbereitung zum Lackieren eines Czakots Deckels, nach jeder beliebigen Weite, Tschako, Zwinge, Lack,",,,,,
2966,Wadtronn,Karl Friedrich,,,,,,,Wien,,1841,16.03.1841
"",,,,,,,"von gewalktem Tuche, als Surrogat des lackirten Leders, ... Imprägnierung/Tuch, Kunstleder",,,,,
