PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,,Schlagworte,,Ort,Jahr,Einreichdatu
"",,,,,,,noch Trockenheit eine üble Einwirkung herbeiführen können,,,,,,
132,Friedmann,Rubin,,,,,Beschreibung ... [Essig-Bereitung aus Rosoglio-Satz],"Essig, Rosoglio/Essig",,Wien,,1823,16.04.1823
"",,,,,,,"Beschreibung der ... erfundenen Instrumente, mittelst welcher die bey den Scheibenschiessen",,,,,,
"",,,,,,,"entstehenden Streitigkeiten über das, welcher Schuß mehr im Mittel der Kreise liegt, auf das",,,,,,
133,Hausmann,Heinrich,,,,,,"Scheibenschießen, Schießscheibe",,Linz,,1823,18.03.1823
"",,,,,,,"genaueste und bestimmteste entschieden werden kann, und wovon die Zeichnung in A hier",,,,,,
"",,,,,,,beyliegt,,,,,,
"",,,,,,,Beschreibung einer in der österreichischen Monarchie bisher noch nicht bekannten Art: Aus,,,,,,
134,Liechtenauer,Adam,,,,,"Rothbuche- und Fichtenholz zum Vortheil der inländischen Industrie, Holzspäne zum Gebrauche",Sägespäne,,Purkersdorf,,1821,12.02.1821
"",,,,,,,"für Buchbinder, Spiegelmacher, Schwertfeger, Schuhmacher usw. zu verfertigen",,,,,,
"",,,,,,,"Beschreibung und Zeichnung der ... gemachten neuen Erfindung, welche ... darin besteht, daß von",,,,,,
"",,,,,,,"jeder Art Bettstätte der Boden mit einem Mechanismus ... versehen ist, daß jeder Kranke, ... jetzt",,,,,,
135,Graf,Joseph,,,,,,Krankenbett,,Wien,,1823,26.05.1823
"",,,,,,,"mit sehr geringer Anstrengung, oder durch eine andere seine vorzunehmende Lage, sehr leicht",,,,,,
"",,,,,,,"verbessern könne, ...",,,,,,
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß er ächte Schwaals und ordentliche",,,,,,
136,Guerard,Bernard Edl.v.,,,,,,"Webstuhl, Schal",,Wien,,1824,16.12.1824
"",,,,,,,Zeuge dieser Art zu Kleidern zu verfertigen imstande ist ...,,,,,,
137,Knezaurek,Joseph,,,,,Beschreibung des ... verbesserten Weberstuhls,Webstuhl,,Wien,,1822,13.09.1822
"",,,,,,,Beschreibung: Der ... erfunden künstliche Näh-Stuhl ist ein nach seinem Verbesserungs-System,,,,,,
"",,,,,,,"vervollkommneter Webstuhl, auf welchem mittelst Nadeln durch Verziehung und Verkreuzung",,,,,,
138,Knezaurek,Joseph,,,,,,"Webstuhl, Nähstuhl",,Wien,,1823,17.04.1823
"",,,,,,,"der Fäden die schönste Nähe-Arbeit von allerley Vergitterung, Durchbrüchen und dem",,,,,,
"",,,,,,,sogenannten Rußischen Stich verfertigt werden kann,,,,,,
"",,,,,,,"Zeichnung und Beschreibung der ... Erfindung, welche ... darin besteht: Eine neue von allerhand",,,,,,
140,Teich,Wilhelm,,,,,"Metallen verfertigte Stickmaschine, die an jedem Ort bequem und zum willkührlichen Gebrauch",Stickmaschine,,Wien,,1824,17.02.1824
"",,,,,,,"der Frauenarbeiten befestigt und angeschrauft werden kann, ...",,,,,,
141,Berthold,August,,,,,Vollständige Beschreibung der Coffe-Brenn-Maschine,Röstmaschine,,Wien,,1822,28.10.1822
"",,,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß solche aus einer mechanischen",,,,,,
142,Munding,Alois,,,,,,Founierschneidemaschine,,Wien,,1821,26.02.1821
"",,,,,,,"Scheren besteht, womit Fournierhölzer, ... können zu Fournieren geschnitten ... werden",,,,,,
