PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel Schlagworte,,,Ort,Jahr,Einreichdatum
"",,,,,,,Wägen auf geneigten Ebenen und endlich im Forbewegen von Schiffen,,,,,
"",,,,,,,"Bleiglätte, Trockene Destillation,",,,,,
5146,Beyer,Karl August,,,,,Beschreibung eines neuen Verfahrens in der Fabrikation von holzsaurem Bley,,Wien,,1846,14.10.1846
"",,,,,,,Bleiessig,,,,,
5146,Loosey,Karl,,,,,Verbesserungen in der Düngungs-Methode ... Düngen,,Wien,,1847,29.10.1847
5147,Gay,Louis,,,,,"Beschreibung der neuen Schafwoll-Kämm-Maschine [Text dt.u.frz.] Schafwolle, Krempeln",,Wien,,1846,10.08.1846
"",,,,,,,Beschreibung der neu erfundenen Verbesserung in Erzeugung von allen Gatungen von,,,,,
5147,Neuner,Christoph,,,,,"Kandarre, Trense",,Klagenfurt,,1847,31.01.1847
"",,,,,,,Pferdegebißen /:sogenannten Mundstücken Stangen Candarren Trensen:/,,,,,
"",,,,,,,"Beschreibung der ... neuen Verbesserung, ..., daß die zu dem schon früher priv. Bandwebstuhle",,,,,
5148,Ganahl,Karl v.,Rhomberg,,,,"gehörige Weberlade dahin abgeändert ist, daß dieselbe die Leistungen der Maschine ... um die Bandstuhl, Lade",,Innsbruck,,1839,09.12.1839
"",,,,,,,"Hälfte steigert, ...",,,,,
"",,,,,,,"Specification einer neuen Erfindung, bestehend in einem verbeßerten Verfahren beym Reinigen",,,,,
"",,,,,,,"Leuchtgas, Gasreinigungsapparat,",,,,,
5148,Johnson,Robert,Orth,Louis v.,,,"des Leuchtgases und bey der Fabrication der Ammoniaksalze, worauf Louis v. Orth ... um",,Wien,,1846,22.06.1846
"",,,,,,,Ammoniaksalz,,,,,
"",,,,,,,Ertheilung eines ... Privilegiums ... nachgesucht habe,,,,,
"",,,,,,,"Beschreibung ... seines erfundenen Mechanismus zur minderen Zufüllung aller Gattungen Gefäße Flaschenverschluß, Faßverschluß,",,,,,
5149,Paupie,Franz,,,,,,,Wien,,1846,30.12.1846
"",,,,,,,mit allen Sorten von Flüssigkeiten Bailersatz,,,,,
5149,Roetzer,Ignaz,Tichazek,Johann v.,,,"Einleitung, um nach äußerer Beschreibung Bilder zu restauriren Oelgemälde, Bild, Restaurieren",,Wien,,1840,31.01.1840
5150,Beck,Heinrich,,,,,"Beschreibung einer neu erfundenen Tricot-Web-Maschine Trikot, Wirkmaschine",,Brüssel,,1841,28.08.1841
"",,,,,,,"Beschreibung einer neuen Stärke, aus einem Produkt, welches bisher unbekannt und nur zum",,,,,
5150,Lierheimmer,Gottlieb,,,,,"Kastanienstärke, Gummiersatz",,Atzgersdorf,,1847,05.02.1847
"",,,,,,,"Futter der wilden Thiere, und der Verwesung überlassen war, solches ist die wilde Castanie, ...",,,,,
"",,,,,,,"Ganz neues Verfahren in der Galvanisation des geschlagenen Eisens, gewalzten Bleches und des Eisen, Gußeisen, Blech, Verzinken,",,,,,
5151,Butler,Thomas,,,,,,,Wien,,1847,08.10.1847
"",,,,,,,Gußeisens Verzinnen,,,,,
