PrivRegNr,Name1,Vorname1,Name2,Vorname2,Name3,Vorname3,Titel,Schlagworte,Ort,Jahr,Einreichdatu
23,Strnadt,Vinzenz,,,,,Apparat zur Branntweinerzeugung,Branntwein,Wien,1822,
24,Cavallar,Bernhard Anton,,,,,Die neue Entdeckung dieses Kaffees von genießbaren Kastanien,"Kaffee, Kastanie/Kaffee",Mödling,1822,30.10.1822
25,Steiner,Ernest Franz,,,,,Beschreibung des schwarzen Tusches,"Tusch, Papierabfälle, Leinenabfälle",Wien,1822,18.12.1822
26,Besetzny,Franz,,,,,Guitarrenbau und Stimmschraubenverbesserung,"Gitarre, Stimmschraube/Gitarre",Wien,1823,02.01.1823
27,Neuman,Georg,,,,,Beschreibung der ... von Georg Neuman & Comp. erfundenen Wäsche-Falten-Maschine,"Wäscherolle, Bügelmaschine",Wien,1822,
28,Besozzi,Ludwig,,,,,Beschreibung ... über die Einfertigung des von mir erfundenen Metal-Uhrschlüssel,Uhrschlüssel,Wien,1823,23.04.1823
29,Neuman,Georg,,,,,"Beschreibung der ... Erfindung, welche ... in der Verfertigung neuer Vorrichtungen zur Markierung
des Gewinnes und Verlustes bei jeder Gattung von Spielen besteht","Spiel, Spielmarke",Wien,1823,
30,Rosa,Luigi,Sonzogni & Co,,,,Della nuova bilancia a ponte a cinque leve ad un sol punto,"Brückenwaage, Waage",Milano,1816,
31,Girzik,Peter Anton,,,,,"Methode, wie ich meine Hüte und Czako ungeleimt und wasserdicht verfertige","Hut, Tschako",Wien,1816,20.02.1816
32,Demuth,Karl,,,,,"Beschreibung ... neuen Methode, auf Dachrinnen, Auslaufröhren, Dachsäume und auch alle
Bauarbeiten von Blei, Kupfer, Zink, Weiß- und Schwarzblech, oder sonstige Metall mittelst
Maschinen zu verfertigen","Blechbiegemaschine,
Firniß/Rostschutz, Rostschutz/Firniß",Wien,1823,01.03.1823
33,Eder,Michael,,,,,"Beschreibung der ... Erfindung welche ... darin besteht, daß er elastische Räder erzeuge",Wagenrad,Wien,1822,10.07.1822
34,Pach,Alois,,,,,"die Hauptkörnerarten ..., sondern auch andere Sämereyen ... ausgesäet werden können, endlich,",,Wien,1824,06.01.1824
35,Baer,Johann,Moser,Joseph,,,Beschreibung zur Verfertigung der neu verbesserten katoptischen Strassenbeleuchtungslampen,Straßenbeleuchtung,Wien,1823,16.07.1823
35,Baer,Johann,Moser,Joseph,,,Beschreibung zur Verfertigung der neu verbesserten katoptischen Strassenbeleuchtungslampen,Straßenbeleuchtung,Wien,1823,16.07.1823
36,Schuster,Johann Georg,,,,,Beschreibung des Gewehrfeuerzeuges [Flintenschloß],Gewehrschloß,Wien,1821,04.11.1821
37,Schuster,Johann Georg,,,,,Beschreibung der ... verbesserten Metallschreibfedern,Schreibfeder,Wien,1821,17.11.1821
38,Schuster,Johann Georg,,,,,"Beschreibung der ... neuen Verbesserung, welche ... darin besteht, daß er mittelst einer einfachen
und dauerhaften Vorrichtung die Feuergewehre dermaßen verbessert, daß man kein Zündpulver
aufzuschütten braucht ...",Gewehr,Wien,1822,23.07.1822
39,Wackenhagen,Karl,Wibel,Friedrich,,,"Beschreibung der neu gemachten Verbesserung in Vereinigung aller bisher gebräuchlichen
Uhrmacher-Werkzeuge auf einem Brett, vermittelst welchem man eine jede Uhr verfertigen kann,
und zwar mit Einsparung der Hälfte Zeit",Uhrmacher,Wien,1823,10.07.1823
40,Catlinetti,Giovanni,,,,,"Descrizione della macchina ... per dirompere e preparare il Lino e la Canapa senza il prefidio della
macerazione, per trebbiare i grani, e per altri simili usi, con tutte le sue parti non visibili nel
disegno qui annesso","Flachsbrechmaschine,
Hanfbrechmaschine",Milano,1821,30.06.1821
41,Probst,Cajetan,,,,,Beschreibung der Einrichtung auf eine besondere Art Latern mit Oel zu Herrschaft-Wägen,"Laterne, Wagenlaterne",Wien,1821,27.03.1821
42,Reichenbach,Karl,"Salm -
Reifferscheid",Hugo Altgraf v.,,,"Beschreibung der Verbesserung welche im wesentlichen darin besteht, daß sie nach einer, ihnen
eingethümlichen Weise erzeugten Holzessig zur Bereitung eines Baryts und der Baryts zu
verschiedenen technischen Verwendungen anwenden","Baryt, Barytsalze, Holzessig",Wien,1823,14.04.1823
43,Spitzbarth,Andreas,,,,,"Die höchste Räderkraft im Maschinenwesen, angewendet bey einer neuerfundenen Preß-Heb-
und Zugmaschine, auch Triebwerk aller Gattungen Mühlen ...","Getriebe, Seilwinde",Wien,1821,30.03.1821
44,Girzik,Peter Anton,,,,,Anweisung zur Bereitung eines wolfeilen Punsches auf vierzig Maß Wasser gerechnet,Punsch,Wien,1823,22.03.1823
45,Girzik,Peter Anton,Stenko,Prokop,,,Anweisung zur Bereitung der künstlichen trockenen Hefe oder Görben [Germ],Hefe,Wien,1823,22.05.1823
46,Lueger,Mathias,,,,,"Beschreibung uiber die ... neu erfundenen und im oesterreichischen Staate noch nie bestandenen
zwei Brunn-Schöpf-Doppelwerke","Brunnen, Schöpfwerk",Wien,1821,13.03.1821
47,Besetzny,Franz,,,,,Die Verbesserung der Guitarren-Stimmenschrauben,"Stimmschraube/Gitarre, Gitarre",Preßburg,1822,27.07.1822
48,Seitter,M.A.,,,,,"Beschreibung des ... erfundenen Stoffes zu Damenkleidern, genannt Bourre de Laine","Kleiderstoff, Bourettstoff",Wien,1822,03.08.1822
49,Kargl,Anton,,,,,"Beschreibung der ... Erfindung, welche im wesentlichen darin besteht, daß mittelst einer neuen
Gattern und Hebezeug ... zum einweben der Desseins in Seiden, Baum- Schafwollen und
Leinenstoffe, dieselben einfacher ... eingerichtet werden können","Webstuhl, Dessin",Wien,1822,30.12.1822
50,Goebel,Joseph,,,,,"Beschreibung der ... Erfindung, welche in der Wesenheit darin besteht, auf Mühlstühlen Bänder
ganz willkürlcih ... zu broschieren und auch zugleich zu quatrilieren ...","Bandstuhl, Broschieren, Quatrilieren",Wien,1821,20.11.1821
51,Griller,Georg,,,,,"Beschreibung der ... Erfindung, welche im wesentlichen darin besteht, daß auf dem gewöhnlichen
Hand-, Schu- und Mühlbandstuhl mittelst einer besonderen Einrichtung ... elastische Bänder aus
Seide, Baumwolle, Schafwolle und Leinengarn erzeugt werden können ...",Bandstuhl,Wien,1821,25.07.1821
52,Hartl,Leopold,Schnell,Johann,,,"Beschreibung der ... Entdeckung, welche im wesentlichen darin besteht, daß sie von Tuch, Casimir
und anderen Stoffen, Rock- und Westenknöpfe zum machen im Stande sind ...",Knopf,Wien,1824,08.03.1824
53,Reger,Philipp,,,,,"Angabe, echten und guten Wein-Punsch auf eine raffinierte Art zu bereiten",Punsch,Wien,1823,31.05.1823
54,Groll,Joseph,& Sohn,,,,"Manipulations-Angabe über die Erzeugung der (Floor Cloths) Fußwachsleinwand oder
Wachstebiche, welche aus Trilch und Segeltüchern gemacht werden",Wachstuch,Wien,1823,07.04.1823
55,Demuth,Karl,,,,,Beschreibung der von mir erfundenen Lusterlampe,Lampe,Wien,1821,27.06.1821
56,Wibral,Matthaeus,,,,,"Beschreibung der ... neu erfundenen Metallknöpfen, besonders auf Westen und Beinkleidern,
welche zum Waschen sind","Patentknöpfe, Knopf",Wien,1822,04.06.1822
57,Mangelkammer,Johann,,,,,"Beschreibung meiner Methode, feuerfeste Oefen und Kochgeschirr zu bereiten","Ofen, Kochgeschirr",Wien,1821,10.04.1821
58,Mangelkammer,Johann,,,,,"Beschreibung der ... Entdeckung, welche in der Wesenheit darin besteht, die vom H.Professor
Meißner erfundenen Lufterneuerungsöfen zu mahlen und zu lackieren ...",Ofenlack,Wien,1822,13.11.1822
59,Boehm,Vinzenz,,,,,"Beschreibung der ... Erfindung, welche in der Wesenheit darin besteht, daß verfertigte
wachsähnliche Unschlittkerzen, nicht nur sehr rein ..., sondern teilweise einen angenehmen
Geruch ... haben, als auch denselben während des Brennens sowie auch beim Auslöschen
verbreiten","Kerzen, Unschlitt",Niklasdorf,1822,18.06.1822
60,Hlawa,Vinzenz,,,,,Beschreibung der ... neuen Entdeckung einer Dachschindelmaschine,Schindel,Datschitz,1822,09.11.1822
61,Rohrbach,Franz,,,,,Genaue Beschreibung der ... verbesserte neuer Art Fußteppichtücher und derlei Fußteppiche,Teppich,Wien,1824,22.10.1824
62,Schulz,Anton,,,,,"Zeigt ... eine neue Verbesserung gemacht zu haben, welche ... darin besteht, daß eine Klappe dem
Blaser und Spieler sehr angenehm und leichter in Schließung ohne Bedarf von Leder oder Ventil, ...
welche Klappe von jedem Metall ... verfertigt werden kann ...","Blasinstrument,
Klappe/Blasinstrument",Wien,1824,24.04.1824
63,Monecke,Sigfried,,,,,"Beschreibung der ... neuen Erfindung, welche ... darin besteht, daß er den Seidenplüsch (Felber)
durch eine bloße Unterlage von seinem Tuche und eigene chemische Zubereitung ... Hüte zu
formen wisse ...",Hut,Wien,1821,24.09.1821
64,Drexler,Anton Ferdinand,,,,,"Beschreibung der ... Verbesserung, welche ... darin bestehet, ein Schreibpapier unter dem
allgemeinen Namen Schulpapier zu erzeugen, welches durch sichtbare Linien theils das Schreiben
den Anfängern erleichtert ...",Schreibpapier,Wien,1824,01.10.1824
65,Reck,Friedrich,,,,,"Beschreibung der ... neuen Erfindung, welche ... darin besteht: Ein neues Tabakpfeifenrohr ...",Tabakspfeife,Wien,1823,23.09.1823
66,Sobetzki,Franz,Stumpf,Joseph,,,Beschreibung der ... entdeckten Verbesserung der metallenen Schreibfedern,Schreibfeder,Wien,1823,
67,Bollinger,Rudolph,Bollinger,Samuel,,,Beschreibung der ... neuen Verbesserung einer Zylinder-Handmühle ...,Handmühle,Wien,1822,18.07.1822
68,Uffenheimer,Jonathan Gabriel,,,,,"Beschreibung der Methode der in der k.k.priv.Gundramsdorfer Papier Fabrick auf gestellte
Kunstbleiche geruchlos und unschädlich zu bleichen","Papier/Bleichen, Bleichen/Papier",Wien,1818,16.06.1818
69,Emperger,Anton Edl.v.,Emperger,Eugen Edl.v.,,,Neu erfundene Bleyweiß-Erzeugungsart,Bleiweiß,Wien,1819,27.03.1819
70,Bawinger,Laurenz,,,,,Genaue Beschreibung der Verfertigung von Papierhüten ...,Hut,Wien,1820,25.04.1820
71,Smetana,Franz Anton,,,,,"Zubereitung des Graphits zu feuerfestem, geruchlosen und unabfärbigen Küchengeschirr und
Oefen","Kochgeschirr, Ofen,
Graphit/Kochgeschirr, Graphit/Ofen",Jamenitz,1819,15.08.1819
72,Effinger,Josefine,,,,,Beschreibung der ... neu erfundenen Stroh-Hüte,Hut,Wien,1820,
73,Jaeckel,Joseph,,,,,Beschreibung der Erfindung, Glas ohne Pottasche oder deren Surrogate ... und ohne Bleioxyd,Wien,1818,25.08.1818
74,Hauer,Georg,,,,,"Beschreibung der ... neuen Erfindung ..., dass man alle Arten Damenhüte ohne Näherei mittels
Modeln verfertigen kann, sowohl aus bekannten Seiden, als auch aus eigens zur Verfertigung
dieser Hüte zubereiteten aufgelegten Stoffen ...",Hut,Wien,1822,07.03.1822
75,Landriani,Chevalier,,,,,Vier Stück Zeichnungen der Spinnmaschine [ohne Text],Spinnmaschine,,1826,
76,Braunlich,Karl Friedrich,& Sohn,,,,Abrisse und Erklärung der neu erfundenen Sammet-Band-Mühlstühle,"Bandstuhl, Samtband",Wien,1806,29.05.1806
77,Mueller,Karl,Mueller,Mathias,Roellig,Leopold,"Beschreibung der Instrumente: Ditanaklasis, Orphica und Xaenorphica","Ditanaklasis, Orphica, Xaenorphica,
Musikinstrument",,1826,
78,Wagner,Joseph,,,,,Beschreibung der ... erfundenen Tuchscheren,Tuchschere,Preßburg,1817,18.04.1817
79,Honig,Ferdinand,,,,,"Bereitungsart einer neuen ... erfundenen und seit 25 Jahren in Ausübung gebrachten, nach einem
von mir erdachten zweckmäßigen System der Färbekunst nach chemischen Grunsätzen zu
bereitenden schwarzen Farbe ...","Schwarz, Tinte",Wien,1817,12.04.1817
80,Meissner,Ignaz,,,,,Zeichnung und Beschreibung der Kaffee-Dampfmaschine,Kaffeemaschine,Wien,1822,19.02.1822
81,Schaendl,Jakob,,,,,Zeichnung und Beschreibung der ... erfundenen Wassermaschine,Wasserkraftmaschine,Wien,1815,08.02.1815
82,Weidlich,Josef,,,,,Erklärung der ... erfundenen Sitz Baad-Maschine,Sitzbad,Wien,1818,
83,Ugazy,Vitus,,,,,Mechanische Beschreibung der großen Säemaschine und der kleinen Pflug-Säemaschine,"Sämaschine, Pflugsämaschine",Wr. Neustadt,1817,15.07.1817
84,Sobezky,Franz,,,,,Beschreibung der neu erfundenen rundverjüngten metallenen Schreibfeder ...,Schreibfeder,Wien,1823,13.06.1823
85,Schmid,Fidelis,,,,,"Beschreibung der von ... gemachten Verbesserung der Weine, welche ... darin besteht, daß der
Schwefelstoff aus lange leer gestandenen Fäßern entfernt wird indem das Faß eine Art Glasur
erhält, welche den Schwefelstoff ganz vernichtet, dagen aber mit dem in ihr liegenden Zuckerstoff
auf die Weingährung günstig einwirkt","Wein/Verbesserung, Weinfaß",Wien,1823,26.09.1823
86,Bernard,Franz Aloys,,,,,"Beschreibung und Zeichnung der ... neuen Erfindung, bestehend in einer Druckmaschine ... Druck-
Streich-Maschine ...",Zeugdruck,Wien,1823,20.12.1823
87,Scheiffler,Nikolaus,,,,,"Beschreibung der ... neuen Erfindung der Wagen-Laternen nach argantischer Art mit Oehl
beleuchtet ...","Wagenlaterne, Laternen",Wien,1821,26.04.1821
88,Philippi,Johann Thomas,Schoeberl,Johann Franz,,,"Beschreibung des ... Geheimnisses zur Erzeugung der Frankfurterschwärze, des Theers,
Theerwassers und Tusche-Zeichnungen der Oefen und Namhaftmachung der Manipulation","Frankfurterschwärze, Farbe, Teer,
Teerwasser, Tusch",Korneuburg,1803,21.06.1803
89,Allmayer,Johann Anton,,,,,"Methode alle vegetabilischen Stoffe in Zeit von wenig Tagen, ohne sie der gemeinen Luft, und der
Sonne aussezzen zu müssen, zu jeder Jahreszeit zu bleichen",Bleichen,,1826,
90,Meissner,Ignaz,,,,,"Beschreibung der ... Entdeckung, welche ... darin besteht, daß er mittelst gereinigten, und zu allen
Arten von Gespinnst zugerichteten Asbest a) unverbrennbare Lampen-Tochte ... zu erzeugen ... b)
alle Arten Gewebe zu chemischen und phisischen, und wie auch sonst immer Nahmen habende
Zwecke zu verfertigen im Stande ist","Docht, Asbest/Docht, Asbestgewebe",Wien,1823,29.09.1823
91,Rohrbach,Franz,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, die von ihm benannten Parqueten-
Tücher zu machen","Parkettücher, Teppich",Wien,1823,16.09.1823
92,"Scheidtenberge
r",Joseph,,,,,Verfertigungs Art lakirter Hüte von Leder und Papier,Hut,Villach,1824,02.01.1824
93,La Vigne,Claire,,,,,"Rohr, Weide, Stroh und sonstiger zum Flechten geeigneter Materiale ...",,Wien,1823,17.10.1823
94,La Vigne,Claire,,,,,"Beschreibung der von ... gemachten neuen Veränderung in der Verfertigung der
Männerfischbeinhüte verflochten mit Holz ...",Hut,Wien,1824,24.04.1842
95,Isak,Mathias,,,,,"Beschreibung ... der ... neuen Erfindung von Stahlenen Schreibstiften mit welchen man mehrere
Jahre schreiben wird wie mit der besten Feder ohne an Reparatur zu denken ...",Schreibfeder,Wien,1825,25.05.1825
96,Thuemmel,Mathias Joseph,,,,,"Beschreibung der ... neu erfundenen Wasserhebmaschine, ...","Pumpe, Wasserhebemaschine",Wien,1817,18.06.1817
97,Breit,Joseph,,,,,"Neu erfundene Maschine, wodurch die Sägespäne ganz rein zum Verkaufen hergestellt, von allen
groben Splittern oder sogenannten Schadten, Sand, und Staub ganz gereiniget, ... werden",Sägespäne,Wien,1825,24.09.1825
98,Bajohr,Leopold,,,,,"Beschreibung der ... neu verbesserten Lampen, Tabakdosen und Pippen","Lampe, Tabakdose, Pippe",Wien,1823,19.02.1823
99,Cavalleri,Luigi,,,,,Descrizione della Scoperta che ... consiste nel lavorare il Corallo in natura ...,Koralle,Milano,1821,15.09.1821
100,Sendner,Georg,,,,,"Beschreibung der ... Erfindung einer Getreide-Abschälungs-Maschine, ...",Getreideschälmaschine,Wien,1824,27.05.1824
101,Finazzi,Giovanni,,,,,"Descrizione dell'invenzione ... che ... consiste in una macchina detta Messimetro atta a battere la
musica ...",Metronom,Milano,1823,29.06.1823
102,Bloch,Jakob,,,,,"Beschreibung der Verbesserung, welche ... darin besteht, daß das Distilliren von Branntwein,
Rosoglio, Liqueur und Spiritus durch zweckmäßigere Veränderung des gewöhnlichen
Kühlapparates ... befördert, ... welche Verbesserung auf jeden gemeinen Kessel ... anwendbar ist,
wo kein fortlaufendes Kühlwasser ... auf das Kühlfaß gebracht werden kann","Branntwein, Destilierapparat",Wien,1825,03.02.1825
103,Dahm,Matthaeus Jakob,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß aus einer großen Mischung von
Rosoglio-Satz, Weinlager und reinem Korn Aquavit der besten Qualitäten Branntwein ... erzeugt
werden kann","Aquavit, Branntwein, Weinlager,
Rosoglio",Wien,1824,24.04.1824
104,Battisti,Johann,,,,,"Beschreibung der Erfindung, welche ... darin besteht, die rohe Seide fein Ponson, Incarnat, dunkel
rosa und mittelrosa, ohne Saflor und Citronensaft ... zu färben ...","Färben/Seide, Seide/Färben",Wien,1824,15.03.1824
105,Schmidt,Anton,,,,,"Beschreibung einer neu entdeckten Lampe, welche jede offene noch so hohe Stiege allein hell
beleuchtet","Lampe, Stiegenbeleuchtung",Wien,1824,03.09.1824
105,Schmidt,Anton,,,,,Beschreibung einer neu entdeckten vollkommenen Caffee und Obers-Maschine,"Kaffeemaschine, Obersmaschine",Wien,1824,24.08.1824
106,Ziegler,Georg,Ziegler,Stephan,Ziegler,Johann,"Zeigen ... an, eine neue sehr nützliche, Verbesserung Ihrer Dessains Zugmaschinen erfunden zu
haben, ...",Webstuhl,Wien,1824,13.01.1824
107,Lang,Johann,,,,,"Beschreibung der ... Erfindung, welche ... darin besteht, daß Feuerspritzen, sowohl auf Wägen sich
befindliche als tragbare durch eine hölzerne Windkammer und hölzerne Stiefel: Samt Kolben und
Ventil ebenfalls Holz: ... hergestellt werden ...","Feuerspritze, Pumpe",Wien,1823,03.11.1823
108,Reck,Friedrich,,,,,"Beschreibung der ... Verbesserung seiner ... Maschinen, welche ... darin bestehen, daß seine
Kunstgallanterie Arbeiten von Bernstein, Perlmutter, Elfenbein und Meerschaum auf eine weit
vortheilhaftere Art ... können verfertigt werden, ...",Galanterie,Wien,1824,07.07.1824
109,Reck,Friedrich,,,,,"Beschreibung und Model der ... Verbesserung, welche ... darin besteht, daß die Meerschaum-
Tabak-Pfeiffe zugleich theils mit einer neuen Art Jagd-Pfeiffen, und theils mit einem besonders
verbesserten Wassersakkes versehen sind, nebst einem gut angebrachten Pfeiffen-Räumer, ...",Tabakspfeife,Wien,1825,19.01.1825
110,Schwarz,Moritz,,,,,"Beschreibung der ... Verbesserung, welche ... darin besteht, daß er aus Bierlager einen Brantwein
auf jeden beliebigen Apparate erzeuget, ...","Branntwein, Bierlager/Branntwein",Wien,1823,30.08.1823
111,Herzog,Anton,,,,,"Beschreibung und Zeichnung der ... Verbesserung, welche ... darin besteht, daß er alle Sorten,
vonn Gold und Silber, Seide und Haras Czako - Borten in halbrunder Form ... zu verfertigen im
Stande ist, ...",Borte,Wien,1824,21.12.1824
112,Munding,Alois,Munding,Martin,,,Beschreibung der vorzüglichen Bestandtheile von der Fournier-Circular-Schneide-Maschine,Founierschneidemaschine,Wien,1817,12.08.1817
113,Collman,Carl,Koehl,,,,"Diese Art von Faltzstock oder Faltzmaschine, ...  daß wir aus dickesten Häuten auf dieße unßere
Art die feinsten Fell bearbeiten können, ...",Falzmaschine,Wien,1800,21.08.1800
114,Oberhauser,Anton,,,,,"Umständliche Beschreibung uiber die ... erfundene Plattirungs-Art, und deren zum plattirten
Schnallen dienlichen zwoen Maschinen ... A) Guillochir-Maschine ... B) Bug oder Krümmaschine ...","Plattieren, Guillochiermaschine,
Bugmaschine, Krümmaschine",Wien,1803,21.08.1803
115,Schmid,Johann,,,,,Behandlung der ... neu erfundenen Kaffee-Dampfmaschine,Kaffeemaschine,Graz,1822,15.05.1822
116,Wackenhagen,Karl,,,,,"Beschreibung der ... erfundenen Weterdächer, die über Wagen, Gärten Kaffeehäuser, oder
öffentliche Plätze, und solche von Sonne und Regen zu bewahren, gespannt werden können","Wetterdach, Plachendach",Wien,1823,26.05.1823
117,Ludwig,"Heinrich Friedrich
August",,,,,"Authentisch spezielle Beschreibung des nachstehenden Neuen Brantweinbrenn-Apparats, ...","Branntwein,
Destillierapparat/Branntwein",Wien,1822,10.05.1822
118,Dietrich,Martin,,,,,"Beschreibung derjenigen Malzdörre, welche der Gefertigte neu erfunden hat, ...",,Schärding,1824,30.03.1824
119,Geist,Joseph,,,,,"Beschreibung der zur Bewirkung des vollkommen gleichförmigen Ganges einer Thurm-Uhr
hergestellten Verbindung derselben mit einer regulierenden Pendeluhr, und der zur Erreichung
eben dieser ganz genauen Gleichförmigkeit für Thurm, und alle anderen Uhren erfundenen
vollkommen freyen Hemmung",Turmuhr,Graz,1823,10.11.1823
120,Strobl,Johann Richard,,,,,Beschreibung des ... zu verfertigenden chemischen Tintenpulvers,Tinte,Matrei,1821,24.10.1821
121,Rosenberger,Michael,,,,,"Beschreibung einer in dem orgelmäßigen Zungewerk angebrachten Verbesserung, welche darin
besteht: daß durch eine darin befestigte halbzirkelförmige Metalfeder, durch welche eine
metallene Schraube läuft, das Zungenwerk gestimmt und unverstimmbar gehalten wird",Orgelpfeife,Wien,1826,06.03.1826
122,Morosi,"Giuseppe
Cavalliere",,,,,Descrizione dei mezzi ... nella fabricazione della macchina Trebbiatojo da riso ...,Dreschmaschine/Reis,Milano,1818,26.09.1818
123,Biffi,Felice,,,,,Maniera con cui si tinge il Cotone colore Nankin resistente al binote,"Baumwollstoff, Farbe",,1826,
124,Giudice,Carlo,,,,,Raccolta di diverse Macchine idrauliche ed altre di diversa specie,Wasserkraftmaschine,Como,1806,14.06.1806
125,Rossmann,Joseph,,,,,"Beschreibung der ... Entdeckkung, welche ... darin besteht, daß a) mittelst neuer neu erprobt
befundenen Getreidefruchtfolge, b) durch nur neue Bebauungs- und Behandlungsart des Klees,
und c) durch Verwendung aller baaren Auslagen für die Anschaffung des hiezu erforderlichen
Kleesamens ...; wobey noch d) ein merklicher Theil an Zugarbeit erspart und zu anderen
Wirtschaftsverbesserungen verwendet werden kann","Getreide/Fruchtfolge,
Fruchtfolge/Getreide, Klee",Bezdickau,1823,17.03.1823
126,Selka,Vinzenz Jakob,,,,,"Arcanum über das ... erfundene Mittel, welches ... darin besteht, den Brandwein aus Gefäßen zu
erzeugen, die der Gesundheit unschädlich sind, nämlich der zinnernen Kessel, ...",Branntwein,Wien,1823,24.01.1823
127,Simon,Johann,,,,,Zeichnung und Beschreibung des ... erfundenen Zirkels,Zirkel,Wien,1823,06.09.1823
129,Tuscany,Anton Basil,Tuscany,Johann Wenzel,,,"Beschreibung der Entdeckung, oder Verbesserung, welche darin besteht, daß sie eine Art Filzung
von Decken und gemeinen Tüchern erfunden ...","Filz, Decke, Tuch",Prag,1822,13.07.1822
130,Ferst,Peter,,,,,"Beschreibung meines Verfahrens zur Erzeugung des Branntweines und Essigs, ...","Essig, Branntwein",Wien,1823,22.10.1823
